drug_id,drug_name,split,n_cells,pcc_value_hat,pcc_auc_hat,spearman_value_hat,spearman_auc_hat,moa,target
700,AZD8330,test,465,0.727741,0.700928,0.722816,0.685598,MEK inhibitor,
286,cabazitaxel,val,463,0.727624,0.741523,0.729441,0.698609,microtubule inhibitor,"TUBA4A, TUBB, TUBB1"
424,maytansinol-isobutyrate,test,300,0.716222,0.596469,0.727584,0.552704,,
1046,PHA-793887,test,471,0.699202,0.599634,0.706401,0.671512,CDK inhibitor,"CDK1, CDK2, CDK4, CDK5, CDK7, CDK9"
620,docetaxel,val,465,0.698039,0.72318,0.691515,0.673743,tubulin polymerization inhibitor,"BCL2, MAP2, MAP4, MAPT, NR1I2, TUBB, TUBB1"
946,dacomitinib,test,891,0.695165,0.708982,0.679925,0.645483,EGFR inhibitor,"EGFR, ERBB2, ERBB4"
366,trametinib,test,443,0.694552,0.680257,0.715779,0.687507,MEK inhibitor,"MAP2K1, MAP2K2"
619,docetaxel,val,442,0.681158,0.627184,0.703555,0.69079,tubulin polymerization inhibitor,"BCL2, MAP2, MAP4, MAPT, NR1I2, TUBB, TUBB1"
104,flumethasone-pivalate,test,413,0.673578,0.687757,0.665713,0.665198,glucocorticoid receptor agonist,"NR3C1, SERPINA6"
1162,valrubicin,test,459,0.657592,0.651174,0.652761,0.637561,"DNA inhibitor, topoisomerase inhibitor",TOP2A
1285,MEK162,val,443,0.651202,0.62871,0.650241,0.624279,MEK inhibitor,"MAP2K1, MAP2K2"
993,combretastatin-A-4,test,471,0.650063,0.551124,0.65232,0.530015,tubulin polymerization inhibitor,
859,canertinib,test,884,0.636191,0.587944,0.62195,0.62919,EGFR inhibitor,"AKT1, EGFR, ERBB2, ERBB4"
950,hesperadin,test,364,0.632736,0.545741,0.619819,0.491665,Aurora kinase inhibitor,AURKB
1107,cephalomannine,test,467,0.630678,0.65127,0.620838,0.57977,DNA polymerase inhibitor,
1250,rubitecan,test,470,0.627147,0.640996,0.623189,0.627031,topoisomerase inhibitor,TOP1
629,rimexolone,test,418,0.624137,0.680176,0.612405,0.621869,glucocorticoid receptor agonist,"NR3C1, SERPINA6"
265,PD-184352,test,456,0.619257,0.575971,0.620828,0.613049,MEK inhibitor,"MAP2K1, MAP3K1, MAP3K2"
234,methiazole,val,460,0.61558,0.55494,0.615931,0.57869,anthelmintic agent,
1050,BI-2536,test,465,0.603959,0.617531,0.593508,0.539657,PLK inhibitor,"BRD4, PLK1, PLK2, PLK3"
1056,halobetasol-propionate,test,446,0.599713,0.663872,0.602205,0.615027,glucocorticoid receptor agonist,"NR3C1, PLA2G1B"
1332,neratinib,test,890,0.597345,0.522952,0.588356,0.593259,EGFR inhibitor,"EGFR, ERBB2, KDR"
665,methylprednisolone,test,395,0.58901,0.642421,0.576184,0.589827,glucocorticoid receptor agonist,NR3C1
590,flutamide,test,435,0.585775,0.592129,0.582827,0.573634,androgen receptor antagonist,"AHR, AR"
1337,flubendazole,test,473,0.584605,0.51923,0.575679,0.531727,tubulin polymerization inhibitor,TUBB
1279,estrone,test,405,0.581962,0.579991,0.566828,0.552114,"estrogen receptor agonist, estrogenic hormone","ESR1, ESR2"
226,UNC2250,test,441,0.578277,0.5475,0.563308,0.538024,MER tyrosine kinase inhibitor,MERTK
1022,G-1,val,451,0.570516,0.436085,0.570058,0.483486,G protein-coupled receptor agonist,GPER1
1373,AS-703026,test,887,0.570342,0.556563,0.570596,0.548639,MEK inhibitor,"MAP2K1, MAP2K2"
615,KX2-391,test,449,0.569197,0.544345,0.562661,0.506537,"src inhibitor, tubulin polymerization inhibitor",SRC
