DRUG_ID,DRUG_NAME,smiles,parent_fragment,cancer_type,seed_drug,mean_value_hat,std_value_hat,n_patients,mw,logp,qed,tpsa,seed_baseline_value_hat,delta_vs_seed_wrong,tanimoto,delta_improvement,delta_vs_seed
90305,erlotinib_analogue_0305,C#Cc1cccc([C@]23O[C@H]2[C@@H]2O[C@]24[C@]2(O[C@H]2C[C@H]2C5=C(CC[C@@]24C)C(=O)OC5)[C@@H]3O)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.485101,0.045619,590,418.45,1.585,0.4237,84.12,0.4943693876266479,-0.0092683876266479,0.1578947368421052,0.0092683876266478,0.0092683876266478
90088,erlotinib_analogue_0088,CO[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,[3*]OC,TCGA-LUAD,erlotinib,0.486776,0.040972,590,348.35,0.051,0.5286,93.35,0.4943693876266479,-0.0075933876266479,0.064516129032258,0.0075933876266479,0.0075933876266479
90231,erlotinib_analogue_0231,C#Cc1cccc([C@@H]2C[C@@H]3O[C@]3(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N2)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.488461,0.034319,590,469.62,3.536,0.4317,99.16,0.4943693876266479,-0.0059083876266479,0.1684210526315789,0.0059083876266479,0.0059083876266479
90030,erlotinib_analogue_0030,COc1ccc(C)c(C#Cc2cnc3[nH]ncc3c2)c1,[3*]OC,TCGA-LUAD,erlotinib,0.492176,0.022792,590,263.3,2.675,0.6867,50.8,0.4943693876266479,-0.0021933876266479,0.1756756756756756,0.0021933876266478,0.0021933876266478
90037,erlotinib_analogue_0037,CO[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,[3*]OC,TCGA-LUAD,erlotinib,0.492977,0.03262,590,399.53,1.786,0.5803,108.39,0.4943693876266479,-0.0013923876266479,0.053763440860215,0.0013923876266478,0.0013923876266478
90031,erlotinib_analogue_0031,Cc1ccc(-c2ccc(C)c(C#Cc3cnc4[nH]ncc4c3)c2)cc1C#Cc1cnc2[nH]ncc2c1,[3*]OC,TCGA-LUAD,erlotinib,0.493895,0.019258,590,464.53,5.313,0.3231,83.14,0.4943693876266479,-0.0004743876266479,0.1527777777777778,0.0004743876266479,0.0004743876266479
90123,erlotinib_analogue_0123,COC1=C[C@]23CCCN2CCc2cc4c(cc2[C@H]3[C@@H]1OC)OCO4,[3*]OC,TCGA-LUAD,erlotinib,0.496014,0.02371,590,329.4,2.449,0.8334,40.16,0.4943693876266479,0.001644612373352,0.0681818181818181,-0.0016446123733521,-0.0016446123733521
90284,erlotinib_analogue_0284,C#Cc1cccc(N2CC[C@]34c5c6ccc(O)c5O[C@H]3C(=O)CC[C@@]4(O)[C@H]2C6)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.496443,0.016833,590,387.44,2.301,0.7352,70.0,0.4943693876266479,0.002073612373352,0.1505376344086021,-0.0020736123733521,-0.0020736123733521
90341,erlotinib_analogue_0341,C#Cc1cccc([C@@H]2C(OC)=C[C@]34CCCN3CCc3cc5c(cc3[C@@H]24)OCO5)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.496586,0.024937,590,399.49,4.199,0.7086,30.93,0.4943693876266479,0.002216612373352,0.1888888888888888,-0.0022166123733521,-0.0022166123733521
90225,erlotinib_analogue_0225,C#Cc1cccc(-c2ccc(C)c(C#Cc3cnc4[nH]ncc4c3)c2)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.496637,0.019302,590,333.39,4.314,0.5273,41.57,0.4943693876266479,0.002267612373352,0.2567567567567567,-0.0022676123733521,-0.0022676123733521
90199,erlotinib_analogue_0199,C#Cc1cccc(-n2cnc3c(S)nc(N)nc32)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.496935,0.023627,590,267.32,1.668,0.3996,69.62,0.4943693876266479,0.002565612373352,0.2222222222222222,-0.0025656123733521,-0.0025656123733521
90299,erlotinib_analogue_0299,C#Cc1cccc(-n2cnc3c(Cl)nc(N)nc32)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.497077,0.02065,590,269.69,2.032,0.542,69.62,0.4943693876266479,0.002707612373352,0.2222222222222222,-0.002707612373352,-0.002707612373352
90076,erlotinib_analogue_0076,COc1c[nH]c2ccccc12,[3*]OC,TCGA-LUAD,erlotinib,0.49747,0.019237,590,147.18,2.176,0.6566,25.02,0.4943693876266479,0.003100612373352,0.1475409836065573,-0.0031006123733521,-0.0031006123733521
90205,erlotinib_analogue_0205,C#Cc1cccc(-n2cnc3c(N)nc4ccccc4c32)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.497626,0.019753,590,284.32,3.137,0.5463,56.73,0.4943693876266479,0.003256612373352,0.25,-0.0032566123733521,-0.0032566123733521
90143,erlotinib_analogue_0143,c1nc(-c2ncnc3[nH]ccc23)c2cc[nH]c2n1,[3*]OC,TCGA-LUAD,erlotinib,0.497654,0.017406,590,236.24,1.896,0.5284,83.14,0.4943693876266479,0.003284612373352,0.1525423728813559,-0.003284612373352,-0.003284612373352
90172,erlotinib_analogue_0172,COc1[nH]cnc2ncnc1-2,[3*]OC,TCGA-LUAD,erlotinib,0.497671,0.019617,590,150.14,0.313,0.6351,63.69,0.4943693876266479,0.003301612373352,0.1428571428571428,-0.003301612373352,-0.003301612373352
90006,erlotinib_analogue_0006,COc1ccc(O)cc1O,[3*]OC,TCGA-LUAD,erlotinib,0.497737,0.016186,590,140.14,1.106,0.6138,49.69,0.4943693876266479,0.003367612373352,0.135593220338983,-0.003367612373352,-0.003367612373352
90213,erlotinib_analogue_0213,C#Cc1cccc(-n2cnc3c(N)ncnc32)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.497752,0.018,590,235.25,1.379,0.6468,69.62,0.4943693876266479,0.003382612373352,0.2686567164179104,-0.003382612373352,-0.003382612373352
90096,erlotinib_analogue_0096,COc1ncn2c(=O)n(C)nnc12,[3*]OC,TCGA-LUAD,erlotinib,0.497819,0.015778,590,181.16,-1.168,0.5539,74.31,0.4943693876266479,0.003449612373352,0.1,-0.0034496123733521,-0.0034496123733521
90067,erlotinib_analogue_0067,COc1c(C)cc(C)[nH]c1=O,[3*]OC,TCGA-LUAD,erlotinib,0.497874,0.017736,590,153.18,1.0,0.6536,42.09,0.4943693876266479,0.003504612373352,0.09375,-0.003504612373352,-0.003504612373352
90391,erlotinib_analogue_0391,C#Cc1cccc([C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.497923,0.024346,590,231.29,1.206,0.7142,55.48,0.4943693876266479,0.003553612373352,0.2112676056338028,-0.0035536123733521,-0.0035536123733521
90052,erlotinib_analogue_0052,COc1nc2c(N)nc(N)nc2nc1N,[3*]OC,TCGA-LUAD,erlotinib,0.49805,0.017282,590,207.2,-0.825,0.5504,138.85,0.4943693876266479,0.003680612373352,0.0746268656716417,-0.003680612373352,-0.003680612373352
90061,erlotinib_analogue_0061,COc1ccc2cc1COC/C=C/COCc1cccc(c1)-c1ccnc(n1)N2,[3*]OC,TCGA-LUAD,erlotinib,0.498054,0.023527,590,389.46,4.499,0.6184,65.5,0.4943693876266479,0.003684612373352,0.1494252873563218,-0.0036846123733521,-0.0036846123733521
90249,erlotinib_analogue_0249,C#Cc1cccc(-c2ccc3c(n2)NC(=O)C(C)(C)O3)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.498121,0.017472,590,278.31,2.839,0.816,51.22,0.4943693876266479,0.003751612373352,0.2162162162162162,-0.003751612373352,-0.003751612373352
90245,erlotinib_analogue_0245,C#Cc1cccc(-n2cnc3c(N)nc(F)nc32)c1,[16*]c1cccc(C#C)c1,TCGA-LUAD,erlotinib,0.498235,0.018113,590,253.24,1.518,0.527,69.62,0.4943693876266479,0.003865612373352,0.2222222222222222,-0.003865612373352,-0.003865612373352
