DRUG_ID,DRUG_NAME,split,moa_class
1148,cytarabine,train,Other
205,epinastine,test,Other
1162,valrubicin,test,Other
644,adapalene,train,Other
480,colforsin-daproate,test,Other
353,sulfamethazine,train,Other
895,niridazole,train,Other
1386,amprolium,train,Other
45,methylphenidate,train,Other
180,fulvestrant,train,ER_modulator
207,estramustine-phosphate,train,Other
1137,masitinib,train,Other
289,cinnarazine,train,Other
453,belinostat,train,Other
999,romidepsin,train,Other
153,metoxibutropate,train,Other
1013,dihydroartemisinin,train,Other
36,octopamine,train,Other
1109,PF-3845,train,Other
226,UNC2250,test,Other
784,flufenamic-acid,train,Other
70,puromycin,train,Other
543,AZD3463,train,Other
213,9-aminoacridine,train,Other
667,GZD824,test,Other
1432,LDN-57444,train,Other
675,cycloheximide,val,Other
848,4-hydroxy-phenazone,train,Other
406,BAY-K-8644-(s)-(-),train,Other
214,AG-14361,train,Other
1005,RGFP966,train,Other
1482,NSC-319726,train,Other
598,A-803467,train,Other
986,ONX-0914,test,Other
595,nitrocaramiphen,val,Other
576,azomycin-(2-nitroimidazole),train,Other
1049,AZ960,train,Other
605,isoflupredone-acetate,train,Other
1461,PI-828,train,Other
123,oxymatrine,train,Other
874,demecarium,train,Other
1406,doxorubicin,train,anthracycline
1366,bortezomib,train,Other
692,astemizole,test,Other
151,estramustine,test,Other
249,ixabepilone,train,Other
643,azathioprine,train,Other
642,disulfiram,train,Other
629,rimexolone,test,Other
118,primaquine,train,Other
163,pralatrexate,train,Other
121,piroxicam,test,Other
970,quinidine,train,Other
967,tedizolid,test,Other
496,mefexamide,train,Other
626,oxonic-acid,val,Other
27,dehydrocholate-acid,test,Other
255,7-nitroindazole,test,Other
211,RITA,test,Other
1067,UH-232-(+),train,Other
814,KI-8751,train,Other
322,D-4476,train,Other
331,caffeic-acid,train,Other
30,nutlin-3,train,Other
592,TW-37,train,Other
789,bromosporine,val,Other
566,EPZ-5676,train,Other
93,FLI-06,train,Other
1350,PP242,test,Other
162,estradiol-benzoate,train,Other
623,FR-122047,train,Other
134,lanatoside-c,test,Other
1071,oleoylethanolamide,train,Other
961,AZ3146,train,Other
232,parbendazole,train,Other
1151,TAME,train,Other
579,D-64131,train,Other
418,SB-228357,test,Other
958,NMS-E973,train,Other
4,mepivacaine,test,Other
1118,atorvastatin,train,Other
1115,tacrolimus,train,Other
155,lasalocid,test,Other
936,clofazimine,val,Other
1130,erlotinib,test,EGFR_inhibitor
684,tamibarotene,train,Other
1165,tacalcitol,train,Other
41,protirelin,test,Other
437,regorafenib,train,Other
148,cyclosporin-a,train,Other
174,saxagliptin,test,Other
569,tilmicosin,train,Other
