moa_class,n_drugs_in_class,n_within_pairs,mean_within_r,n_between_pairs,mean_between_r,delta_within_vs_between,cancer_type
ALK_inhibitor,6,10,0.7145,390,0.6197,0.0949,TCGA-LUAD
BCL2_inhibitor,7,15,0.6212,462,0.5639,0.0573,TCGA-LUAD
BCR_ABL_inhibitor,4,3,0.7343,240,0.6322,0.1021,TCGA-LUAD
BRAF_inhibitor,5,6,0.6683,316,0.616,0.0523,TCGA-LUAD
BTK_inhibitor,3,1,0.1394,162,0.4292,-0.2898,TCGA-LUAD
CDK4_6_inhibitor,5,6,0.7355,316,0.6198,0.1157,TCGA-LUAD
CYP17_inhibitor,3,1,0.7114,162,0.3771,0.3343,TCGA-LUAD
EGFR_inhibitor,13,66,0.6198,852,0.4396,0.1802,TCGA-LUAD
ER_modulator,3,1,0.7709,162,0.4676,0.3033,TCGA-LUAD
MEK_inhibitor,6,10,0.7013,390,0.372,0.3293,TCGA-LUAD
PI3K_inhibitor,3,1,0.6413,162,0.5258,0.1155,TCGA-LUAD
alkylating,4,3,0.7425,240,0.4683,0.2742,TCGA-LUAD
anthracycline,3,1,0.9994,162,0.5741,0.4253,TCGA-LUAD
antimetabolite,4,3,0.7642,240,0.6365,0.1277,TCGA-LUAD
aromatase_inhibitor,4,3,0.857,240,0.6093,0.2478,TCGA-LUAD
mTOR_inhibitor,5,6,0.7482,316,0.5774,0.1708,TCGA-LUAD
multikinase_inhibitor,5,6,0.7073,316,0.6348,0.0725,TCGA-LUAD
platinum,4,3,0.7619,240,0.59,0.1719,TCGA-LUAD
taxane,6,10,0.6533,390,0.5873,0.066,TCGA-LUAD
topo1_inhibitor,4,3,0.6382,240,0.5631,0.0751,TCGA-LUAD
topo2_inhibitor,3,1,0.9353,162,0.5766,0.3587,TCGA-LUAD
vinca_alkaloid,4,3,0.9889,240,0.5177,0.4711,TCGA-LUAD
ALK_inhibitor,6,10,0.8238,390,0.699,0.1248,TCGA-SKCM
BCL2_inhibitor,7,15,0.7709,462,0.6638,0.1071,TCGA-SKCM
BCR_ABL_inhibitor,4,3,0.7683,240,0.6883,0.08,TCGA-SKCM
BRAF_inhibitor,5,6,0.6334,316,0.6399,-0.0065,TCGA-SKCM
BTK_inhibitor,3,1,0.6952,162,0.6233,0.0719,TCGA-SKCM
CDK4_6_inhibitor,5,6,0.6708,316,0.6317,0.0391,TCGA-SKCM
CYP17_inhibitor,3,1,0.7968,162,0.2521,0.5447,TCGA-SKCM
EGFR_inhibitor,13,66,0.8457,852,0.5979,0.2478,TCGA-SKCM
ER_modulator,3,1,0.5045,162,0.4226,0.0819,TCGA-SKCM
MEK_inhibitor,6,10,0.6116,390,0.318,0.2936,TCGA-SKCM
PI3K_inhibitor,3,1,0.8137,162,0.6695,0.1442,TCGA-SKCM
alkylating,4,3,0.6574,240,0.5049,0.1525,TCGA-SKCM
anthracycline,3,1,0.9996,162,0.6194,0.3802,TCGA-SKCM
antimetabolite,4,3,0.8049,240,0.7005,0.1045,TCGA-SKCM
aromatase_inhibitor,4,3,0.8302,240,0.6635,0.1667,TCGA-SKCM
mTOR_inhibitor,5,6,0.827,316,0.6576,0.1694,TCGA-SKCM
multikinase_inhibitor,5,6,0.7726,316,0.6926,0.08,TCGA-SKCM
platinum,4,3,0.7296,240,0.6243,0.1053,TCGA-SKCM
taxane,6,10,0.7012,390,0.6253,0.0759,TCGA-SKCM
topo1_inhibitor,4,3,0.6749,240,0.5924,0.0825,TCGA-SKCM
topo2_inhibitor,3,1,0.9202,162,0.5669,0.3533,TCGA-SKCM
vinca_alkaloid,4,3,0.989,240,0.4884,0.5006,TCGA-SKCM
ALK_inhibitor,6,10,0.6793,390,0.5974,0.0819,TCGA-BRCA
BCL2_inhibitor,7,15,0.6667,462,0.5719,0.0948,TCGA-BRCA
BCR_ABL_inhibitor,4,3,0.7592,240,0.6116,0.1476,TCGA-BRCA
BRAF_inhibitor,5,6,0.6528,316,0.5956,0.0572,TCGA-BRCA
BTK_inhibitor,3,1,0.1155,162,0.4291,-0.3136,TCGA-BRCA
CDK4_6_inhibitor,5,6,0.7397,316,0.6038,0.1359,TCGA-BRCA
CYP17_inhibitor,3,1,0.7238,162,0.2416,0.4822,TCGA-BRCA
EGFR_inhibitor,13,66,0.5972,852,0.4194,0.1778,TCGA-BRCA
ER_modulator,3,1,0.7426,162,0.3136,0.429,TCGA-BRCA
MEK_inhibitor,6,10,0.6645,390,0.3751,0.2894,TCGA-BRCA
PI3K_inhibitor,3,1,0.6679,162,0.5227,0.1452,TCGA-BRCA
alkylating,4,3,0.7379,240,0.3461,0.3919,TCGA-BRCA
anthracycline,3,1,0.9996,162,0.5495,0.4501,TCGA-BRCA
antimetabolite,4,3,0.7587,240,0.6197,0.139,TCGA-BRCA
aromatase_inhibitor,4,3,0.8059,240,0.5567,0.2492,TCGA-BRCA
mTOR_inhibitor,5,6,0.7685,316,0.572,0.1964,TCGA-BRCA
multikinase_inhibitor,5,6,0.702,316,0.6162,0.0858,TCGA-BRCA
platinum,4,3,0.7448,240,0.5607,0.1841,TCGA-BRCA
taxane,6,10,0.6538,390,0.5554,0.0984,TCGA-BRCA
topo1_inhibitor,4,3,0.6608,240,0.5309,0.1299,TCGA-BRCA
topo2_inhibitor,3,1,0.9276,162,0.5354,0.3922,TCGA-BRCA
vinca_alkaloid,4,3,0.9899,240,0.4795,0.5104,TCGA-BRCA
ALK_inhibitor,6,10,0.6941,390,0.6241,0.07,TCGA-PRAD
BCL2_inhibitor,7,15,0.6265,462,0.5781,0.0484,TCGA-PRAD
BCR_ABL_inhibitor,4,3,0.73,240,0.6145,0.1155,TCGA-PRAD
BRAF_inhibitor,5,6,0.5565,316,0.5864,-0.0299,TCGA-PRAD
BTK_inhibitor,3,1,0.3003,162,0.5155,-0.2152,TCGA-PRAD
CDK4_6_inhibitor,5,6,0.731,316,0.6276,0.1035,TCGA-PRAD
CYP17_inhibitor,3,1,0.6739,162,0.2499,0.424,TCGA-PRAD
EGFR_inhibitor,13,66,0.6692,852,0.4929,0.1763,TCGA-PRAD
ER_modulator,3,1,0.591,162,0.433,0.158,TCGA-PRAD
MEK_inhibitor,6,10,0.6986,390,0.4394,0.2592,TCGA-PRAD
PI3K_inhibitor,3,1,0.8181,162,0.5594,0.2587,TCGA-PRAD
alkylating,4,3,0.8087,240,0.5025,0.3062,TCGA-PRAD
anthracycline,3,1,0.9992,162,0.6017,0.3975,TCGA-PRAD
antimetabolite,4,3,0.7763,240,0.6417,0.1346,TCGA-PRAD
aromatase_inhibitor,4,3,0.8501,240,0.6379,0.2123,TCGA-PRAD
mTOR_inhibitor,5,6,0.7284,316,0.558,0.1704,TCGA-PRAD
multikinase_inhibitor,5,6,0.7235,316,0.6382,0.0854,TCGA-PRAD
platinum,4,3,0.684,240,0.5792,0.1048,TCGA-PRAD
taxane,6,10,0.6119,390,0.5702,0.0417,TCGA-PRAD
topo1_inhibitor,4,3,0.6445,240,0.5216,0.1229,TCGA-PRAD
topo2_inhibitor,3,1,0.7912,162,0.5048,0.2864,TCGA-PRAD
vinca_alkaloid,4,3,0.9785,240,0.4786,0.4999,TCGA-PRAD
ALK_inhibitor,6,10,0.7216,390,0.625,0.0966,TCGA-HNSC
BCL2_inhibitor,7,15,0.6406,462,0.5488,0.0918,TCGA-HNSC
BCR_ABL_inhibitor,4,3,0.6402,240,0.5673,0.0729,TCGA-HNSC
BRAF_inhibitor,5,6,0.6003,316,0.5845,0.0158,TCGA-HNSC
BTK_inhibitor,3,1,0.2829,162,0.5138,-0.2309,TCGA-HNSC
CDK4_6_inhibitor,5,6,0.7215,316,0.6233,0.0981,TCGA-HNSC
CYP17_inhibitor,3,1,0.7212,162,0.2432,0.478,TCGA-HNSC
EGFR_inhibitor,13,66,0.6559,852,0.4836,0.1723,TCGA-HNSC
ER_modulator,3,1,0.495,162,0.3949,0.1001,TCGA-HNSC
MEK_inhibitor,6,10,0.7307,390,0.4854,0.2453,TCGA-HNSC
PI3K_inhibitor,3,1,0.8186,162,0.5576,0.261,TCGA-HNSC
alkylating,4,3,0.6221,240,0.4253,0.1968,TCGA-HNSC
anthracycline,3,1,0.9989,162,0.6071,0.3918,TCGA-HNSC
antimetabolite,4,3,0.8179,240,0.6551,0.1628,TCGA-HNSC
aromatase_inhibitor,4,3,0.8341,240,0.6061,0.228,TCGA-HNSC
mTOR_inhibitor,5,6,0.7699,316,0.5756,0.1943,TCGA-HNSC
multikinase_inhibitor,5,6,0.6993,316,0.6265,0.0728,TCGA-HNSC
platinum,4,3,0.5731,240,0.5082,0.065,TCGA-HNSC
taxane,6,10,0.669,390,0.6004,0.0686,TCGA-HNSC
topo1_inhibitor,4,3,0.6741,240,0.5461,0.1281,TCGA-HNSC
topo2_inhibitor,3,1,0.8593,162,0.5239,0.3354,TCGA-HNSC
vinca_alkaloid,4,3,0.9785,240,0.474,0.5045,TCGA-HNSC
