project_id,DRUG_ID,DRUG_NAME,split,mean_value_hat,std_value_hat,mean_rank,median_rank,n_total_drugs,mean_percentile,frac_top10pct
TCGA-BRCA,1332,neratinib,test,0.4635,0.0335,233.9,46.5,1487,0.8427,0.7039
TCGA-BRCA,485,lapatinib,train,0.4683,0.0254,247.1,71.5,1487,0.8338,0.6232
TCGA-BRCA,1009,paclitaxel,train,0.4632,0.0505,298.4,22.0,1487,0.7993,0.7137
TCGA-BRCA,619,docetaxel,val,0.4692,0.0481,345.6,42.0,1487,0.7676,0.6591
TCGA-BRCA,256,epirubicin,train,0.4804,0.029,363.3,172.0,1487,0.7557,0.4266
TCGA-BRCA,992,capecitabine,test,0.4827,0.0222,371.6,254.0,1487,0.7501,0.1411
TCGA-BRCA,650,abemaciclib,train,0.484,0.0212,379.5,293.0,1487,0.7448,0.0571
TCGA-BRCA,392,everolimus,train,0.4839,0.0244,424.6,282.5,1487,0.7145,0.1794
TCGA-BRCA,1423,tamoxifen,train,0.4994,0.0151,842.1,951.0,1487,0.4337,0.0465
TCGA-BRCA,1371,letrozole,test,0.4993,0.0144,867.0,893.0,1487,0.4169,0.0
TCGA-BRCA,688,ribociclib,train,0.5017,0.0249,930.4,984.5,1487,0.3743,0.022
TCGA-BRCA,869,palbociclib,test,0.5078,0.0361,1002.5,1237.5,1487,0.3258,0.0718
TCGA-BRCA,20,cyclophosphamide,test,0.5073,0.0145,1116.9,1238.0,1487,0.2489,0.0
TCGA-BRCA,180,fulvestrant,train,0.5173,0.0213,1232.8,1419.0,1487,0.1709,0.0171
TCGA-HNSC,1112,cisplatin,train,0.51,0.015,554.8,484.0,1487,0.6269,0.0866
TCGA-HNSC,1009,paclitaxel,train,0.5676,0.0444,1304.7,1436.0,1487,0.1226,0.0495
TCGA-HNSC,619,docetaxel,val,0.5707,0.043,1330.6,1443.0,1487,0.1052,0.0389
TCGA-LUAD,1129,erlotinib,test,0.4638,0.022,203.2,124.0,1487,0.8634,0.5763
TCGA-LUAD,1009,paclitaxel,train,0.4393,0.0573,220.8,8.5,1487,0.8515,0.7831
TCGA-LUAD,1114,vinorelbine,train,0.4436,0.0552,236.3,12.0,1487,0.8411,0.7576
TCGA-LUAD,1040,gefitinib,train,0.46,0.0267,239.4,91.5,1487,0.839,0.6
TCGA-LUAD,619,docetaxel,val,0.4455,0.0548,247.6,16.0,1487,0.8335,0.7542
TCGA-LUAD,1062,afatinib,train,0.4585,0.0475,383.3,60.5,1487,0.7423,0.5864
TCGA-LUAD,762,osimertinib,train,0.4681,0.0318,385.0,154.0,1487,0.7411,0.4915
TCGA-LUAD,1229,crizotinib,train,0.4833,0.0181,507.0,438.0,1487,0.659,0.0085
TCGA-LUAD,346,alectinib,train,0.4858,0.0111,604.0,560.0,1487,0.5938,0.0932
TCGA-LUAD,1393,carboplatin,train,0.4933,0.0283,850.7,867.5,1487,0.4279,0.0593
TCGA-LUAD,1112,cisplatin,train,0.4944,0.0187,883.4,898.5,1487,0.4059,0.0102
TCGA-LUAD,736,crizotinib-(S),train,0.4961,0.02,947.7,957.0,1487,0.3627,0.0
TCGA-PRAD,619,docetaxel,val,0.4397,0.0291,55.5,13.0,1487,0.9627,0.9332
TCGA-PRAD,939,enzalutamide,val,0.4917,0.0103,647.7,639.5,1487,0.5644,0.0018
TCGA-PRAD,538,abiraterone-acetate,train,0.502,0.0135,992.1,1119.5,1487,0.3328,0.0361
TCGA-PRAD,857,abiraterone,train,0.5089,0.0181,1111.5,1297.5,1487,0.2525,0.0379
TCGA-SKCM,332,dabrafenib,val,0.5087,0.027,648.7,621.0,1487,0.5638,0.0381
TCGA-SKCM,932,vemurafenib,val,0.5122,0.0205,754.0,758.0,1487,0.493,0.0571
TCGA-SKCM,365,trametinib,train,0.5353,0.0531,1025.0,1329.0,1487,0.3107,0.1607
TCGA-SKCM,244,cobimetinib,train,0.5387,0.0449,1082.8,1368.0,1487,0.2718,0.0994
