DRUG_ID,DRUG_NAME,smiles,cancer_type,seed_drug,mw,logp,qed,tanimoto_to_seed,mean_vh_fp_original,mean_vh_fp,mean_vh_proxy,nn_tanimoto,nn_drug_name,nn_local_idx,nn_has_kg,seed_vh_fp,seed_vh_proxy,seed_nn_drug_name,seed_nn_tanimoto,delta_fp,improved_fp,delta_proxy_fair,improved_proxy_fair
90315,erlotinib_analogue_0315,C#Cc1cccc(N2CC[C@@H](N)[C@H](O)C2)c1,TCGA-LUAD,erlotinib,216.28,0.566,0.6746,0.2,0.500279,0.500279,0.464854,0.272727,BMS-690514,1148,True,0.494369,0.47028,erlotinib,1.0,-0.00591,False,0.005426,True
90268,erlotinib_analogue_0268,C#Cc1cccc(-c2ccc(I)cc2F)c1,TCGA-LUAD,erlotinib,322.12,4.079,0.5482,0.21875,0.500699,0.500699,0.468601,0.222222,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006329,False,0.001679,True
90405,erlotinib_analogue_0405,C#Cc1cccc(N2CCC(O)CC2)c1,TCGA-LUAD,erlotinib,201.27,1.629,0.698,0.21875,0.499705,0.499705,0.468715,0.241935,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.005336,False,0.001564,True
90210,erlotinib_analogue_0210,C#Cc1cccc(NC(=N)N)c1,TCGA-LUAD,erlotinib,159.19,0.973,0.3246,0.3157894736842105,0.501157,0.501157,0.468716,0.321429,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006787,False,0.001563,True
90390,erlotinib_analogue_0390,C#Cc1cccc(N2C[C@H](C)C[C@H](C)C2)c1,TCGA-LUAD,erlotinib,213.32,3.15,0.6477,0.238095238095238,0.500752,0.500752,0.469,0.241935,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006382,False,0.001279,True
90316,erlotinib_analogue_0316,C#Cc1cccc(N2CCC(N)CC2)c1,TCGA-LUAD,erlotinib,200.28,1.595,0.6976,0.21875,0.499913,0.499913,0.469043,0.241935,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.005544,False,0.001236,True
90321,erlotinib_analogue_0321,C#Cc1cccc(N2CCOCC2)c1,TCGA-LUAD,erlotinib,187.24,1.505,0.6178,0.2258064516129032,0.50065,0.50065,0.469304,0.339286,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.00628,False,0.000975,True
90384,erlotinib_analogue_0384,C#Cc1cccc([C@H]2CC[C@H](O)CC2)c1,TCGA-LUAD,erlotinib,200.28,2.686,0.691,0.2258064516129032,0.500861,0.500861,0.469455,0.25,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006492,False,0.000824,True
90215,erlotinib_analogue_0215,C#Cc1cccc(C2CC(=O)NC(=O)C2)c1,TCGA-LUAD,erlotinib,213.24,1.188,0.5623,0.238095238095238,0.500287,0.500287,0.469524,0.262295,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.005917,False,0.000756,True
90406,erlotinib_analogue_0406,C#Cc1cccc(-c2[nH]cnc3ncnc2-3)c1,TCGA-LUAD,erlotinib,220.24,1.953,0.6376,0.2769230769230769,0.50042,0.50042,0.469613,0.28125,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006051,False,0.000666,True
90242,erlotinib_analogue_0242,C#Cc1cccc(NC2=N[C@H](C)CO2)c1,TCGA-LUAD,erlotinib,200.24,1.855,0.7018,0.3770491803278688,0.502095,0.502095,0.469758,0.431034,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.007726,False,0.000521,True
90385,erlotinib_analogue_0385,C#Cc1cccc(N2OCCCC2=O)c1,TCGA-LUAD,erlotinib,201.22,1.726,0.6474,0.2058823529411764,0.499928,0.499928,0.469787,0.265625,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.005558,False,0.000493,True
90226,erlotinib_analogue_0226,C#Cc1cccc(C2CCC(=O)N2)c1,TCGA-LUAD,erlotinib,185.23,1.619,0.6617,0.2307692307692307,0.500555,0.500555,0.469787,0.253968,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006186,False,0.000492,True
90363,erlotinib_analogue_0363,C#Cc1cccc(C2CCCC2)c1,TCGA-LUAD,erlotinib,170.25,3.326,0.567,0.2372881355932203,0.500443,0.500443,0.469953,0.263158,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006074,False,0.000327,True
90325,erlotinib_analogue_0325,C#Cc1cccc(-c2ccc(F)c(Cl)c2)c1,TCGA-LUAD,erlotinib,230.67,4.127,0.6466,0.2258064516129032,0.500938,0.500938,0.469984,0.229508,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006569,False,0.000296,True
90209,erlotinib_analogue_0209,C#Cc1cccc(C2CCN(C)CC2)c1,TCGA-LUAD,erlotinib,199.3,2.477,0.628,0.238095238095238,0.502015,0.502015,0.47001,0.241935,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.007646,False,0.00027,True
90415,erlotinib_analogue_0415,C#Cc1cccc(-c2ccc(I)cc2)c1,TCGA-LUAD,erlotinib,304.13,3.94,0.5528,0.2413793103448276,0.501355,0.501355,0.470034,0.245614,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006985,False,0.000246,True
90350,erlotinib_analogue_0350,C#Cc1cccc(C2CC2)c1,TCGA-LUAD,erlotinib,142.2,2.545,0.5285,0.2456140350877192,0.500838,0.500838,0.470135,0.272727,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006468,False,0.000145,True
90360,erlotinib_analogue_0360,C#Cc1cccc(C2CCCCC2)c1,TCGA-LUAD,erlotinib,184.28,3.716,0.5835,0.2333333333333333,0.500882,0.500882,0.47019,0.258621,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006513,False,9e-05,True
90285,erlotinib_analogue_0285,C#Cc1cccc(C2CO2)c1,TCGA-LUAD,erlotinib,144.17,1.739,0.4318,0.2372881355932203,0.502411,0.502411,0.470213,0.285714,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.008041,False,6.7e-05,True
90312,erlotinib_analogue_0312,C#Cc1cccc(N2CCCC2)c1,TCGA-LUAD,erlotinib,171.24,2.268,0.5858,0.2372881355932203,0.501586,0.501586,0.470375,0.263158,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.007217,False,-9.5e-05,False
90397,erlotinib_analogue_0397,C#Cc1cccc(C2C(=O)CCCC2=O)c1,TCGA-LUAD,erlotinib,212.25,2.074,0.5273,0.2258064516129032,0.501184,0.501184,0.470391,0.25,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006815,False,-0.000111,False
90308,erlotinib_analogue_0308,C#Cc1cccc(-c2ccccn2)c1,TCGA-LUAD,erlotinib,179.22,2.73,0.6132,0.2711864406779661,0.500478,0.500478,0.470447,0.275862,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.006109,False,-0.000167,False
90200,erlotinib_analogue_0200,C#Cc1cccc([C@@H]2C[C@@H](O)CC(=O)O2)c1,TCGA-LUAD,erlotinib,216.24,1.407,0.5699,0.217391304347826,0.501444,0.501444,0.470457,0.238806,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.007074,False,-0.000178,False
90248,erlotinib_analogue_0248,C#Cc1cccc(-c2ccc(Cl)c(Cl)c2)c1,TCGA-LUAD,erlotinib,247.12,4.642,0.6436,0.2372881355932203,0.502061,0.502061,0.47052,0.241379,icotinib,600,True,0.494369,0.47028,erlotinib,1.0,-0.007692,False,-0.00024,False
