DRUG_ID,DRUG_NAME,smiles,cancer_type,seed_drug,mw,logp,qed,tanimoto_to_seed,mean_vh_fp_original,mean_vh_fp,mean_vh_proxy,nn_tanimoto,nn_drug_name,nn_local_idx,nn_has_kg,seed_vh_fp,seed_vh_proxy,seed_nn_drug_name,seed_nn_tanimoto,delta_fp,improved_fp,delta_proxy_fair,improved_proxy_fair
90380,trametinib_analogue_0380,N[C@@H]1CCN(C2CC2)C[C@H]1O,TCGA-SKCM,trametinib,156.23,-0.457,0.54,0.050632911392405,0.504673,0.504673,0.471709,0.220588,BMS-690514,1148,True,0.499279,0.485295,trametinib,1.0,-0.005395,False,0.013586,True
90040,trametinib_analogue_0040,CC(=O)N1CC[C@@H](N)[C@H](O)C1,TCGA-SKCM,trametinib,158.2,-1.073,0.4713,0.1025641025641025,0.505172,0.505172,0.472567,0.228571,BMS-690514,1148,True,0.499279,0.485295,trametinib,1.0,-0.005893,False,0.012728,True
90328,trametinib_analogue_0328,C#Cc1cccc(-c2ccc(I)cc2F)c1,TCGA-SKCM,trametinib,322.12,4.079,0.5482,0.0952380952380952,0.504287,0.504287,0.473203,0.222222,icotinib,600,True,0.499279,0.485295,trametinib,1.0,-0.005008,False,0.012092,True
90461,trametinib_analogue_0461,C#Cc1cccc(C2CC2)c1,TCGA-SKCM,trametinib,142.2,2.545,0.5285,0.0625,0.504011,0.504011,0.474514,0.272727,icotinib,600,True,0.499279,0.485295,trametinib,1.0,-0.004732,False,0.010781,True
90352,trametinib_analogue_0352,Brc1cccc(C2CC2)c1,TCGA-SKCM,trametinib,197.07,3.327,0.6472,0.0649350649350649,0.502695,0.502695,0.476944,0.196429,PD-168393,425,True,0.499279,0.485295,trametinib,1.0,-0.003416,False,0.008351,True
90102,trametinib_analogue_0102,C#Cc1cccc(-c2cccc(C#C)c2)c1,TCGA-SKCM,trametinib,202.26,3.316,0.6222,0.0533333333333333,0.506924,0.506924,0.477206,0.28,icotinib,600,True,0.499279,0.485295,trametinib,1.0,-0.007645,False,0.008089,True
90321,trametinib_analogue_0321,Cn1cc(-c2ccc(I)cc2F)c2ccccc21,TCGA-SKCM,trametinib,351.16,4.589,0.5655,0.119047619047619,0.504165,0.504165,0.479761,0.240964,osimertinib,729,True,0.499279,0.485295,trametinib,1.0,-0.004886,False,0.005534,True
90431,trametinib_analogue_0431,Fc1ccc(C2CC2)cc1Cl,TCGA-SKCM,trametinib,170.61,3.357,0.6065,0.1351351351351351,0.50396,0.50396,0.480392,0.262295,BIBX-1382,1085,True,0.499279,0.485295,trametinib,1.0,-0.004681,False,0.004903,True
90023,trametinib_analogue_0023,Brc1cccc(-c2cccc(Br)c2)c1,TCGA-SKCM,trametinib,312.0,4.879,0.704,0.0555555555555555,0.505727,0.505727,0.480432,0.22,PD-168393,425,True,0.499279,0.485295,trametinib,1.0,-0.006448,False,0.004863,True
90371,trametinib_analogue_0371,C[C@@H]1COC(NC2CC2)=N1,TCGA-SKCM,trametinib,140.19,0.513,0.5755,0.0759493670886076,0.504569,0.504569,0.480941,0.25,ARRY-334543,769,True,0.499279,0.485295,trametinib,1.0,-0.00529,False,0.004355,True
