DRUG_ID,DRUG_NAME,n_genes_tested,max_abs_delta,mean_abs_delta,top5_genes,n_known_targets
1190,Gemcitabine,79,0.05805139243602753,0.007612123889435979,RPS28P7|ERBB2|CDKN1A|MYC|CDKN2C,0
1843,LMP744,79,0.04298882558941841,0.005889303774478598,RPS28P7|CDKN1A|FADS1|MYC|IL4R,0
1819,Docetaxel,79,0.041873421519994736,0.00893709622176152,RPS28P7|ERBB2|IL4R|TCEAL4|CDKN2C,0
1911,Dactinomycin,79,0.040450457483530045,0.005367101139176779,RPS28P7|IL4R|CDKN1A|MYC|ERBB2,0
1617,AZD5582,79,0.03518478199839592,0.005818855583290511,ITM2C|CDKN1A|MYC|PTPN13|IL4R,0
1810,Mitoxantrone,79,0.03276051953434944,0.004570872617201714,RPS28P7|FADS1|CDKN1A|ERBB2|CHCHD10,0
1808,Topotecan,79,0.03263099491596222,0.004760889315836226,RPS28P7|CDKN1A|CHCHD10|MYC|ERBB2,0
1180,Dinaciclib,79,0.0316106341779232,0.0045061220644819966,RPS28P7|FADS1|ITM2C|MAPK13|MYC,0
1910,ABT737,79,0.030769946053624153,0.005262539875281008,CHCHD10|MYC|BCL2|RPS28P7|ITM2C,0
1511,Epirubicin,79,0.030574927106499672,0.004501853957536477,RPS28P7|CDKN1A|CDKN2C|IL4R|AKT3,0
1529,Pevonedistat,79,0.030565433204174042,0.005223749921645356,RPS28P7|IL4R|CHCHD10|ERBB2|TCEAL4,0
1706,AZD5153,79,0.029049450531601906,0.005621798591440709,MYC|FADS1|RPS28P7|GFOD3P|CDKN1A,0
1809,Teniposide,79,0.027294311672449112,0.0037905621943594534,RPS28P7|CDKN1A|FADS1|ERBB2|CHCHD10,0
1004,Vinblastine,79,0.027012716978788376,0.0042079998698981505,RPS28P7|IL4R|ERBB2|CDKN2C|CHCHD10,0
1022,AZD7762,79,0.026101483032107353,0.004959279516582153,TCEAL4|IL4R|CDKN2C|FADS1|ETV5,0
1847,BEN,79,0.02408493682742119,0.004565329604068936,RPS28P7|CDKN1A|FADS1|CHCHD10|MYC,0
1248,Daporinad,79,0.02402418479323387,0.007176438800377559,ERBB2|CDKN1A|NRARP|TCEAL4|RPS28P7,0
1559,Luminespib,79,0.02295326255261898,0.003992084973002489,RPS28P7|TCEAL4|BIK|IL4R|ETV5,0
1259,Talazoparib,79,0.021318042650818825,0.003819718571597875,CDKN1A|RPS28P7|CHCHD10|CDKN2A|CLIP3,0
1626,OTX015,79,0.02104419656097889,0.004143914255708503,MYC|FADS1|GFOD3P|ITM2C|RPS28P7,0
1378,Bleomycin (50 uM),79,0.020852860063314438,0.00428516188079397,CDKN1A|RPS28P7|CHCHD10|CLIP3|ERBB2,0
1003,Camptothecin,79,0.02079557254910469,0.0031145103467345426,RPS28P7|CDKN1A|CHCHD10|MYC|CLIP3,0
2055,Mycophenolic acid,79,0.020272666588425636,0.0030243458584410764,RPS28P7|CDKN1A|GFOD3P|ERBB2|ITM2C,0
2172,JQ1,79,0.020215844735503197,0.00437802910256565,MYC|FADS1|GFOD3P|CDKN2C|RPS28P7,0
1086,BI-2536,79,0.020204201340675354,0.003945421718526632,RPS28P7|IL4R|ERBB2|CDKN2C|TCEAL4,0
1494,SN-38,79,0.020103050395846367,0.007264620735003507,CHCHD10|RPS28P7|FGFR1|MYC|CDKN1A,0
1006,Cytarabine,79,0.020068461075425148,0.0035144973316383137,RPS28P7|CDKN1A|TCEAL4|CDKN2A|IL4R,0
2048,Vinorelbine,79,0.01957879401743412,0.003953940547484008,RPS28P7|IL4R|CDKN2C|ERBB2|FADS1,0
1011,Navitoclax,79,0.019471265375614166,0.004052900428488803,CHCHD10|MYC|RPS28P7|ERBB2|BCL2,1
1849,Sabutoclax,79,0.01873762346804142,0.0041375272145459455,RPS28P7|IL4R|CDKN1A|ETV5|CHCHD10,0
1441,AZD2014,79,0.01856786012649536,0.003326382199184427,RPS28P7|FADS1|CDKN2C|ITM2C|GFOD3P,0
1034,Staurosporine,79,0.017781997099518776,0.005054648626666469,RPS28P7|CHCHD10|IL4R|FADS1|TCEAL4,0
2156,5-azacytidine,79,0.017027901485562325,0.002453419103219374,RPS28P7|CHCHD10|ITM2C|IL4R|MYC,0
1720,AZD5991,79,0.016933484002947807,0.004432008513308401,ITM2C|RPS28P7|FADS1|TCEAL4|IL4R,0
1712,Eg5_9814,79,0.01684791035950184,0.003916345103467001,IL4R|RPS28P7|CDKN2C|ERBB2|CHCHD10,0
1926,GNE-317,79,0.016585931181907654,0.0038896879826707744,RPS28P7|CDKN2C|MAPK13|FADS1|CHCHD10,0
1827,Dihydrorotenone,79,0.016496701166033745,0.00409897187388726,ETV5|ITM2C|FADS1|RPS28P7|MYC,0
1088,Irinotecan,79,0.016266049817204475,0.002947747726523895,RPS28P7|CDKN1A|CLIP3|CHCHD10|MYC,0
