gene_name,n_drugs_tested,mean_abs_delta,mean_signed_delta,max_abs_delta,frac_positive_across_drugs
RPS28P7,283,0.009235131549369214,-0.0008466299901305666,0.05805139243602753,0.5698543704621309
CDKN1A,283,0.006575124251060583,-0.004603166657304264,0.028798121958971024,0.23078424946285495
ITM2C,283,0.006029896775438276,0.004445945748920433,0.03518478199839592,0.8554630802921764
IL4R,283,0.005825671938728449,-0.005376319541034779,0.02982518821954727,0.062027011110639074
FADS1,283,0.005217198098190261,0.0018180099016560103,0.027494702488183975,0.5186687699955913
MYC,283,0.004953619949980359,-0.0011736763088124027,0.029049450531601906,0.4617488092274692
CDKN2C,283,0.004953087447375691,-0.0035860919894148925,0.022569863125681877,0.2526995807595885
ERBB2,283,0.004952271755656405,-0.0013231601695741942,0.034342654049396515,0.24906561733179694
TCEAL4,283,0.004854464960241749,0.0016467150763921458,0.026101483032107353,0.6996579053137613
CHCHD10,283,0.0047033913898390355,-0.001159163849302471,0.030769946053624153,0.37165092585553866
ETV5,283,0.004076828165703812,0.0011004075969998177,0.016496701166033745,0.7013440013724545
GFOD3P,283,0.0036597672801352904,0.002452244097875989,0.018065553158521652,0.7631841468276406
TRIM16L,283,0.003183172857339491,-0.00018547264723112463,0.01586010493338108,0.4594458847231127
MGMT,283,0.0031648814055390737,-0.0011054243590151215,0.01747039519250393,0.2979027490666218
CLIP3,283,0.002879176999264571,-0.0024182180296056944,0.011094235815107822,0.1770727968409648
BCL2,283,0.002876309185147338,-0.0013456005653299703,0.01718391478061676,0.2816509323964491
OAF,283,0.002865090517429207,0.0017570797925020262,0.01712774485349655,0.8045193916344577
FGFR1,283,0.0027943005346834607,0.001844935913381976,0.019197704270482063,0.7518043501252399
MET,283,0.002761891464679749,-0.0015694394769187943,0.011321437545120716,0.1981907063007447
TOR4A,283,0.00274277197537687,-0.001524172427449622,0.013564545661211014,0.19951873390051195
MAPK13,283,0.002708137321266158,-0.0018965187863655899,0.020491868257522583,0.30322415717554346
AKT3,283,0.0026648425276624864,-0.0011594103490079365,0.01349751278758049,0.32959444783588515
OSBPL10,283,0.002626278376381173,0.00030845875135963733,0.013741083443164825,0.6525263698814955
BIK,283,0.002526938093557967,-0.002019577707130592,0.009224941022694111,0.12112019484542857
FGFR4,283,0.0025051366044175497,0.0011473433372653364,0.012878119014203548,0.7784454026379376
DBNDD1,283,0.0024930824654821847,-0.0008669729842223582,0.01025216095149517,0.35214546203159514
CDKN2A,283,0.002383246049720978,0.0012808301937719388,0.013275515288114548,0.6618713331018455
PTPN13,283,0.0023362166992826356,0.0004575045350724742,0.01776626706123352,0.48199339487331294
NRARP,283,0.00225848974306268,-0.0010338719275943744,0.02253733016550541,0.3422971076770766
CNKSR1,283,0.002227914900117465,0.000344174479914888,0.011964481323957443,0.5948705103671127
FGD3,283,0.0021921906812781265,-0.0014756575701700674,0.0071510751731693745,0.17961847349456753
TRIM2,283,0.0021472696674405185,0.0007346636195037807,0.008416161872446537,0.702781917445316
EMILIN2,283,0.002135786289997504,0.0008910367285853896,0.011197883635759354,0.7618659656643137
CCND1,283,0.002129967388196753,0.00028087589713441725,0.008375657722353935,0.528990045280395
SEPTIN1,283,0.0020450525114957784,-0.0014137576333715666,0.0076593332923948765,0.16944381342090534
EGFR,283,0.0018947938859854355,0.0006686548801164862,0.0076859211549162865,0.5913182949446723
PIK3CD,283,0.0018828402895746956,0.00037556254328945847,0.008904547430574894,0.6275532594763916
SLC25A27,283,0.0018347023509923276,-9.487777152947662e-05,0.007570770103484392,0.505312221912879
LIPH,283,0.0018026962262979798,-0.0015285316830393595,0.0045732902362942696,0.09029724606192872
FGFR2,283,0.0017890778130377797,0.0007986421974639322,0.0057650539092719555,0.7774290948426454
THSD4,283,0.0017779770845303793,7.4029737419222855e-06,0.007855947129428387,0.4240938655674983
STON2,283,0.0017686220630098385,8.261107199385395e-06,0.009456798434257507,0.49571439521364447
FBXO27,283,0.0017606820734283582,0.0005345691800071574,0.006076219491660595,0.643269446952312
IGFBP3,283,0.0016964957845732964,0.0006684116545180303,0.006951747462153435,0.6458378461236048
FGFR3,283,0.001672743061925992,-0.00021662986978178642,0.007124400231987238,0.4614764346666171
ARHGEF35,283,0.0016247647721484935,-0.0012047947847166676,0.005899307783693075,0.1818699932177891
IGFBP5,283,0.0015885913828897944,-0.00040300304314926636,0.006224747281521559,0.31183907558032226
ARHGAP22,283,0.0015818225226016196,-0.0006827792290465696,0.009259283542633057,0.3501298128523758
CDKN2B,283,0.0015766724340235913,-0.0004203483294408177,0.007228896487504244,0.34939782462345065
GPM6B,283,0.001559956682115372,-0.0007656369324145298,0.009001094847917557,0.36033618177038995
NPTXR,283,0.0015514982790626954,-8.450692823594776e-05,0.006865082308650017,0.45265141064865094
ERBB3,283,0.0015397698638216978,-0.0008047438996321808,0.005668807774782181,0.28036205779767165
LIFR,283,0.0015223101593879818,0.0002575466483075015,0.006609370466321707,0.6355291874316514
PDE4B,283,0.0015197853233201212,-4.1998507379209224e-05,0.011774045415222645,0.47615106233712107
IGFBP7,283,0.001501799281563136,-0.00044831979048371064,0.006634808145463467,0.45112038652295344
NOTCH3,283,0.001492634028123935,9.055718060426765e-05,0.00883533712476492,0.4747642754599304
PCBP3,283,0.0014649013858683434,-0.00026364500751870594,0.008484859019517899,0.46069600944791
NGEF,283,0.0014058586679787338,0.00018861002777976918,0.005502364598214626,0.5815395100603213
EYA4,283,0.0013891801220782811,-0.00016691946715318632,0.013619756326079369,0.6284477848067653
LINC01322,283,0.0013646743815250747,0.0008809620865949813,0.008812434040009975,0.7581913981976343
MLXIPL,283,0.0013539013411691773,0.0007505446447093783,0.003966300282627344,0.7594831926072657
SNORA17B,283,0.0011993879730016809,-2.770383742874928e-05,0.005555157549679279,0.5551230076413459
KIT,283,0.0011948332004989546,-0.0005671050753174605,0.003980082925409079,0.332832344117779
LINC03057,283,0.0011945753294543458,-3.914985060227766e-05,0.012698034755885601,0.6386963425190728
BTNL9,283,0.001177941059427132,-0.00028370544798200293,0.007368357386440039,0.4471929409746259
IGF2,283,0.0011534490552648586,0.0007613519297502589,0.003474437166005373,0.8084575970605083
PARM1,283,0.0010741816574663201,-0.00013355225996666977,0.005478419829159975,0.4536654691014869
GCSAM,283,0.0010525724697774178,-0.0006161822569227413,0.004541597794741392,0.22192509575870853
MIR155HG,283,0.0009957747566826352,-0.00029497889197813967,0.0077306064777076244,0.31360495053665494
MAP4K1,283,0.000959787486419707,-0.0003921119822294623,0.0057226927019655704,0.303069888453195
MYCN,283,0.0009157475188552227,-4.875711597587435e-05,0.0037102573551237583,0.41611725111691555
KRT7-AS,283,0.000914382830886631,0.0005932689576396311,0.00440317252650857,0.7266237527306129
CCND2,283,0.0009044012593273271,-0.00025416075265732136,0.0030118939466774464,0.3494408966713669
TMC5,283,0.0008376063191777839,0.00011007161145779268,0.0036690658889710903,0.5056340288204781
