gene_name,DRUG_ID,DRUG_NAME,n_test_cells,mean_delta_auc,std_delta_auc,abs_mean_delta,frac_positive,is_known_target
RPS28P7,1190,Gemcitabine,188,-0.0579787939786911,0.02670791558921337,0.05805139243602753,0.005319148936170213,False
RPS28P7,1843,LMP744,132,-0.04298882558941841,0.021723240613937378,0.04298882558941841,0.0,False
RPS28P7,1819,Docetaxel,126,-0.0406760536134243,0.029462939128279686,0.041873421519994736,0.05555555555555555,False
RPS28P7,1911,Dactinomycin,184,-0.040450457483530045,0.021533790975809097,0.040450457483530045,0.0,False
ITM2C,1617,AZD5582,167,0.03518478199839592,0.025111662223935127,0.03518478199839592,1.0,False
ERBB2,1819,Docetaxel,126,0.034342654049396515,0.018241826444864273,0.034342654049396515,1.0,False
RPS28P7,1810,Mitoxantrone,132,-0.032700762152671814,0.021819153800606728,0.03276051953434944,0.007575757575757576,False
RPS28P7,1808,Topotecan,132,-0.03235515579581261,0.019178979098796844,0.03263099491596222,0.022727272727272728,False
RPS28P7,1180,Dinaciclib,170,-0.03148587793111801,0.019758526235818863,0.0316106341779232,0.023529411764705882,False
CHCHD10,1910,ABT737,186,0.03065524622797966,0.025698507204651833,0.030769946053624153,0.9731182795698925,False
RPS28P7,1511,Epirubicin,186,-0.030574927106499672,0.014783882535994053,0.030574927106499672,0.0,False
RPS28P7,1529,Pevonedistat,184,-0.029062166810035706,0.021716410294175148,0.030565433204174042,0.09239130434782608,False
IL4R,1819,Docetaxel,126,-0.029640253633260727,0.01822984777390957,0.02982518821954727,0.023809523809523808,False
MYC,1706,AZD5153,133,-0.029049450531601906,0.015484759584069252,0.029049450531601906,0.0,False
CDKN1A,1843,LMP744,132,-0.028798121958971024,0.013756552711129189,0.028798121958971024,0.0,False
FADS1,1706,AZD5153,133,0.02740376442670822,0.023513270542025566,0.027494702488183975,0.9548872180451128,False
CDKN1A,1617,AZD5582,167,-0.027280276641249657,0.02214960567653179,0.027350854128599167,0.011976047904191617,False
RPS28P7,1809,Teniposide,132,-0.02709999866783619,0.015023858286440372,0.027294311672449112,0.015151515151515152,False
RPS28P7,1004,Vinblastine,145,-0.026276806369423866,0.016257645562291145,0.027012716978788376,0.05517241379310345,False
