DRUG_NAME,alpha_chembl,alpha_drkg,alpha_primekg,alpha_total,kg_class,n_test_cells
AZD1208,1.0,0.0,0.0,1.0,ChEMBL-only,132
glutathione,0.0,0.0,1.0,1.0,PrimeKG-dominant,149
AT13148,1.0,0.0,0.0,1.0,ChEMBL-only,187
AMG-319,1.0,0.0,0.0,1.0,ChEMBL-only,186
AZD5438,1.0,0.0,0.0,1.0,ChEMBL-only,133
5-Fluorouracil,1.0,0.0,0.0,1.0,ChEMBL-only,190
AZD5363,1.0,0.0,0.0,1.0,ChEMBL-only,186
Uprosertib,1.0,0.0,0.0,1.0,ChEMBL-only,316
VE-822,1.0,0.0,0.0,1.0,ChEMBL-only,170
Vinblastine,0.4608815014362335,0.0,0.5391185283660889,1.0,ChEMBL+PrimeKG,145
Vinorelbine,0.0,0.0,1.0,1.0,PrimeKG-dominant,187
Vismodegib,0.477867990732193,0.0,0.5221320390701294,1.0,ChEMBL+PrimeKG,189
Vorinostat,0.4844989776611328,0.0,0.5155010223388672,1.0,ChEMBL+PrimeKG,187
Oxaliplatin,0.4518228769302368,0.0,0.5481771230697632,1.0,ChEMBL+PrimeKG,321
Zoledronate,0.45849472284317017,0.0,0.5415052771568298,1.0,ChEMBL+PrimeKG,132
PLX-4720,0.0,0.0,1.0,1.0,PrimeKG-dominant,186
OSI-027,1.0,0.0,0.0,1.0,ChEMBL-only,188
Obatoclax Mesylate,0.5028784871101379,0.0,0.49712151288986206,1.0,ChEMBL+PrimeKG,151
Olaparib,0.469624400138855,0.0,0.530375599861145,1.0,ChEMBL+PrimeKG,189
Osimertinib,0.48586249351501465,0.0,0.5141375064849854,1.0,ChEMBL+PrimeKG,186
Cisplatin,0.44569891691207886,0.0,0.5543010830879211,1.0,ChEMBL+PrimeKG,150
Crizotinib,0.49391451478004456,0.0,0.5060854554176331,1.0,ChEMBL+PrimeKG,189
Cyclophosphamide,0.45244571566581726,0.0,0.5475542545318604,1.0,ChEMBL+PrimeKG,186
Bleomycin (50 uM),0.46525490283966064,0.0,0.5347450971603394,1.0,ChEMBL+PrimeKG,147
Bortezomib,0.0,0.0,1.0,1.0,PrimeKG-dominant,186
Bosutinib,0.48678696155548096,0.0,0.513213038444519,1.0,ChEMBL+PrimeKG,189
Buparlisib,1.0,0.0,0.0,1.0,ChEMBL-only,186
Daporinad,0.47776150703430176,0.0,0.5222384929656982,1.0,ChEMBL+PrimeKG,116
Dasatinib,0.478165864944458,0.0,0.521834135055542,1.0,ChEMBL+PrimeKG,188
Camptothecin,0.0,0.0,1.0,1.0,PrimeKG-dominant,189
Cediranib,0.4865197241306305,0.0,0.5134802460670471,1.0,ChEMBL+PrimeKG,186
Cytarabine,0.4641643762588501,0.0,0.5358356237411499,1.0,ChEMBL+PrimeKG,145
Dabrafenib,0.4806119501590729,0.0,0.5193880200386047,1.0,ChEMBL+PrimeKG,184
Dacarbazine,0.459117591381073,0.0,0.5408824682235718,1.0,ChEMBL+PrimeKG,132
Dactinomycin,0.46883708238601685,0.0,0.5311629176139832,1.0,ChEMBL+PrimeKG,316
Dactolisib,1.0,0.0,0.0,1.0,ChEMBL-only,186
Sapitinib,1.0,0.0,0.0,1.0,ChEMBL-only,189
Savolitinib,1.0,0.0,0.0,1.0,ChEMBL-only,186
Ribociclib,0.5000094771385193,0.0,0.4999904930591583,1.0,ChEMBL+PrimeKG,188
Romidepsin,0.4708961248397827,0.0,0.5291038751602173,1.0,ChEMBL+PrimeKG,132
Rucaparib,0.46642962098121643,0.0,0.533570408821106,1.0,ChEMBL+PrimeKG,189
Ruxolitinib,0.4794285297393799,0.0,0.5205714702606201,1.0,ChEMBL+PrimeKG,171
