DRUG_NAME,kg_class,alpha_chembl,alpha_drkg,alpha_primekg
AZD1208,ChEMBL-only,1.0,0.0,0.0
glutathione,PrimeKG-dominant,0.0,0.0,1.0
AT13148,ChEMBL-only,1.0,0.0,0.0
AMG-319,ChEMBL-only,1.0,0.0,0.0
AZD5438,ChEMBL-only,1.0,0.0,0.0
5-Fluorouracil,ChEMBL-only,1.0,0.0,0.0
AZD5363,ChEMBL-only,1.0,0.0,0.0
Uprosertib,ChEMBL-only,1.0,0.0,0.0
VE-822,ChEMBL-only,1.0,0.0,0.0
Vinblastine,ChEMBL+PrimeKG,0.4608815014362335,0.0,0.5391185283660889
Vinorelbine,PrimeKG-dominant,0.0,0.0,1.0
Vismodegib,ChEMBL+PrimeKG,0.477867990732193,0.0,0.5221320390701294
Vorinostat,ChEMBL+PrimeKG,0.4844989776611328,0.0,0.5155010223388672
Oxaliplatin,ChEMBL+PrimeKG,0.4518228769302368,0.0,0.5481771230697632
Zoledronate,ChEMBL+PrimeKG,0.45849472284317017,0.0,0.5415052771568298
PLX-4720,PrimeKG-dominant,0.0,0.0,1.0
OSI-027,ChEMBL-only,1.0,0.0,0.0
Obatoclax Mesylate,ChEMBL+PrimeKG,0.5028784871101379,0.0,0.49712151288986206
Olaparib,ChEMBL+PrimeKG,0.469624400138855,0.0,0.530375599861145
Osimertinib,ChEMBL+PrimeKG,0.48586249351501465,0.0,0.5141375064849854
Cisplatin,ChEMBL+PrimeKG,0.44569891691207886,0.0,0.5543010830879211
Crizotinib,ChEMBL+PrimeKG,0.49391451478004456,0.0,0.5060854554176331
Cyclophosphamide,ChEMBL+PrimeKG,0.45244571566581726,0.0,0.5475542545318604
Bleomycin (50 uM),ChEMBL+PrimeKG,0.46525490283966064,0.0,0.5347450971603394
Bortezomib,PrimeKG-dominant,0.0,0.0,1.0
Bosutinib,ChEMBL+PrimeKG,0.48678696155548096,0.0,0.513213038444519
Buparlisib,ChEMBL-only,1.0,0.0,0.0
Daporinad,ChEMBL+PrimeKG,0.47776150703430176,0.0,0.5222384929656982
Dasatinib,ChEMBL+PrimeKG,0.478165864944458,0.0,0.521834135055542
