DRUG_NAME,gene_name,n_cells,mean_delta_auc,abs_mean_delta,mean_tl_shift,std_tl_shift,mean_alpha,corr_tl_delta,is_known_target
Erlotinib,EGFR,185,-0.0025312253274023533,0.0026276791468262672,0.03044797107577324,0.0159507654607296,1.0,0.41235169250597026,True
Gefitinib,EGFR,186,-0.0013944567181169987,0.0015451943036168814,0.029905810952186584,0.013918026350438595,1.0,0.010171155710156737,True
Lapatinib,ERBB2,189,-0.011248314753174782,0.011248314753174782,0.07432695478200912,0.029722409322857857,1.0,0.8363319646634317,True
Venetoclax,BCL2,186,-0.00802287831902504,0.00803882721811533,0.05869663879275322,0.02711881324648857,1.0,0.5419513354997226,True
Trametinib,MYC,189,-0.00977255403995514,0.011145932599902153,0.0678001418709755,0.034880563616752625,1.0,0.7304431290993441,False
Olaparib,CDKN2A,189,0.001521881902590394,0.0016878219321370125,0.03174406290054321,0.012232902459800243,1.0,0.570634539038014,False
Palbociclib,CCND1,190,-0.00079684320371598,0.0015314121264964342,0.03487345203757286,0.011293604038655758,1.0,0.23553735997935507,False
Dasatinib,KIT,188,-0.0008426429121755064,0.0014129667542874813,0.011435511521995068,0.004601156339049339,1.0,0.3814833476911073,False
Venetoclax,EGFR,186,-0.0012739138910546899,0.0017011541640385985,0.025608735159039497,0.009854287840425968,1.0,-0.09984381483432717,False
Erlotinib,BCL2,185,-0.00215481361374259,0.0027568365912884474,0.020995590835809708,0.0057115512900054455,1.0,0.6345308339955766,False
Venetoclax,FGFR1,186,0.0021667759865522385,0.002596714533865452,0.026449505239725113,0.006831595674157143,1.0,0.114020871952338,False
Erlotinib,KIT,185,-0.00024563816259615123,0.0008302727364934981,0.009918627329170704,0.0029418806079775095,1.0,0.31554338349569766,False
