cancer_type,DRUG_NAME,gene_name,n_cells,mean_delta_auc,std_delta_auc,abs_mean_delta,frac_positive,is_known_target
NSCLC,Erlotinib,EGFR,28,-0.003830901114270091,0.004673758056014776,0.003951455932110548,0.21428571428571427,True
NSCLC,Erlotinib,ERBB2,28,-0.009602253325283527,0.006639610044658184,0.00961071252822876,0.03571428571428571,False
NSCLC,Erlotinib,MET,28,-0.0003649038844741881,0.0028566699475049973,0.0022324281744658947,0.32142857142857145,False
NSCLC,Gefitinib,EGFR,28,-0.0015087361680343747,0.0029790105763822794,0.0018637372413650155,0.32142857142857145,True
NSCLC,Gefitinib,ERBB2,28,-0.006529235281050205,0.004624214023351669,0.006583062466233969,0.03571428571428571,False
NSCLC,Gefitinib,MET,28,-0.0021571177057921886,0.0013702261494472623,0.002242756774649024,0.10714285714285714,False
NSCLC,Lapatinib,EGFR,29,-0.003516928991302848,0.003797657322138548,0.00358863128349185,0.13793103448275862,True
NSCLC,Lapatinib,ERBB2,29,-0.01447739265859127,0.008226881735026836,0.01447739265859127,0.0,True
NSCLC,Lapatinib,MET,29,0.000940230384003371,0.003192841773852706,0.00218382989987731,0.4827586206896552,False
Melanoma,Dabrafenib,CDKN2A,10,0.009296029806137085,0.005566400941461325,0.009296029806137085,1.0,False
Melanoma,Trametinib,CDKN2A,12,0.00395878916606307,0.004440020304173231,0.005235555116087198,0.8333333333333334,False
Melanoma,Selumetinib,CDKN2A,20,-3.322511838632636e-05,0.0037942195776849985,0.0028751238714903593,0.5,False
AML,Venetoclax,BCL2,7,-0.028131267055869102,0.008393150754272938,0.028131267055869102,0.0,True
AML,Venetoclax,KIT,7,-0.0027806886937469244,0.001045377110131085,0.0027806886937469244,0.0,False
AML,Cytarabine,BCL2,3,0.0011553565273061395,0.0019006303045898676,0.0015601912746205926,0.6666666666666666,False
AML,Cytarabine,KIT,3,-0.001833409070968628,0.0007166475988924503,0.001833409070968628,0.0,False
AML,Dasatinib,BCL2,7,0.002905649831518531,0.0016934338491410017,0.002905649831518531,1.0,False
AML,Dasatinib,KIT,7,0.0004971623420715332,0.0008295668521896005,0.0009060331503860652,0.8571428571428571,False
Breast,Lapatinib,ERBB2,12,-0.01899571157991886,0.00851415004581213,0.01899571157991886,0.0,True
Breast,Lapatinib,EGFR,12,-0.007724722381681204,0.004179623909294605,0.007724722381681204,0.0,True
Breast,Lapatinib,CCND1,12,0.004294338170439005,0.0029969338793307543,0.004344565328210592,0.9166666666666666,False
Breast,Alpelisib,ERBB2,12,-0.005874758120626211,0.0034965674858540297,0.005874758120626211,0.0,False
Breast,Alpelisib,EGFR,12,0.005336865782737732,0.002686925698071718,0.005336865782737732,1.0,False
Breast,Alpelisib,CCND1,12,-0.0022916097659617662,0.0017830412834882736,0.002487053396180272,0.16666666666666666,False
Breast,Palbociclib,ERBB2,13,-0.0005888113519176841,0.001648627337999642,0.0014680990716442466,0.23076923076923078,False
Breast,Palbociclib,EGFR,13,0.0015152418054640293,0.0013468880206346512,0.0015918108401820064,0.8461538461538461,False
Breast,Palbociclib,CCND1,13,-0.0008139976998791099,0.0016596505884081125,0.001354593550786376,0.5384615384615384,False
Colorectal,Erlotinib,EGFR,4,-0.0025162994861602783,0.0030778588261455297,0.0029837191104888916,0.25,True
Colorectal,Gefitinib,EGFR,4,-0.0009339600801467896,0.001033907406963408,0.0011480003595352173,0.25,True
Colorectal,Trametinib,EGFR,4,0.003921873867511749,0.0022275091614574194,0.003921873867511749,1.0,False
