gene_name,DRUG_NAME,drug_family,n_cells,mean_delta_auc,abs_mean_delta,std_delta_auc,is_known_target,is_family_drug
EGFR,Erlotinib,EGFR_inhibitors,185,-0.0025312253274023533,0.0026276791468262672,0.003347862744703889,True,True
EGFR,Venetoclax,BCL2_inhibitors,186,-0.0012739138910546899,0.0017011541640385985,0.0024842906277626753,False,True
EGFR,Alpelisib,PI3K_inhibitors,187,0.002358559286221862,0.0026169451884925365,0.0025965701788663864,False,True
EGFR,Rucaparib,PARP_inhibitors,189,-0.0005057718954049051,0.0011135985841974616,0.0013249570038169622,False,True
EGFR,Navitoclax,BCL2_inhibitors,190,-0.0029561142437160015,0.0031242126133292913,0.00289817713201046,False,True
EGFR,Buparlisib,PI3K_inhibitors,186,0.0009542573825456202,0.001479882514104247,0.0016028195386752486,False,True
EGFR,Trametinib,MEK_inhibitors,189,0.00041460280772298574,0.001827312633395195,0.0023540188558399677,False,True
EGFR,Rapamycin,MTOR_inhibitors,185,0.001122468733228743,0.001509527093730867,0.0018528287764638662,False,True
EGFR,Selumetinib,MEK_inhibitors,322,0.0007572246249765158,0.0017750702099874616,0.0021410523913800716,False,True
EGFR,Olaparib,PARP_inhibitors,189,-0.00026030768640339375,0.0012377380626276135,0.0015039060963317752,False,True
EGFR,Temsirolimus,MTOR_inhibitors,180,0.0008727815584279597,0.0015962348552420735,0.0022424254566431046,False,True
EGFR,Gefitinib,EGFR_inhibitors,186,-0.0013944567181169987,0.0015451943036168814,0.0020106409210711718,True,True
EGFR,Niraparib,PARP_inhibitors,170,0.0013952269218862057,0.001649319427087903,0.0015216927276924253,False,True
EGFR,Dabrafenib,BRAF_inhibitors,184,4.989799708710052e-05,0.0015229876153171062,0.0021039971616119146,False,True
EGFR,Palbociclib,CDK46_inhibitors,190,0.001050436170771718,0.001431177486665547,0.0014344332739710808,False,True
EGFR,Lapatinib,EGFR_inhibitors,189,-0.0032385559752583504,0.0032973173074424267,0.003501939820125699,True,True
EGFR,Dihydrorotenone,background,132,-0.004072828684002161,0.0042536817491054535,0.004471218679100275,False,False
EGFR,PRT062607,background,170,0.003083081915974617,0.0031012115068733692,0.0015262359520420432,False,False
EGFR,SCH772984,background,186,0.0013347734929993749,0.002015628619119525,0.0022747230250388384,False,False
EGFR,GSK2578215A,background,186,-0.00023576905368827283,0.001016934053041041,0.001217960612848401,False,False
EGFR,KU-55933,background,187,-0.0002406755811534822,0.0010221721604466438,0.0012375747319310904,False,False
EGFR,Afatinib,background,188,-0.005440848413854837,0.005451173055917025,0.004312684293836355,False,False
EGFR,Obatoclax Mesylate,background,151,-0.0008908439194783568,0.0019508174154907465,0.0022673294879496098,False,False
EGFR,MIM1,background,145,-8.691426046425477e-05,0.0010531565640121698,0.0013079139171168208,False,False
EGFR,AZD3759,background,189,-0.0011274530552327633,0.0012795369839295745,0.0012048383941873908,False,False
EGFR,720427,background,132,1.7151236534118652e-05,0.0010462001664564013,0.0012681704247370362,False,False
EGFR,Wee1 Inhibitor,background,186,0.0028142582159489393,0.0028719850815832615,0.0018154969438910484,False,False
EGFR,Avagacestat,background,189,-0.0003454801917541772,0.0009860263671725988,0.0011871997267007828,False,False
EGFR,GSK-LSD1-2HCl ,background,146,-8.916487422538921e-05,0.0010811085812747478,0.0013151585590094328,False,False
EGFR,AZD6482,background,56,0.0022656333167105913,0.002599159488454461,0.00263417512178421,False,False
EGFR,UMI-77,background,145,-0.00026113822241313756,0.0016752457013353705,0.0020651754457503557,False,False
EGFR,Ipatasertib,background,186,0.0023815531749278307,0.002629754599183798,0.0025681923143565655,False,False
EGFR,Cyclophosphamide,background,186,-0.0002292558056069538,0.000992506043985486,0.0011973079526796937,False,False
EGFR,776928,background,132,1.7151236534118652e-05,0.0010462001664564013,0.0012681704247370362,False,False
EGFR,Leflunomide,background,170,0.00017093525093514472,0.0009359587565995753,0.00116347661241889,False,False
EGFR,IWP-2,background,170,-0.0002410261076875031,0.0009832701180130243,0.0011860544327646494,False,False
