gene_name,drug_family,mean_delta_family,mean_delta_background,specificity_score,is_family_target,n_family_drugs,n_background_drugs
BCL2,BCL2_inhibitors,0.009454149287194014,0.0025673896035489936,3.680963851485108,True,2,30
CDKN2B,MEK_inhibitors,0.003644346841610968,0.0014693039372408142,2.4786350286526355,False,2,30
FGFR3,BCL2_inhibitors,0.0037894033594056964,0.0015876768991195907,2.3852574186140045,False,2,30
NOTCH3,MEK_inhibitors,0.0029982380801811814,0.001331547482792909,2.250004685684538,False,2,30
MYC,BCL2_inhibitors,0.010308929486200213,0.004750946699641645,2.169411851142529,False,2,30
PIK3CD,BCL2_inhibitors,0.003851768095046282,0.0018505589842485884,2.0802837650940034,False,2,30
PIK3CD,MEK_inhibitors,0.003795986878685653,0.0018505589842485884,2.0501571437791193,False,2,30
ERBB3,BCL2_inhibitors,0.0031034909188747406,0.0015459502639714629,2.006199547041153,False,2,30
AKT3,MEK_inhibitors,0.004974171984940767,0.0025174207558544973,1.9751155454772433,False,2,30
MYC,MEK_inhibitors,0.008975238772109151,0.004750946699641645,1.88874988281876,False,2,30
BCL2A1,MEK_inhibitors,0.001292661007028073,0.0006844341978042696,1.8859009532483249,False,2,30
ERBB2,BCL2_inhibitors,0.008667800342664123,0.004705272692566116,1.8417548044667096,False,2,30
BCL2A1,BCL2_inhibitors,0.0012454639072529972,0.0006844341978042696,1.8170437238800385,False,2,30
FGFR1,EGFR_inhibitors,0.004421540070325136,0.002531776980807384,1.7457281489172658,False,3,30
MAPK13,PI3K_inhibitors,0.003997414838522673,0.002302401652559638,1.7354397719045545,False,2,30
CDKN1A,MEK_inhibitors,0.010872220620512962,0.006304058774063984,1.7243646744795007,False,2,30
MAP4K1,EGFR_inhibitors,0.0016175627242773771,0.0009423045140768712,1.7147831905165247,False,3,30
ERBB2,EGFR_inhibitors,0.007871994283050299,0.004705272692566116,1.6726600427307705,True,3,30
KIT,BCL2_inhibitors,0.0017119631520472467,0.001028127126240482,1.6635098894936742,False,2,30
CDKN2C,PI3K_inhibitors,0.00783907761797309,0.004781665051511178,1.6390605517097996,False,2,30
KIT,PI3K_inhibitors,0.0016644321731291711,0.001028127126240482,1.6173241679184287,False,2,30
MAPK13,MEK_inhibitors,0.003557989723049104,0.002302401652559638,1.5446675220951214,False,2,30
BCL2A1,MTOR_inhibitors,0.0010490211425349116,0.0006844341978042696,1.5304476285183346,False,2,30
MYCN,MEK_inhibitors,0.001265283761313185,0.000832584110321477,1.5178837332026642,False,2,30
CDKN2B,BRAF_inhibitors,0.0022084375377744436,0.0014693039372408142,1.5020279017403828,False,1,30
MGMT,MTOR_inhibitors,0.004354267846792936,0.0029430128866806625,1.479024723870118,False,2,30
BCL2A1,BRAF_inhibitors,0.0010090027935802937,0.0006844341978042696,1.4720636886991465,False,1,30
NOTCH3,MTOR_inhibitors,0.0019489630940370262,0.001331547482792909,1.4625843500541995,False,2,30
CCND2,BCL2_inhibitors,0.0012076888524461538,0.0008420900771549593,1.4324553036154184,False,2,30
MAPK13,BCL2_inhibitors,0.003283425816334784,0.002302401652559638,1.4254682038133042,False,2,30
NOTCH3,BCL2_inhibitors,0.0018890161300078034,0.001331547482792909,1.4175976123932053,False,2,30
AKT3,BCL2_inhibitors,0.0035621082643046975,0.0025174207558544973,1.4144214210528447,False,2,30
CCND1,BRAF_inhibitors,0.0027088476344943047,0.0019235458283219486,1.4075256585893854,False,1,30
BCL2A1,PI3K_inhibitors,0.0009643439552746713,0.0006844341978042696,1.406909603232324,False,2,30
ERBB3,MTOR_inhibitors,0.002173083834350109,0.0015459502639714629,1.404753523730739,False,2,30
MGMT,BCL2_inhibitors,0.004076497978530824,0.0029430128866806625,1.3846739587906574,False,2,30
CCND1,BCL2_inhibitors,0.0026588034816086292,0.0019235458283219486,1.3815225610537398,False,2,30
FGFR4,EGFR_inhibitors,0.003170275672649344,0.002329002848515908,1.3606316724756995,False,3,30
NOTCH3,CDK46_inhibitors,0.0018091333331540227,0.001331547482792909,1.3576501824627139,False,1,30
CDKN2B,BCL2_inhibitors,0.0019960832432843745,0.0014693039372408142,1.357599060116946,False,2,30
