condition,DRUG_NAME,spearman_r,p_value,n_cells,kg_active
full,Vinblastine,0.6947252401196662,3.2699760061711353e-22,145,True
full,Pevonedistat,0.5923176205428522,8.288745345829005e-19,184,True
full,Dactinomycin,0.8619977448312713,1.164144246872867e-94,316,True
full,VE-822,0.2457740243403497,0.0012354927050268801,170,True
full,ERK_2440,0.3154477101845523,0.00021690333216993276,133,True
full,Lenalidomide,0.018688565385093944,0.798535300943712,189,True
full,Epirubicin,0.455056436460611,6.786336978791912e-11,186,True
full,GSK2110183B,0.14006563946298778,0.10919261115291327,132,True
full,Lestaurtinib,0.5097666070858368,9.235036449452605e-14,187,True
full,Veliparib,0.06987681970884659,0.339353711390854,189,True
full,Linsitinib,0.3382023344476411,2.06558519526151e-06,188,True
full,Ibrutinib,0.2942179883681496,0.00010836079021210185,168,True
full,Uprosertib,0.2531539086105233,5.194646370456058e-06,316,True
full,Selumetinib,0.4584075936668643,3.9001456234961546e-18,322,True
full,BEN,0.37298969099092405,1.0598504268351142e-05,132,True
full,Foretinib,0.32640461748621136,5.449143323668317e-06,186,True
full,Nelarabine,0.09129520539725439,0.29782834914416423,132,True
full,AZD8186,0.32612115306612455,5.558335514457645e-06,186,True
full,Doramapimod,0.004259356453631556,0.9538636989465931,187,True
full,Methotrexate,0.31223838947578236,2.8879718787990722e-05,173,True
full,Trametinib,0.6421212605983043,2.3404551167985462e-23,189,True
full,Sapitinib,0.4181827230898074,2.1297955961671036e-09,189,True
full,Nilotinib,0.11632235320874872,0.11484410799165631,185,True
full,Sorafenib,0.3599876916764962,4.4948563627475285e-07,186,True
full,AZD6482,-0.022966507177033493,0.8665743280631628,56,True
full,Tanespimycin,0.23762964042628434,0.000993059792839571,189,True
full,5-Fluorouracil,0.28346170837215207,7.399476538417448e-05,190,True
full,Vorinostat,0.5995489229572156,1.234509053159131e-19,187,True
full,Dasatinib,0.5447122756259176,6.434830951378715e-16,188,True
full,Entinostat,0.5111791105671156,9.062012295653559e-13,171,True
full,SN-38,0.385823188076004,4.549764870098249e-08,188,True
full,Palbociclib,0.3071510832715079,1.628809210108069e-05,190,True
full,Dinaciclib,0.5203742038702744,3.5103318394121363e-13,170,True
full,Alisertib,0.41408757296141474,5.123781014770834e-09,184,True
full,Navitoclax,0.47906765167718607,2.709209877665611e-12,190,True
full,Bleomycin (50 uM),0.44349409515750027,1.846851996454102e-08,147,True
full,Gefitinib,0.053139321830023914,0.47131118382037795,186,True
full,Tretinoin,0.16405919661733614,0.28726175511597285,44,True
full,AZD1208,0.004936004132468575,0.9552053248346265,132,True
full,Obatoclax Mesylate,0.40497072583731464,2.4998146522831147e-07,151,True
full,Ribociclib,0.01347824752080071,0.854342774344971,188,True
full,Bosutinib,0.13607778311025792,0.06189547995878376,189,True
full,Avagacestat,0.15106300816893373,0.0379941136876762,189,True
full,Rapamycin,0.14908077783253101,0.04283591921558864,185,True
full,Dactolisib,0.2659017478751824,0.00024423628021378777,186,True
full,Romidepsin,-0.02478959369276765,0.7778321628352268,132,True
full,PLX-4720,0.1906643231121409,0.00914079818712066,186,True
full,Fludarabine,0.2958367466201937,0.0005731744946382893,132,True
full,RVX-208,-0.004033932418503084,0.9583627954803976,170,True
full,Rucaparib,0.029293090883236464,0.6890624493277486,189,True
full,BMS-754807,0.3868394390230897,3.831240448947733e-08,189,True
full,Fulvestrant,0.031798782992654866,0.5714902903123066,319,True
full,MK-2206,0.28448345995879754,6.950744555807132e-05,190,True
full,Entospletinib,-0.014507727725160449,0.851055452948754,170,True
full,Temsirolimus,0.13746514810127886,0.06574098819631727,180,True
full,Erlotinib,0.2325102500427889,0.0014484961887547688,185,True
full,glutathione,0.06073649622394683,0.46184067244308924,149,True
full,OSI-027,0.095337425750442,0.1931047427801983,188,True
