DRUG_NAME,cancer_group,n_total,delta_spearman_mean,delta_auc_mean,mean_auc,alpha_PrimeKG_mean
Cisplatin,Colorectal,43,0.10344306855934765,0.09029128,0.9444838372093024,0.48085377790697675
Cisplatin,Other,364,0.0843104591547929,0.05119066,0.9170438296703296,0.44536096173076917
Cisplatin,Haematological,109,0.07598925030117692,-0.016849596,0.8569883577981651,0.4902311373394496
Cisplatin,Skin,31,0.040322580645161255,0.06984362,0.9326058064516127,0.4528617519354839
Cisplatin,Lung,115,0.034506430995028786,0.0585733,0.9275352000000002,0.45777457
Cisplatin,Pancreatic,30,-0.07563959955506111,0.061027814,0.9509419333333333,0.4164261456666667
Cisplatin,Breast,51,-0.24479638009049776,0.060127184,0.9636315098039215,0.45605187705882355
Crizotinib,Haematological,138,0.1054592695250337,-0.021864807,0.8166535144927536,0.5928676814492754
Crizotinib,Other,465,0.06114776200712785,-0.009228587,0.8971911677419355,0.5749792564731183
Crizotinib,Lung,156,0.021820423258681,-0.0019521496,0.8903369423076922,0.5732740283974359
Crizotinib,Colorectal,48,-0.017694311767260162,-0.007620912,0.8702241041666667,0.5688594789583333
Crizotinib,Breast,50,-0.08172869147659062,-0.012534609,0.9312727599999999,0.5590273366
Crizotinib,Pancreatic,30,-0.12413793103448278,-0.0035065075,0.9450913333333334,0.5476259403333333
Crizotinib,Skin,54,-0.1479702687249857,-0.017466763,0.9141168518518519,0.5988974733333334
Cytarabine,Haematological,106,0.3688943748897902,-0.09785621,0.6674483773584904,0.6492519196226416
Cytarabine,Pancreatic,29,0.16403940886699508,-0.013901166,0.9171872758620689,0.5963253000000001
Cytarabine,Lung,111,0.1150228150228152,0.010298287,0.9034098198198198,0.6273362146846846
Cytarabine,Other,362,0.08015066035327334,-0.0022516248,0.8872335773480663,0.6176914105248619
Cytarabine,Breast,45,0.06647122767860453,0.04390279,0.9339312222222222,0.6312112646666667
Cytarabine,Colorectal,42,0.05915241876671262,0.002305756,0.8809852857142857,0.6443827411904761
Cytarabine,Skin,31,0.007661290322580672,0.014037338,0.8768258387096775,0.6011337129032259
Erlotinib,Breast,50,0.23529411764705882,-0.007155621,0.9504288799999999,0.5616288380000001
