DRUG_NAME,drug_id,target,expected_cancer,cancer_group,n_cells,delta_auc_mean,delta_auc_std,baseline_spearman,ko_spearman,delta_spearman,mean_auc,alpha_PrimeKG_mean,alpha_ChEMBL_mean,is_expected
Erlotinib,1168,EGFR,Lung,Skin,54,-0.020012105,0.019028034,0.32182199352010665,0.23941299790356388,0.08240899561654277,0.9502360555555557,0.5339935429629629,0.4660064596296298,False
Erlotinib,1168,EGFR,Lung,Other,463,-0.018834248,0.027691057,0.23106247388853532,0.022963036714344555,0.20809943717419077,0.9303567537796976,0.5533137124838013,0.44668629455723546,False
Erlotinib,1168,EGFR,Lung,Pancreatic,30,-0.028802736,0.021272732,0.18086763070077863,0.18264738598442715,-0.0017797552836485153,0.9402456333333333,0.5355802343333333,0.4644197776666667,False
Erlotinib,1168,EGFR,Lung,Lung,154,-0.008015046,0.027744927,0.188148221165299,0.06057813154587348,0.1275700896194255,0.9314178766233767,0.5657022753896104,0.4342977286363636,True
Erlotinib,1168,EGFR,Lung,Colorectal,46,-0.028522737,0.02905306,0.32889300030835644,0.11168670983657107,0.21720629047178536,0.9234795,0.572951875,0.42704813369565214,False
Erlotinib,1168,EGFR,Lung,Haematological,133,-0.026959509,0.036456905,0.25967904836718664,0.18128258230379204,0.0783964660633946,0.9505095563909775,0.5828558630827066,0.41714414263157895,False
Erlotinib,1168,EGFR,Lung,Breast,50,-0.007155621,0.025574075,0.28547418967587035,0.05018007202881152,0.23529411764705882,0.9504288799999999,0.5616288380000001,0.4383711678,False
Gefitinib,1010,EGFR,Lung,Skin,54,-0.086285636,0.026524654,0.19367257480465025,0.0025538402896893462,0.1911187345149609,0.9740118888888889,0.5271922855555555,0.4728077194444445,False
Gefitinib,1010,EGFR,Lung,Other,463,-0.0807443,0.03476195,0.267182861824256,0.10096877874490147,0.16621408307935454,0.9554688682505399,0.543829387451404,0.4561706172354212,False
Gefitinib,1010,EGFR,Lung,Pancreatic,30,-0.08008741,0.020559642,0.6226918798665184,0.5256952169076751,0.09699666295884335,0.9612217000000001,0.5325423283333334,0.4674576796666666,False
Gefitinib,1010,EGFR,Lung,Lung,154,-0.0694147,0.030945959,0.08495198665976655,-0.05713135694160362,0.14208334360137018,0.9537593636363636,0.5573363696753247,0.442663636948052,True
Gefitinib,1010,EGFR,Lung,Colorectal,46,-0.09090667,0.044035394,0.45050878815911194,0.2615479494295405,0.18896083872957142,0.9466696304347828,0.5667839656521739,0.43321604434782596,False
Gefitinib,1010,EGFR,Lung,Haematological,136,-0.10171681,0.061503816,0.1202662086732503,0.1285244024617146,-0.00825819378846429,0.9836466691176471,0.5743472947058824,0.42565271455882353,False
Gefitinib,1010,EGFR,Lung,Breast,50,-0.056679856,0.028914792,0.552172869147659,0.3783433373349339,0.17382953181272504,0.9617823000000001,0.5529315816,0.44706841919999996,False
Osimertinib,1919,EGFR,Lung,Skin,54,-0.049785737,0.013978256,0.3642081189251,0.29018486754335804,0.07402325138174198,0.9624164629629628,0.5370662546296295,0.46293375240740736,False
Osimertinib,1919,EGFR,Lung,Other,463,-0.05994756,0.02768776,0.34976829521711833,0.10969109807196092,0.2400771971451574,0.9319507451403888,0.5092854120950324,0.49071459380129584,False
Osimertinib,1919,EGFR,Lung,Pancreatic,30,-0.053598173,0.015772944,0.5265850945494994,0.2832035595105673,0.24338153503893212,0.9487329333333335,0.48363997833333333,0.5163600190000001,False
Osimertinib,1919,EGFR,Lung,Lung,154,-0.055079423,0.024140893,0.4054494525082761,0.29551738583996656,0.10993206666830951,0.9299920519480519,0.5102953009090909,0.48970470766233765,True
Osimertinib,1919,EGFR,Lung,Colorectal,46,-0.059757672,0.024030413,0.749491211840888,0.33826703669441877,0.4112241751464692,0.9145302608695652,0.504431745652174,0.49556826152173905,False
