DRUG_ID,DRUG_NAME,n_cells,delta_auc_mean,delta_auc_std,delta_auc_abs_mean,baseline_spearman,ko_spearman,delta_spearman,has_ChEMBL,has_PrimeKG,graph_degree_ChEMBL,graph_degree_PrimeKG
1005,Cisplatin,743,0.046403445,0.051429726,0.061643034,0.5385326306480203,0.471573840433412,0.06695879021460827,1.0,1.0,6.0,324.0
1006,Cytarabine,726,-0.01093688,0.08015004,0.06319573,0.751359332273725,0.6559577237065247,0.09540160856720026,1.0,1.0,26.0,476.0
1010,Gefitinib,933,-0.08144247,0.040221293,0.08168305,0.056734810788004505,-0.07489897321220892,0.13163378400021342,1.0,1.0,6.0,212.0
1047,Nutlin-3a (-),943,0.0,0.0,0.0,0.30083862359052677,0.30083862359052677,0.0,0.0,0.0,0.0,0.0
1048,Mirin,871,0.0,0.0,0.0,0.5696154406369774,0.5696154406369774,0.0,0.0,0.0,0.0,0.0
1059,AZD8055,729,0.0,0.0,0.0,0.5799737415043601,0.5799737415043601,0.0,0.0,0.0,0.0,0.0
1067,CCT007093,913,0.0,0.0,0.0,-0.15678077959114534,-0.15678077959114534,0.0,0.0,0.0,0.0,0.0
1083,Crizotinib,941,-0.0102594225,0.022765193,0.017832931,0.44146428596155735,0.40650652064256076,0.03495776531899658,1.0,1.0,62.0,104.0
1149,TW 37,368,0.0,0.0,0.0,0.24486295597466104,0.24486295597466104,0.0,0.0,0.0,0.0,0.0
1168,Erlotinib,930,-0.018446036,0.02917385,0.026805853,0.1725899353779458,0.01990088851771993,0.15268904686022589,1.0,1.0,12.0,244.0
1179,MK-1775,942,-0.013492025,0.041495103,0.028363457,0.5146831261604757,0.49233963198459724,0.022343494175878498,1.0,1.0,12.0,102.0
1192,GSK269962A,260,0.0,0.0,0.0,0.16979305049910814,0.16979305049910814,0.0,0.0,0.0,0.0,0.0
1200,Fulvestrant,938,-0.038337015,0.050764825,0.04253613,-0.15924683534362588,-0.020251128289719773,-0.1389957070539061,1.0,1.0,22.0,156.0
1243,Piperlongumine,217,0.0,0.0,0.0,0.40766616402899325,0.40766616402899325,0.0,0.0,0.0,0.0,0.0
1249,BMS-345541,869,0.0,0.0,0.0,0.5531688709389716,0.5531688709389716,0.0,0.0,0.0,0.0,0.0
1259,Talazoparib,931,-0.034128565,0.028003033,0.035210025,0.4558584966589044,0.3398409681687438,0.11601752849016056,1.0,1.0,16.0,8.0
1268,XAV939,870,0.0,0.0,0.0,0.21641408296882653,0.21641408296882653,0.0,0.0,0.0,0.0,0.0
1372,Trametinib,941,-0.031202566,0.04565472,0.034757,0.6738881875255345,0.760553987045611,-0.08666579952007647,1.0,1.0,12.0,52.0
1401,AZD5438,698,0.028524673,0.030529043,0.03655952,0.3782567537862036,0.42968370291592595,-0.051426949129722344,1.0,0.0,12.0,0.0
1449,AZD1208,697,-0.0518183,0.04220278,0.05436308,-0.016495863927103605,-0.0561902419880312,0.0396943780609276,1.0,0.0,12.0,0.0
1463,AZD1332,698,0.0,0.0,0.0,0.3936503768710111,0.3936503768710111,0.0,0.0,0.0,0.0,0.0
1494,SN-38,933,-0.045101754,0.070826426,0.062641926,0.6198357121378844,0.536744121773881,0.08309159036400338,1.0,1.0,6.0,30.0
1507,Ruxolitinib,875,-0.0002777915,0.017159386,0.012063739,0.22523686528281964,0.2609258780230961,-0.03568901274027644,1.0,1.0,22.0,116.0
1512,Cyclophosphamide,932,0.017388454,0.028064301,0.027243884,0.011165690166055548,0.0071768102268843625,0.003988879939171186,1.0,1.0,6.0,342.0
1560,Alpelisib,940,-0.027762074,0.024665035,0.028864186,0.4854155143511268,0.30353147408637515,0.18188404026475163,1.0,1.0,12.0,58.0
1576,IWP-2,870,0.0,0.0,0.0,0.0925755076890603,0.0925755076890603,0.0,0.0,0.0,0.0,0.0
1593,Entinostat,875,0.009513174,0.025129186,0.021108394,0.32479286654509587,0.35531465968657194,-0.030521793141476072,1.0,0.0,6.0,0.0
1622,Wnt-C59,871,0.0,0.0,0.0,0.2983648656350902,0.2983648656350902,0.0,0.0,0.0,0.0,0.0
1630,Entospletinib,871,-0.043596722,0.0349463,0.043890357,0.4662926960464482,0.45590329558165743,0.010389400464790755,1.0,0.0,12.0,0.0
1631,PRT062607,871,0.0,0.0,0.0,0.5507184699605524,0.5507184699605524,0.0,0.0,0.0,0.0,0.0
1739,JAK_8517,698,0.0,0.0,0.0,0.4056649510317488,0.4056649510317488,0.0,0.0,0.0,0.0,0.0
1779,GSK626616AC,698,0.0,0.0,0.0,0.06055184252004917,0.06055184252004917,0.0,,,,
1786,AZD4547,934,0.0,0.0,0.0,0.25006093856951095,0.25006093856951095,0.0,0.0,0.0,0.0,0.0
1806,Oxaliplatin,698,0.020796685,0.049243495,0.043978382,0.493741789906399,0.5095168894307067,-0.015775099524307723,,,,
