DRUG_ID,DRUG_NAME,source_ablated,n_cells,delta_auc_mean,delta_auc_std,delta_auc_abs_mean,baseline_spearman,ko_spearman,delta_spearman,has_ChEMBL,has_PrimeKG
1372,Trametinib,ChEMBL,941,0.0006271467,0.0065699117,0.0040925397,0.6738881875255345,0.6786620172649603,-0.004773829739425861,1.0,1.0
1908,Ulixertinib,ChEMBL,933,0.0,0.0,0.0,0.6141059548721544,0.6141059548721544,0.0,0.0,0.0
2096,VX-11e,ChEMBL,929,0.0,0.0,0.0,0.5664705127224022,0.5664705127224022,0.0,0.0,0.0
1873,Buparlisib,ChEMBL,933,0.011559379,0.042897336,0.033864208,0.4668220712374413,0.5160769211439137,-0.04925484990647239,1.0,0.0
1083,Crizotinib,ChEMBL,941,-0.0027218834,0.0061920085,0.0051902058,0.44146428596155735,0.47096628804038804,-0.02950200207883069,1.0,1.0
1593,Entinostat,ChEMBL,875,0.009513175,0.025114823,0.021108394,0.32479286654509587,0.35531465968657194,-0.030521793141476072,1.0,0.0
1200,Fulvestrant,ChEMBL,938,-0.0076447786,0.018972214,0.016419875,-0.15924683534362588,-0.2300290114167901,0.07078217607316423,1.0,1.0
1816,Fulvestrant,ChEMBL,698,-0.010028184,0.01727053,0.016405964,0.09112960476268481,0.03531844519141731,0.0558111595712675,,
1401,AZD5438,ChEMBL,698,0.028524673,0.030507166,0.03655952,0.3782567537862036,0.42968370291592595,-0.051426949129722344,1.0,0.0
2037,GSK343,ChEMBL,724,0.0,0.0,0.0,0.11093726693594486,0.11093726693594486,0.0,,
1936,Savolitinib,ChEMBL,932,0.01002966,0.043426923,0.03433511,0.14734757712797025,0.00746629448466126,0.13988128264330899,1.0,0.0
1268,XAV939,ChEMBL,870,0.0,0.0,0.0,0.21641408296882653,0.21641408296882653,0.0,0.0,0.0
1494,SN-38,ChEMBL,933,9.701208e-05,0.006734862,0.0053163967,0.6198357121378844,0.6265766699622397,-0.006740957824355354,1.0,1.0
1179,MK-1775,ChEMBL,942,0.003424943,0.011175621,0.00823211,0.5146831261604757,0.48136907501202525,0.033314051148450485,1.0,1.0
1927,GSK2578215A,ChEMBL,933,0.0,0.0,0.0,0.16111246409925653,0.16111246409925653,0.0,0.0,0.0
1739,JAK_8517,ChEMBL,698,0.0,0.0,0.0,0.4056649510317488,0.4056649510317488,0.0,0.0,0.0
1010,Gefitinib,ChEMBL,933,-0.000967272,0.01304663,0.009544158,0.056734810788004505,0.02060923339953279,0.03612557738847172,1.0,1.0
1631,PRT062607,ChEMBL,871,0.0,0.0,0.0,0.5507184699605524,0.5507184699605524,0.0,0.0,0.0
1006,Cytarabine,ChEMBL,726,-0.0024965731,0.018803999,0.014000448,0.751359332273725,0.7527774405300873,-0.0014181082563623493,1.0,1.0
