DRUG_NAME,drug_id,target,family,expected_cancer,n_edges_ablated,n_chembl_edges,n_primekg_edges,n_cells,delta_auc_mean,delta_auc_std,delta_auc_abs_mean,baseline_spearman,ko_spearman,delta_spearman
Erlotinib,1168,EGFR,EGFR_inhibitor,Lung,128,6,122,930,-2.0847141e-05,7.015059e-05,5.6784254e-05,0.1725899353779458,0.1727746222473226,-0.00018468686937678225
Gefitinib,1010,EGFR,EGFR_inhibitor,Lung,109,3,106,933,-4.476098e-06,3.5616435e-05,2.7259894e-05,0.056734810788004505,0.056753730582051506,-1.891979404700095e-05
Osimertinib,1919,EGFR,EGFR_inhibitor,Lung,14,3,11,932,-1.4610812e-06,2.8897075e-05,2.2297509e-05,0.3210041573645688,0.320907489635271,9.666772929778356e-05
Venetoclax,1909,BCL2,BCL2_inhibitor,Haematological,14,6,8,933,-2.9800789e-05,6.2516454e-05,5.4529883e-05,0.4538785997905594,0.4538536516664233,2.4948124136114913e-05
Trametinib,1372,MAP2K1/MAP2K2,MEK_inhibitor,Skin,32,6,26,941,-4.456033e-06,5.7191824e-05,4.2509768e-05,0.6738881875255345,0.6738985207241318,-1.0333198597334281e-05
Crizotinib,1083,ALK/MET,ALK_inhibitor,Lung,83,31,52,941,-4.6905054e-05,6.126169e-05,5.8950387e-05,0.44146428596155735,0.44152426891926855,-5.99829577112021e-05
Talazoparib,1259,PARP1/PARP2,PARP_inhibitor,Breast,12,8,4,931,-1.8282044e-05,3.8289076e-05,3.332495e-05,0.4558584966589044,0.45594096980704296,-8.247314813858431e-05
Ruxolitinib,1507,JAK1/JAK2,JAK_inhibitor,Haematological,69,11,58,875,0.00038317047,0.0002668308,0.00040808765,0.22523686528281964,0.22511741537592755,0.0001194499068920829
Cisplatin,1005,DNA,DNA_damaging,Bladder,165,3,162,743,2.0791673e-05,5.2137293e-05,4.4846278e-05,0.5385326306480203,0.5383139270924469,0.00021870355557340737
Cytarabine,1006,DNA_polymerase,antimetabolite,Haematological,251,13,238,726,-8.0560685e-06,8.6637694e-05,6.6646615e-05,0.751359332273725,0.7513858312396734,-2.6498965948418274e-05
