DRUG_NAME,cancer_group,n,alpha_ChEMBL_mean,alpha_PrimeKG_mean,mean_AUC
Cisplatin,Breast,51,0.5439481350980392,0.45605187705882355,0.9636315098039215
Cisplatin,Colorectal,43,0.5191462260465116,0.48085377790697675,0.9444838372093024
Cisplatin,Haematological,109,0.5097688652293578,0.49023113733944956,0.8569883577981652
Cisplatin,Lung,115,0.5422254393913043,0.45777457,0.9275352
Cisplatin,Other,364,0.5546390464835165,0.4453609617307692,0.9170438296703296
Cisplatin,Pancreatic,30,0.5835738626666667,0.4164261456666667,0.9509419333333333
Cisplatin,Skin,31,0.5471382480645162,0.45286175193548384,0.9326058064516128
Crizotinib,Breast,50,0.4409726704,0.5590273366,0.9312727599999999
Crizotinib,Colorectal,48,0.43114053041666667,0.5688594789583333,0.8702241041666667
Crizotinib,Haematological,138,0.4071323215942029,0.5928676814492754,0.8166535144927536
Crizotinib,Lung,156,0.4267259782051282,0.5732740283974359,0.8903369423076922
Crizotinib,Other,465,0.42502074984946236,0.5749792564731183,0.8971911677419355
Crizotinib,Pancreatic,30,0.45237407100000004,0.5476259403333333,0.9450913333333334
Crizotinib,Skin,54,0.4011025398148148,0.5988974733333333,0.9141168518518519
Cytarabine,Breast,45,0.3687887464444444,0.6312112646666667,0.9339312222222222
Cytarabine,Colorectal,42,0.35561726714285713,0.6443827411904761,0.8809852857142857
Cytarabine,Haematological,106,0.3507480929245283,0.6492519196226416,0.6674483773584905
Cytarabine,Lung,111,0.37266379063063065,0.6273362146846846,0.9034098198198198
Cytarabine,Other,362,0.38230859632596687,0.6176914105248619,0.8872335773480663
Cytarabine,Pancreatic,29,0.40367469586206894,0.5963253000000001,0.917187275862069
Cytarabine,Skin,31,0.3988663022580645,0.6011337129032258,0.8768258387096775
Erlotinib,Breast,50,0.4383711678,0.5616288380000001,0.95042888
Erlotinib,Colorectal,46,0.42704813369565214,0.572951875,0.9234795
Erlotinib,Haematological,133,0.41714414263157895,0.5828558630827068,0.9505095563909775
Erlotinib,Lung,154,0.4342977286363636,0.5657022753896104,0.9314178766233767
Erlotinib,Other,463,0.4466862945572354,0.5533137124838012,0.9303567537796976
Erlotinib,Pancreatic,30,0.46441977766666664,0.5355802343333332,0.9402456333333333
Erlotinib,Skin,54,0.46600645962962967,0.533993542962963,0.9502360555555556
Gefitinib,Breast,50,0.4470684192,0.5529315816,0.9617823
Gefitinib,Colorectal,46,0.4332160443478261,0.5667839656521739,0.9466696304347826
Gefitinib,Haematological,136,0.42565271455882353,0.5743472947058823,0.9836466691176471
Gefitinib,Lung,154,0.4426636369480519,0.5573363696753247,0.9537593636363636
Gefitinib,Other,463,0.4561706172354212,0.5438293874514039,0.95546886825054
Gefitinib,Pancreatic,30,0.4674576796666667,0.5325423283333334,0.9612217
Gefitinib,Skin,54,0.47280771944444444,0.5271922855555555,0.9740118888888889
Osimertinib,Breast,50,0.5072060458,0.49279395899999995,0.90872412
Osimertinib,Colorectal,46,0.4955682615217391,0.5044317456521739,0.9145302608695652
Osimertinib,Haematological,135,0.47076719933333333,0.5292328037037036,0.9559800666666667
Osimertinib,Lung,154,0.48970470766233765,0.5102953009090909,0.9299920519480519
Osimertinib,Other,463,0.49071459380129584,0.5092854120950324,0.9319507451403888
Osimertinib,Pancreatic,30,0.516360019,0.48363997833333333,0.9487329333333334
Osimertinib,Skin,54,0.4629337524074074,0.5370662546296296,0.962416462962963
Ruxolitinib,Breast,45,0.3837339531111111,0.616266054,0.9726981777777777
Ruxolitinib,Colorectal,48,0.36662672187499995,0.633373281875,0.969878
Ruxolitinib,Haematological,133,0.34404901609022553,0.6559509898496241,0.9499407969924811
Ruxolitinib,Lung,141,0.3732252142553192,0.6267747919148936,0.9635096595744681
Ruxolitinib,Other,428,0.37884160757009344,0.6211584009345795,0.9661327546728972
Ruxolitinib,Pancreatic,30,0.3998218826666667,0.600178123,0.9790656666666667
Ruxolitinib,Skin,50,0.355747302,0.6442527072,0.97765742
Talazoparib,Breast,50,0.5200445306,0.4799554798,0.9260808199999999
Talazoparib,Colorectal,46,0.5100144954347826,0.4899855191304348,0.9012114999999999
Talazoparib,Haematological,135,0.48238593037037036,0.5176140785925926,0.6990300814814815
Talazoparib,Lung,154,0.5003693753896103,0.4996306283116883,0.8605779025974026
Talazoparib,Other,462,0.4987493514069264,0.501250654004329,0.8512961212121213
Talazoparib,Pancreatic,30,0.5297691176666667,0.47023089,0.9236206333333333
Talazoparib,Skin,54,0.464632647037037,0.5353673662962963,0.9041878888888889
Trametinib,Breast,50,0.4358000158,0.5641999944,0.91267818
Trametinib,Colorectal,48,0.42711580708333335,0.5728841964583333,0.6430751666666666
Trametinib,Haematological,138,0.4137282238405797,0.5862717838405797,0.8469884782608695
Trametinib,Lung,156,0.42425651647435897,0.5757434892948718,0.8706885641025641
Trametinib,Other,465,0.42611587395698924,0.5738841335698924,0.856519935483871
Trametinib,Pancreatic,30,0.4439617636666667,0.5560382473333333,0.8189906666666666
Trametinib,Skin,54,0.4205352116666667,0.579464792037037,0.5148476666666667
Venetoclax,Breast,50,0.4610318202,0.538968189,0.95943358
Venetoclax,Colorectal,46,0.45753236108695655,0.5424676393478262,0.9620128695652174
Venetoclax,Haematological,136,0.44729280272058825,0.5527072069117648,0.8023705
Venetoclax,Lung,154,0.45564706564935065,0.5443529433766233,0.9430740974025973
Venetoclax,Other,463,0.4557307089200864,0.5442693001727862,0.9476457559395248
Venetoclax,Pancreatic,30,0.4703457996666666,0.5296542026666666,0.9586477999999999
Venetoclax,Skin,54,0.44445543129629633,0.5555445807407408,0.9660082592592593
