DRUG_ID,DRUG_NAME,n_cells,alpha_ChEMBL_mean,alpha_ChEMBL_std,alpha_PrimeKG_mean,alpha_PrimeKG_std,alpha_ChEMBL_min,alpha_ChEMBL_max,alpha_PrimeKG_min,alpha_PrimeKG_max,alpha_dynamic_range,is_focal,has_ChEMBL,has_PrimeKG,graph_degree_ChEMBL,graph_degree_PrimeKG
1005,Cisplatin,743,0.5442025423149395,0.05123990214422416,0.45579746493943474,0.05123990095781095,0.39933166,0.6592801,0.34071985,0.6006683,0.25994844000000006,True,1.0,1.0,6.0,324.0
1006,Cytarabine,726,0.3754043124517907,0.03951424668852476,0.624595695261708,0.03951424921814812,0.2876164,0.46657947,0.5334205,0.7123836,0.17896307,True,1.0,1.0,26.0,476.0
1010,Gefitinib,933,0.4491990045980707,0.031043827475058294,0.5508010012540193,0.031043827917508177,0.3643689,0.5168073,0.4831927,0.6356311,0.15243839999999997,True,1.0,1.0,6.0,212.0
1047,Nutlin-3a (-),943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1048,Mirin,871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1059,AZD8055,729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1067,CCT007093,913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1083,Crizotinib,941,0.42333931978746014,0.020592746827045236,0.5766606868437832,0.02059274815057184,0.36729574,0.49991748,0.50008255,0.63270426,0.13262174000000004,True,1.0,1.0,62.0,104.0
1149,TW 37,368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1168,Erlotinib,930,0.44068547338709674,0.032205800598821596,0.5593145328817204,0.03220580144403681,0.34654808,0.5082341,0.49176592,0.6534519,0.16168602000000004,True,1.0,1.0,12.0,244.0
1179,MK-1775,942,0.4852773387791932,0.02445086876697406,0.5147226661677282,0.02445086873354753,0.41224125,0.5458102,0.4541898,0.5877588,0.13356895000000002,False,1.0,1.0,12.0,102.0
1192,GSK269962A,260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1200,Fulvestrant,938,0.5271286229317698,0.04671343989224729,0.4728713835820896,0.04671344025803675,0.39089546,0.6280677,0.37193233,0.6091045,0.23717224000000003,False,1.0,1.0,22.0,156.0
1243,Piperlongumine,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1249,BMS-345541,869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1259,Talazoparib,931,0.4973655365735768,0.0221665153084438,0.5026344703222342,0.022166514881257187,0.43355957,0.56047547,0.4395245,0.56644046,0.12691589999999997,True,1.0,1.0,16.0,8.0
1268,XAV939,870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1372,Trametinib,941,0.424805214367694,0.01500754908773461,0.5751947927205101,0.015007548000476023,0.37808296,0.47821483,0.52178514,0.62191707,0.10013186999999996,True,1.0,1.0,12.0,52.0
1401,AZD5438,698,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0,12.0,0.0
1449,AZD1208,697,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0,12.0,0.0
1463,AZD1332,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1494,SN-38,933,0.5086084181672026,0.01582782285213222,0.49139158729903537,0.015827822549729594,0.459891,0.53703296,0.46296707,0.54010904,0.07714196000000001,False,1.0,1.0,6.0,30.0
1507,Ruxolitinib,875,0.3716292737257143,0.02677179636526493,0.6283707336228572,0.0267717959247062,0.30367446,0.43306687,0.56693316,0.6963256,0.12939241,True,1.0,1.0,22.0,116.0
1512,Cyclophosphamide,932,0.6317161954184549,0.04597743430399534,0.36828381223175966,0.04597743576153859,0.4840152,0.7244704,0.27552965,0.51598483,0.24045519999999998,False,1.0,1.0,6.0,342.0
1560,Alpelisib,940,0.5078216482553192,0.027431243901045566,0.4921783579361702,0.027431243385881328,0.4266762,0.57076263,0.42923734,0.5733238,0.14408643000000004,False,1.0,1.0,12.0,58.0
1576,IWP-2,870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1593,Entinostat,875,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0,6.0,0.0
1622,Wnt-C59,871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1630,Entospletinib,871,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0,12.0,0.0
1631,PRT062607,871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1739,JAK_8517,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1779,GSK626616AC,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
1786,AZD4547,934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1806,Oxaliplatin,698,0.5862428351146132,0.05247945462085953,0.413757174025788,0.05247945506453348,0.42005807,0.6958425,0.30415756,0.5799419,0.27578443,False,,,,
1815,Dacarbazine,698,0.48593563785100286,0.049182057549114026,0.5140643689971347,0.04918205767929645,0.34951425,0.59634954,0.40365043,0.65048575,0.24683528999999993,False,1.0,1.0,6.0,174.0
1816,Fulvestrant,698,0.5278447140974212,0.04682469843797801,0.4721552932664756,0.04682469820322108,0.39089546,0.6280677,0.37193233,0.6091045,0.23717224000000003,False,,,,
1824,123138,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
1825,Podophyllotoxin bromide,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1826,50869,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
1835,Elephantin,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1839,615590,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
1873,Buparlisib,933,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0,6.0,0.0
1908,Ulixertinib,933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1909,Venetoclax,933,0.4546772072990354,0.010760173888763136,0.5453228013933548,0.010760174083252841,0.43070522,0.488314,0.511686,0.5692948,0.057608780000000026,True,1.0,1.0,12.0,16.0
1919,Osimertinib,932,0.4879985186051502,0.022569823175844363,0.5120014871137339,0.022569824066428067,0.4252009,0.54280263,0.45719737,0.5747991,0.11760172999999996,True,1.0,1.0,6.0,22.0
1927,GSK2578215A,933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1936,Savolitinib,932,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0,6.0,0.0
1996,MIM1,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
1999,N25720-51-A1,725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
2011,ICL-SIRT078,723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
2037,GSK343,724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
2039,AGK2,909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
2057,Remodelin,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
2096,VX-11e,929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
2110,GSK591,929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
2171,BMS-754807,925,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0,22.0,0.0
2172,JQ1,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
