DRUG_NAME,cancer_group,n,alpha_ChEMBL_mean,alpha_PrimeKG_mean,mean_AUC,mean_auc_hat,spearman
Erlotinib,Breast,50,0.4383711678,0.5616288380000001,0.95042888,0.8637031434000001,0.28345738295318124
Erlotinib,Colorectal,46,0.42704813369565214,0.572951875,0.9234795,0.8352930758695652,0.3240826395312982
Erlotinib,Haematological,133,0.41714414263157895,0.5828558630827068,0.9505095563909775,0.7463865247368421,0.259811673008845
Erlotinib,Lung,154,0.4342977286363636,0.5657022753896104,0.9314178766233767,0.8407341992857142,0.18792478868380197
Erlotinib,Other,463,0.4466862945572354,0.5533137124838012,0.9303567537796976,0.8242639791144708,0.23133595851980532
Erlotinib,Pancreatic,30,0.46441977766666664,0.5355802343333332,0.9402456333333333,0.862890702,0.18086763070077863
Erlotinib,Skin,54,0.46600645962962967,0.533993542962963,0.9502360555555556,0.8504295396296295,0.3202210787116447
Gefitinib,Breast,50,0.4470684192,0.5529315816,0.9617823,0.860183236,0.552172869147659
Gefitinib,Colorectal,46,0.4332160443478261,0.5667839656521739,0.9466696304347826,0.8062985756521739,0.45050878815911194
Gefitinib,Haematological,136,0.42565271455882353,0.5743472947058823,0.9836466691176471,0.7230889667647059,0.12039024855684365
Gefitinib,Lung,154,0.4426636369480519,0.5573363696753247,0.9537593636363636,0.8237409177272728,0.08494212934440638
Gefitinib,Other,463,0.4561706172354212,0.5438293874514039,0.95546886825054,0.8095262282289417,0.26718902792299676
Gefitinib,Pancreatic,30,0.4674576796666667,0.5325423283333334,0.9612217,0.8523813606666667,0.6226918798665184
Gefitinib,Skin,54,0.47280771944444444,0.5271922855555555,0.9740118888888889,0.8225781222222223,0.19374880884314843
Osimertinib,Breast,50,0.5072060458,0.49279395899999995,0.90872412,0.9285126666,0.5073229291716687
Osimertinib,Colorectal,46,0.4955682615217391,0.5044317456521739,0.9145302608695652,0.9225577565217391,0.749491211840888
Osimertinib,Haematological,135,0.47076719933333333,0.5292328037037036,0.9559800666666667,0.8785662037777778,0.415427763145059
Osimertinib,Lung,154,0.48970470766233765,0.5102953009090909,0.9299920519480519,0.9193929956493507,0.40646804176215945
Osimertinib,Other,463,0.49071459380129584,0.5092854120950324,0.9319507451403888,0.9116094292008639,0.34954776648921637
Osimertinib,Pancreatic,30,0.516360019,0.48363997833333333,0.9487329333333334,0.9269085196666667,0.5265850945494994
Osimertinib,Skin,54,0.4629337524074074,0.5370662546296296,0.962416462962963,0.9180252207407407,0.36504669334858003
