GDSC_DRUG_ID,DRUG_ID,DRUG_NAME,canonical_name,SMILES,canonical_SMILES,InChIKey,ChEMBL_node_id,has_ChEMBL,graph_degree_ChEMBL,source_weight_ChEMBL,DRKG_node_id,has_DRKG,graph_degree_DRKG,source_weight_DRKG,PrimeKG_node_id,has_PrimeKG,graph_degree_PrimeKG,source_weight_PrimeKG,n_cells,spearman,pcc,mean_auc_hat,mean_AUC,coverage_group,total_kg_degree,is_focal,alpha_ChEMBL,alpha_DRKG,alpha_PrimeKG
1005,1005,Cisplatin,cisplatin,N.N.Cl[Pt]Cl,Cl[Pt]Cl.N.N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,6,1,6.0,1.0,7,0,0.0,0.0,8,1,324.0,1.0,743.0,0.5384565356780454,0.544042863122059,0.849816448640646,0.9166612153432033,ChEMBL+PrimeKG,330.0,True,0.5442025423149395,0.0,0.45579746493943474
1006,1006,Cytarabine,cytarabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,UHDGCWIWMRVCDJ-UHFFFAOYSA-N,9,1,26.0,1.0,10,0,0.0,0.0,11,1,476.0,1.0,726.0,0.7513605239431996,0.7511450373067574,0.8055965310743801,0.8609020550964186,ChEMBL+PrimeKG,502.0,True,0.3754043124517907,0.0,0.624595695261708
1010,1010,Gefitinib,gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,XGALLCVXEZPNRQ-UHFFFAOYSA-N,21,1,6.0,1.0,22,0,0.0,0.0,23,1,212.0,1.0,933.0,0.056800753029966046,0.15110087251795512,0.8039618437084673,0.9604567909967845,ChEMBL+PrimeKG,218.0,True,0.4491990045980707,0.0,0.5508010012540193
1047,1047,Nutlin-3a (-),nutlin 3a,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,SQVRNKJHWKZAKO-UHFFFAOYSA-N,108,0,0.0,0.0,109,0,0.0,0.0,110,0,0.0,0.0,943.0,0.3008002986373644,0.29175827921077485,0.9139785753128314,0.9383527274655354,No KG,0.0,False,0.0,0.0,0.0
1048,1048,Mirin,mirin,C1=CC(=CC=C1C=C2C(=O)N=C(S2)N)O,NC1=NC(=O)C(=Cc2ccc(O)cc2)S1,YBHQCJILTOVLHD-UHFFFAOYSA-N,111,0,0.0,0.0,112,0,0.0,0.0,113,0,0.0,0.0,871.0,0.5696137854470519,0.5909870496731899,0.8443522352009186,0.8605114684270954,No KG,0.0,False,0.0,0.0,0.0
1059,1059,AZD8055,azd8055,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOCC5C,COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1CO,KVLFRAWTRWDEDF-UHFFFAOYSA-N,138,0,0.0,0.0,139,0,0.0,0.0,140,0,0.0,0.0,729.0,0.5799744229357926,0.599669017346506,0.8935443055144033,0.78425277914952,No KG,0.0,False,0.0,0.0,0.0
1067,1067,CCT007093,cct007093,C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3,O=C1C(=Cc2cccs2)CCC1=Cc1cccs1,KPFZCKDPBMGECB-UHFFFAOYSA-N,150,0,0.0,0.0,151,0,0.0,0.0,152,0,0.0,0.0,913.0,-0.15651430477793474,-0.1353083223604933,0.8512848273165389,0.9760899726177437,No KG,0.0,False,0.0,0.0,0.0
1083,1083,Crizotinib,crizotinib,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,KTEIFNKAUNYNJU-UHFFFAOYSA-N,171,1,62.0,1.0,172,0,0.0,0.0,173,1,104.0,1.0,941.0,0.4413736202448057,0.3726489798469521,0.9048821237938364,0.8871775621679066,ChEMBL+PrimeKG,166.0,True,0.42333931978746014,0.0,0.5766606868437832
1149,1149,TW 37,tw 37,CC(C)C1=CC=CC=C1CC2=CC(=C(C(=C2O)O)O)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,PQAPVTKIEGUPRN-UHFFFAOYSA-N,207,0,0.0,0.0,208,0,0.0,0.0,209,0,0.0,0.0,368.0,0.244539813897132,0.23507839263560598,0.8946039761413044,0.8120702880434783,No KG,0.0,False,0.0,0.0,0.0
1168,1168,Erlotinib,erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,210,1,12.0,1.0,211,0,0.0,0.0,212,1,244.0,1.0,930.0,0.1726518333399834,0.1849464639643443,0.8212852168494623,0.9356267935483871,ChEMBL+PrimeKG,256.0,True,0.44068547338709674,0.0,0.5593145328817204
