DRUG_NAME,cancer_group,n_cells,mean_auc_pred,pct_sensitive,rank,is_known_indication,repurposing_flag,alpha_PrimeKG,known_indications
Erlotinib,Haematological,133,0.7463865247368421,0.2706766917293233,1,False,True,0.5828558630827068,Lung
Erlotinib,Other,463,0.8242639791144708,0.02159827213822894,2,False,True,0.5533137124838012,Lung
Erlotinib,Colorectal,46,0.8352930758695652,0.0,3,False,True,0.572951875,Lung
Gefitinib,Haematological,136,0.7230889667647059,0.3602941176470588,1,False,True,0.5743472947058823,Lung
Gefitinib,Colorectal,46,0.8062985756521739,0.06521739130434782,2,False,True,0.5667839656521739,Lung
Gefitinib,Other,463,0.8095262282289417,0.04103671706263499,3,False,True,0.5438293874514039,Lung
Osimertinib,Haematological,135,0.8785662037777778,0.0,1,False,True,0.5292328037037036,Lung
Osimertinib,Other,463,0.9116094292008639,0.0,2,False,True,0.5092854120950324,Lung
Osimertinib,Skin,54,0.9180252207407407,0.0,3,False,True,0.5370662546296296,Lung
Venetoclax,Haematological,136,0.7822577569117647,0.22794117647058823,1,True,False,0.5527072069117648,Haematological
Venetoclax,Colorectal,46,0.8539863713043477,0.043478260869565216,2,False,True,0.5424676393478262,Haematological
Venetoclax,Lung,154,0.8624605408441558,0.05194805194805195,3,False,True,0.5443529433766233,Haematological
Trametinib,Skin,54,0.8001819609259259,0.2222222222222222,1,True,False,0.579464792037037,Skin
Trametinib,Haematological,138,0.8972326448550725,0.036231884057971016,2,False,True,0.5862717838405797,Skin
Trametinib,Colorectal,48,0.8988886156250001,0.020833333333333332,3,False,True,0.5728841964583333,Skin
Crizotinib,Haematological,138,0.8773636361594204,0.0,1,False,True,0.5928676814492754,Lung
Crizotinib,Skin,54,0.9008599812962963,0.0,2,False,True,0.5988974733333333,Lung
Crizotinib,Other,465,0.9046704988387096,0.0,3,False,True,0.5749792564731183,Lung
Talazoparib,Haematological,135,0.8514055900740741,0.022222222222222223,1,False,True,0.5176140785925926,Breast
Talazoparib,Other,462,0.8833444388528139,0.0,2,False,True,0.501250654004329,Breast
Talazoparib,Skin,54,0.8873744007407408,0.0,3,False,True,0.5353673662962963,Breast
Ruxolitinib,Haematological,133,0.8974450815789473,0.0,1,True,False,0.6559509898496241,Haematological
Ruxolitinib,Skin,50,0.9121665216,0.0,2,False,True,0.6442527072,Haematological
Ruxolitinib,Other,428,0.9180223086915887,0.0,3,False,True,0.6211584009345795,Haematological
Cisplatin,Haematological,109,0.7471379536697248,0.28440366972477066,1,False,True,0.49023113733944956,Bladder; Colorectal; Lung
Cisplatin,Other,364,0.8565888408241759,0.03021978021978022,2,False,True,0.4453609617307692,Bladder; Colorectal; Lung
Cisplatin,Lung,115,0.8743683554782609,0.0,3,True,False,0.45777457,Bladder; Colorectal; Lung
Cytarabine,Haematological,106,0.6461370087735849,0.6698113207547169,1,True,False,0.6492519196226416,Haematological
Cytarabine,Other,362,0.8171402510497237,0.13812154696132597,2,False,True,0.6176914105248619,Haematological
Cytarabine,Pancreatic,29,0.8401814072413792,0.0,3,False,True,0.5963253000000001,Haematological
