drug_A,drug_B,cosine_sim,both_focal
Cisplatin,Cytarabine,0.9452641003375474,True
Cisplatin,Gefitinib,0.9821116542892171,True
Cisplatin,Nutlin-3a (-),,False
Cisplatin,Mirin,,False
Cisplatin,AZD8055,,False
Cisplatin,CCT007093,,False
Cisplatin,Crizotinib,0.971263651058245,True
Cisplatin,TW 37,,False
Cisplatin,Erlotinib,0.9788051320933091,True
Cisplatin,MK-1775,0.9930915996860962,False
Cisplatin,GSK269962A,,False
Cisplatin,Fulvestrant,0.9994230155654421,False
Cisplatin,Piperlongumine,,False
Cisplatin,BMS-345541,,False
Cisplatin,Talazoparib,0.9956372175086577,True
Cisplatin,XAV939,,False
Cisplatin,Trametinib,0.9719417170122254,True
Cisplatin,AZD5438,0.7666286641095706,False
Cisplatin,AZD1208,0.7666286641095706,False
Cisplatin,AZD1332,,False
Cisplatin,SN-38,0.9974833449723444,False
Cisplatin,Ruxolitinib,0.9429248632436041,True
Cisplatin,Cyclophosphamide,0.9856853293761615,False
Cisplatin,Alpelisib,0.997370575045223,False
Cisplatin,IWP-2,,False
Cisplatin,Entinostat,0.7666286641095706,False
Cisplatin,Wnt-C59,,False
Cisplatin,Entospletinib,0.7666286641095706,False
Cisplatin,PRT062607,,False
Cisplatin,JAK_8517,,False
Cisplatin,GSK626616AC,,False
Cisplatin,AZD4547,,False
Cisplatin,Oxaliplatin,0.9965881528126032,False
Cisplatin,Dacarbazine,0.9932451040463036,False
Cisplatin,Fulvestrant,0.9994704945175215,False
Cisplatin,123138,,False
Cisplatin,Podophyllotoxin bromide,,False
Cisplatin,50869,,False
Cisplatin,Elephantin,,False
Cisplatin,615590,,False
Cisplatin,Buparlisib,0.7666286641095706,False
Cisplatin,Ulixertinib,,False
Cisplatin,Venetoclax,0.9840979201360915,True
Cisplatin,Osimertinib,0.9937150686225831,True
Cisplatin,GSK2578215A,,False
Cisplatin,Savolitinib,0.7666286641095706,False
Cisplatin,MIM1,,False
Cisplatin,N25720-51-A1,,False
Cisplatin,ICL-SIRT078,,False
Cisplatin,GSK343,,False
Cisplatin,AGK2,,False
Cisplatin,Remodelin,,False
Cisplatin,VX-11e,,False
Cisplatin,GSK591,,False
Cisplatin,BMS-754807,0.7666286641095706,False
Cisplatin,JQ1,,False
Cytarabine,Gefitinib,0.9897981936913701,True
Cytarabine,Nutlin-3a (-),,False
Cytarabine,Mirin,,False
Cytarabine,AZD8055,,False
Cytarabine,CCT007093,,False
Cytarabine,Crizotinib,0.9957635548963005,True
Cytarabine,TW 37,,False
Cytarabine,Erlotinib,0.9920548634582805,True
Cytarabine,MK-1775,0.9770231698545853,False
Cytarabine,GSK269962A,,False
Cytarabine,Fulvestrant,0.9558017608328252,False
Cytarabine,Piperlongumine,,False
Cytarabine,BMS-345541,,False
Cytarabine,Talazoparib,0.9715873631528117,True
Cytarabine,XAV939,,False
Cytarabine,Trametinib,0.9954959629027527,True
Cytarabine,AZD5438,0.515148328177802,False
Cytarabine,AZD1208,0.515148328177802,False
Cytarabine,AZD1332,,False
Cytarabine,SN-38,0.9660206942449938,False
Cytarabine,Ruxolitinib,0.9999748237362293,True
Cytarabine,Cyclophosphamide,0.8767191984693457,False
Cytarabine,Alpelisib,0.9664260936714163,False
