DRUG_ID,DRUG_NAME,n_genes_tested,n_sensitising,max_delta_auc,top_gene
1005,Cisplatin,2000,0,0.0007232111529447138,SAT1
1006,Cytarabine,2000,0,0.001169965835288167,NEAT1
1010,Gefitinib,2000,0,0.0006832354119978845,NEAT1
1047,Nutlin-3a (-),2000,0,0.0006062113679945469,SAT1
1048,Mirin,2000,0,0.0005298513569869101,SAT1
1059,AZD8055,2000,0,0.0006885271286591887,SAT1
1067,CCT007093,2000,0,0.0006144245271570981,SAT1
1083,Crizotinib,2000,0,0.0008262465125881135,SAT1
1149,TW 37,2000,0,0.0006462546298280358,SAT1
1168,Erlotinib,2000,0,0.0006208908744156361,SAT1
1179,MK-1775,2000,0,0.0007635368965566158,SAT1
1192,GSK269962A,2000,0,0.0006877625710330904,SAT1
1200,Fulvestrant,2000,0,0.0007633850327692926,NEAT1
1243,Piperlongumine,2000,0,0.0006054348777979612,SAT1
1249,BMS-345541,2000,0,0.0006556374137289822,SAT1
1259,Talazoparib,2000,0,0.0006228123093023896,SAT1
1268,XAV939,2000,0,0.0005971561186015606,LDHB
1372,Trametinib,2000,0,0.0004914544988423586,CNN2
1401,AZD5438,2000,0,0.0007248164620250463,SAT1
1449,AZD1208,2000,0,0.0008403787505812943,NEAT1
1463,AZD1332,2000,0,0.0006337412050925195,SAT1
1494,SN-38,2000,0,0.0005545579479075968,NEAT1
1507,Ruxolitinib,2000,0,0.0007012059213593602,SAT1
1512,Cyclophosphamide,2000,0,0.0006642003427259624,SAT1
1560,Alpelisib,2000,0,0.0007233971846289933,SAT1
1576,IWP-2,2000,0,0.0007475306047126651,SAT1
1593,Entinostat,2000,0,0.0007779889274388552,SAT1
1622,Wnt-C59,2000,0,0.0005672356928698719,SAT1
1630,Entospletinib,2000,0,0.0007070618448778987,SAT1
1631,PRT062607,2000,0,0.0006681871600449085,SAT1
1739,JAK_8517,2000,0,0.0006163364741951227,SAT1
1779,GSK626616AC,2000,0,0.0006333040655590594,SAT1
1786,AZD4547,2000,0,0.0005946136661805212,SAT1
1806,Oxaliplatin,2000,0,0.0006704777479171753,SAT1
1815,Dacarbazine,2000,0,0.0005795630277134478,SAT1
1816,Fulvestrant,2000,0,0.0007513303426094353,NEAT1
1824,123138,2000,0,0.0006333040655590594,SAT1
1825,Podophyllotoxin bromide,2000,0,0.0006486304919235408,SAT1
1826,50869,2000,0,0.0006333040655590594,SAT1
1835,Elephantin,2000,0,0.0006708525470457971,SAT1
1839,615590,2000,0,0.0006333040655590594,SAT1
1873,Buparlisib,2000,0,0.0007338073337450624,SAT1
1908,Ulixertinib,2000,0,0.0006280984962359071,SAT1
1909,Venetoclax,2000,0,0.0009037671843543649,SAT1
1919,Osimertinib,2000,0,0.0005683001363649964,SAT1
1927,GSK2578215A,2000,0,0.0007105240365490317,SAT1
1936,Savolitinib,2000,0,0.0007972523453645408,SAT1
1996,MIM1,2000,0,0.0007663966389372945,SAT1
1999,N25720-51-A1,2000,0,0.0006157918251119554,SAT1
2011,ICL-SIRT078,2000,0,0.0006704622064717114,SAT1
2037,GSK343,2000,0,0.000607471214607358,LDHB
2039,AGK2,2000,0,0.0005857765791006386,SAT1
2057,Remodelin,2000,0,0.0005754095618613064,ITM2C
2096,VX-11e,2000,0,0.0006523862248286605,SAT1
2110,GSK591,2000,0,0.0006580920307897031,SAT1
2171,BMS-754807,2000,0,0.0006278833607211709,JUN
2172,JQ1,2000,0,0.0007438953034579754,SLCO4A1
