DRUG_ID,DRUG_NAME,gene_name,n_cells,mean_delta_auc,std_delta_auc,abs_mean_delta_auc,frac_sensitising,is_known_target,rank_sensitising
1005,Cisplatin,SAT1,150,0.0007232111529447138,0.0005156402476131916,0.0007571816677227616,0.0,False,1
1005,Cisplatin,LDHB,150,0.0004646880552172661,0.0004912601434625685,0.0005517529207281768,0.0,False,2
1005,Cisplatin,RHOC,150,0.00042679140460677445,0.00041091733146458864,0.0004915728932246566,0.0,False,3
1005,Cisplatin,MT1X,150,0.0004174466012045741,0.00037813131348229945,0.000466513738501817,0.0,False,4
1005,Cisplatin,MT2A,150,0.00041679630521684885,0.0003292919718660414,0.00044646908645518124,0.0,False,5
1005,Cisplatin,ANXA2,150,0.000412951223552227,0.0003555540752131492,0.00044694016105495393,0.0,False,6
1005,Cisplatin,PON2,150,0.000402083300286904,0.00031788184423930943,0.0004365532658994198,0.0,False,7
1005,Cisplatin,JUN,150,0.00037994395825080574,0.0003713417681865394,0.00043607561383396387,0.0,False,8
1005,Cisplatin,DBNDD2,150,0.0003773169592022896,0.00029081947286613286,0.0004086155677214265,0.0,False,9
1005,Cisplatin,RHOBTB3,150,0.0003620920469984412,0.00034998718183487654,0.00042548816418275237,0.0,False,10
1005,Cisplatin,NEAT1,150,0.0003588847175706178,0.000534422171767801,0.0005106949829496443,0.0,False,11
1005,Cisplatin,ENC1,150,0.00035880872746929526,0.00028246521833352745,0.00038296173443086445,0.0,False,12
1005,Cisplatin,EPB41L2,150,0.0003527856897562742,0.0003175407473463565,0.00039108426426537335,0.0,False,13
1005,Cisplatin,TCEAL4,150,0.00035110951284877956,0.00042547285556793213,0.00044811208499595523,0.0,False,14
1005,Cisplatin,YBX3,150,0.00035049120197072625,0.0005403982358984649,0.0005261494661681354,0.0,False,15
1005,Cisplatin,ITM2C,150,0.0003493077529128641,0.0004620607942342758,0.00048249412793666124,0.0,False,16
1005,Cisplatin,AHNAK,150,0.00034017444704659283,0.0002632298565004021,0.0003600172058213502,0.0,False,17
1005,Cisplatin,MTSS2,150,0.0003396457468625158,0.00031381676672026515,0.00039415995706804097,0.0,False,18
1005,Cisplatin,FAT1,150,0.0003351516497787088,0.00025192886823788285,0.0003560458717402071,0.0,False,19
1005,Cisplatin,GLUL,150,0.0003298632218502462,0.0003216743061784655,0.00038859466440044343,0.0,False,20
1006,Cytarabine,NEAT1,145,0.001169965835288167,0.0009129521786235273,0.0012127083027735353,0.0,False,1
1006,Cytarabine,AGRN,145,0.0007316268747672439,0.000462707452243194,0.000737550959456712,0.0,False,2
1006,Cytarabine,YBX3,145,0.000689566251821816,0.0007992290775291622,0.0008265165379270911,0.0,False,3
1006,Cytarabine,CKAP4,145,0.0006784735014662147,0.0005279027973301709,0.000719814037438482,0.0,False,4
1006,Cytarabine,MT1X,145,0.0006597606115974486,0.0005814750329591334,0.0007256755488924682,0.0,False,5
1006,Cytarabine,PAM,145,0.0006444962928071618,0.0005728251417167485,0.0006974237621761858,0.0,False,6
1006,Cytarabine,JAG1,145,0.0006383251748047769,0.00043081896728836,0.00065754191018641,0.0,False,7
1006,Cytarabine,RCN1,145,0.0006375089869834483,0.0006797817768529058,0.0007372067775577307,0.0,False,8
1006,Cytarabine,CST3,145,0.0006091176182962954,0.0005150351789779961,0.0006356688681989908,0.0,False,9
1006,Cytarabine,CTTN,145,0.000581977772526443,0.0004760042065754533,0.0006240796647034585,0.0,False,10
1006,Cytarabine,MTSS2,145,0.0005722946370951831,0.0004948286805301905,0.0006257507484406233,0.0,False,11
1006,Cytarabine,C12orf75,145,0.0005709217512048781,0.0006628296105191112,0.0006955259013921022,0.0,False,12
1006,Cytarabine,NAV2,145,0.0005566118052229285,0.0003179203486070037,0.0005574421375058591,0.0,False,13
1006,Cytarabine,LMNA,145,0.0005276670563034713,0.0005252245464362204,0.0006086220964789391,0.0,False,14
1006,Cytarabine,RNA5-8SN2,145,0.0005190516239963472,0.0008453821646980941,0.00079170404933393,0.0,False,15
1006,Cytarabine,AHNAK,145,0.0005130112986080348,0.00040057252044789493,0.0005465132417157292,0.0,False,16
1006,Cytarabine,TMEM132A,145,0.0005111446953378618,0.00037741748383268714,0.000524802366271615,0.0,False,17
1006,Cytarabine,PON2,145,0.0005108824116177857,0.0006053542601875961,0.000650455302093178,0.0,False,18
1006,Cytarabine,GPX1,145,0.0004978037904947996,0.0009481462184339762,0.0008194021065719426,0.0,False,19
1006,Cytarabine,CELSR1,145,0.0004853451100643724,0.00044585406430996954,0.0005209710216149688,0.0,False,20
1010,Gefitinib,NEAT1,186,0.0006832354119978845,0.0006280974484980106,0.0007479939376935363,0.0,False,1
1010,Gefitinib,YBX3,186,0.0005093429354019463,0.0005536005483008921,0.0005916905938647687,0.0,False,2
1010,Gefitinib,JUN,186,0.0005022776895202696,0.0003976718580815941,0.0005366708501242101,0.0,False,3
1010,Gefitinib,SAT1,186,0.000498172186780721,0.0006260772934183478,0.000648045155685395,0.0,False,4
1010,Gefitinib,DBNDD2,186,0.0004648939648177475,0.0003459613653831184,0.0004915274330414832,0.0,False,5
