cancer_type,target_gene,n_cells,mean_delta_auc,frac_sensitising
Acute Myeloid Leukemia,MTOR,7,0.0010736418781951734,0.8844198790627361
Acute Myeloid Leukemia,PIM3,7,0.0007038592313100318,0.8556744920190298
Acute Myeloid Leukemia,MAP2K2,7,0.0005409585709068258,0.6570961718020542
Acute Myeloid Leukemia,MCL1,7,0.0004017571482108906,0.6141887310479748
Acute Myeloid Leukemia,GLUL,7,0.00038945263908577284,0.8360085700947045
Acute Myeloid Leukemia,EMP3,7,0.00033218739762170505,0.866157296251834
Acute Myeloid Leukemia,PIK3CB,7,0.00031344363274651447,0.7154681316971233
Acute Myeloid Leukemia,GSTP1,7,0.00029974463021582257,0.6750091703348006
Acute Myeloid Leukemia,FXYD5,7,0.00029703132791577706,0.8355042016806723
Acute Myeloid Leukemia,CTSH,7,0.000291641475736729,0.7746834845049131
Acute Myeloid Leukemia,MAP2K1,7,0.0002872924416286488,0.6200324574274154
Acute Myeloid Leukemia,TP53I11,7,0.00027605930413951034,0.7986772486772485
Acute Myeloid Leukemia,PYGL,7,0.0002680717547523922,0.7979080521097328
Acute Myeloid Leukemia,PIM2,7,0.00024770219624770107,0.7773995709394869
Acute Myeloid Leukemia,HLA-B,7,0.00023283672167703377,0.671072873593882
Acute Myeloid Leukemia,LAMB3,7,0.00021558243939320425,0.8468309546040639
Acute Myeloid Leukemia,SNRPN,7,0.00020686384648018117,0.8272520119158775
Acute Myeloid Leukemia,CD9,7,0.00020575548530489738,0.7034627739984883
Acute Myeloid Leukemia,ITGA5,7,0.00020329456310719252,0.7995028566982348
Acute Myeloid Leukemia,PHLDA2,7,0.0002030099941683667,0.651968287314926
Acute Myeloid Leukemia,RAC2,7,0.0002010207255287761,0.8566118113912232
Acute Myeloid Leukemia,WLS,7,0.00019804977637249976,0.791816448801743
Acute Myeloid Leukemia,ANTXR1,7,0.00019625560422095338,0.8779578498065893
Acute Myeloid Leukemia,PLAC8,7,0.00018366241835922535,0.7611733582321818
Acute Myeloid Leukemia,ANXA2,7,0.00017146615027741063,0.6474731559290383
Acute Myeloid Leukemia,PLIN2,7,0.00017108217278811417,0.5845146391890089
Acute Myeloid Leukemia,SELENOM,7,0.0001608896647147568,0.5696773153705926
Acute Myeloid Leukemia,S100A6,7,0.0001602062548045069,0.6087582255124272
Acute Myeloid Leukemia,FABP5,7,0.00015983019589579532,0.5737997976968565
Acute Myeloid Leukemia,NREP,7,0.00015636537136742845,0.6561410675381263
Acute Myeloid Leukemia,ICAM1,7,0.00015282607481432415,0.6200088368680806
Acute Myeloid Leukemia,TFPI,7,0.00014402822541472103,0.7247104397314482
Acute Myeloid Leukemia,IER3,7,0.0001439284213639829,0.5602507669734561
Acute Myeloid Leukemia,AKR1C2,7,0.0001416622565427263,0.6634312058156596
Acute Myeloid Leukemia,XIST,7,0.00013921819429794726,0.6611883642345827
Acute Myeloid Leukemia,MLPH,7,0.0001383532388509983,0.6265948045885021
Acute Myeloid Leukemia,SLPI,7,0.00013240277075965423,0.6488261971455248
Acute Myeloid Leukemia,CORO1A,7,0.00013225210256808038,0.6753343003868214
Acute Myeloid Leukemia,AKR1C1,7,0.00012925720017977125,0.577191432128407
Acute Myeloid Leukemia,PTGR1,7,0.00012854970009357203,0.47752906718242855
Acute Myeloid Leukemia,MT2A,7,0.00012676567738318617,0.47914860388599884
Acute Myeloid Leukemia,GPRC5C,7,0.00012356557129221204,0.4994828486950335
Acute Myeloid Leukemia,CTSZ,7,0.00012353475488323187,0.5123071450802543
Acute Myeloid Leukemia,CXCL8,7,0.00012336248047566705,0.5512065937486106
Acute Myeloid Leukemia,PHLDA1,7,0.0001231922734794872,0.4713349228580321
Acute Myeloid Leukemia,PLPP2,7,0.00012183503193747518,0.49805783424480904
Acute Myeloid Leukemia,MDM2,7,0.00011918532280625576,0.5968087234893957
Acute Myeloid Leukemia,HLA-C,7,0.00011889773304574192,0.4676437241563292
Acute Myeloid Leukemia,BASP1,7,0.00011812608707779353,0.5909224801031524
Acute Myeloid Leukemia,MACROH2A2,7,0.0001141696242744469,0.5758161597972522
Acute Myeloid Leukemia,IGFBP4,7,0.00011254695553881382,0.5435560335245209
Acute Myeloid Leukemia,FAT1,7,0.00011134156790961112,0.4961167800453515
Acute Myeloid Leukemia,P3H2,7,0.00011130533156184745,0.6136515717398071
Acute Myeloid Leukemia,PLAU,7,0.00011013333070357996,0.5449429771908764
Acute Myeloid Leukemia,CLEC11A,7,0.00011007383311932375,0.6321442465875239
Acute Myeloid Leukemia,ANXA1,7,0.00010931148426607251,0.46033802409852825
Acute Myeloid Leukemia,S100A10,7,0.00010882235749574778,0.5383439486905873
Acute Myeloid Leukemia,HDAC1,7,0.00010713809128251992,0.554629073851763
Acute Myeloid Leukemia,CDC42EP1,7,0.00010556387444791784,0.4656887755102041
Acute Myeloid Leukemia,S100A4,7,0.00010504472122972532,0.5602121404117202
Acute Myeloid Leukemia,TNFAIP2,7,0.00010363829850185928,0.5560866013071896
Acute Myeloid Leukemia,SNCA,7,0.00010350401550697695,0.5794237139300165
Acute Myeloid Leukemia,IL32,7,0.00010334536578479206,0.5113506513716598
Acute Myeloid Leukemia,KIRREL1,7,9.912131021597556e-05,0.4397586812502779
Acute Myeloid Leukemia,VAMP8,7,9.86532520203452e-05,0.5025715841892312
Acute Myeloid Leukemia,TNNT1,7,9.714112950730071e-05,0.5386579631852741
Acute Myeloid Leukemia,DSG2,7,9.402861983939406e-05,0.4388911120003557
Acute Myeloid Leukemia,TMEM98,7,9.303022904662482e-05,0.4754612956293629
Acute Myeloid Leukemia,SPINT1,7,9.255055322552965e-05,0.5271208483393357
Acute Myeloid Leukemia,IFITM2,7,9.234399840352125e-05,0.47460539771464144
Acute Myeloid Leukemia,SLFN11,7,9.176141741461054e-05,0.49370442621493044
Acute Myeloid Leukemia,ATP2A3,7,9.137489217079877e-05,0.4537890156062425
Acute Myeloid Leukemia,WWTR1,7,8.912601229634934e-05,0.40666433239962657
Acute Myeloid Leukemia,CD68,7,8.903024445316987e-05,0.40105764528033433
Acute Myeloid Leukemia,GPNMB,7,8.791480533026126e-05,0.3885793206171358
Acute Myeloid Leukemia,IL18,7,8.610311384213023e-05,0.5293962029256146
Acute Myeloid Leukemia,LAMC2,7,8.085702575044706e-05,0.38481531501489485
Acute Myeloid Leukemia,HTRA1,7,8.025386497528026e-05,0.2881963896669779
Acute Myeloid Leukemia,CRIM1,7,7.822941344264629e-05,0.42100423502734424
Acute Myeloid Leukemia,CD70,7,7.693075284415889e-05,0.43527633275532435
Acute Myeloid Leukemia,BEX3,7,7.65211890601287e-05,0.4244731225823663
Acute Myeloid Leukemia,SLC38A5,7,7.522588202846237e-05,0.4896063981148015
Acute Myeloid Leukemia,TNC,7,7.309147726378537e-05,0.29586695789426887
Acute Myeloid Leukemia,PRSS22,7,7.306654151761904e-05,0.2896797607932062
