SANGER_MODEL_ID,target_gene,n_drugs,mean_delta_auc,std_delta_auc,abs_mean_delta,frac_sensitising,is_known_drug_target,targeted_by_drugs,within_cell_percentile,is_top5pct,rank_in_cell
SIDM00051,MAP2K2,35,0.0026418310590088367,0.0006236354820430279,0.0026418310590088367,1.0,True,Trametinib,100.0,True,1
SIDM00051,HDAC3,35,0.0015757424989715219,0.0006768126040697098,0.0016165801789611578,0.9714285714285714,True,Entinostat,99.81132075471699,True,2
SIDM00051,MAP2K1,35,0.0013455254957079887,0.0005330912536010146,0.0013455254957079887,0.9714285714285714,True,Trametinib,99.62264150943396,True,3
SIDM00051,BCL2L1,35,0.0008123040315695107,0.00024239551567006856,0.0008123040315695107,1.0,True,TW 37,99.43396226415095,True,4
SIDM00051,ROCK2,35,0.0007459878688678145,0.000329960894305259,0.0007459878688678145,1.0,True,GSK269962A,99.24528301886792,True,5
SIDM00051,BRD3,35,0.0005950229242444038,0.00014180174912326038,0.0005950229242444038,1.0,True,JQ1,99.05660377358491,True,6
SIDM00051,MT2A,35,0.0005431856261566281,9.804835281101987e-05,0.0005431856261566281,1.0,False,,98.86792452830188,True,7
SIDM00051,ANXA2,35,0.0004908280679956079,0.0001266078616026789,0.0004908280679956079,0.9714285714285714,False,,98.67924528301887,True,8
SIDM00051,IGFBP4,35,0.0004822203190997243,6.561311602126807e-05,0.0004822203190997243,1.0,False,,98.49056603773585,True,9
SIDM00051,PRSS23,35,0.0004356282006483525,6.635059980908409e-05,0.0004356282006483525,1.0,False,,98.30188679245283,True,10
SIDM00053,MAP2K2,36,0.000727921724319458,0.0005079545662738383,0.0007773604593239725,0.8055555555555556,True,Trametinib,100.0,True,1
SIDM00053,MT2A,36,0.0006916854181326926,9.2615548055619e-05,0.0006916854181326926,1.0,False,,99.81132075471699,True,2
SIDM00053,PARP2,36,0.0006106926593929529,0.00024300935911014676,0.0006106992368586361,0.9444444444444444,True,Talazoparib,99.62264150943396,True,3
SIDM00053,PIK3CB,36,0.0005951225757598877,0.00022744642046745867,0.0005956722889095545,0.9722222222222222,True,Buparlisib,99.43396226415095,True,4
SIDM00053,FXYD5,36,0.0004938840866088867,9.608677646610886e-05,0.0004938840866088867,1.0,False,,99.24528301886792,True,5
SIDM00053,APP,36,0.00048768852138891816,8.15126477391459e-05,0.00048768852138891816,1.0,False,,99.05660377358491,True,6
SIDM00053,BRD4,36,0.00047259859275072813,0.00021636145538650453,0.00047259859275072813,0.9444444444444444,True,JQ1,98.86792452830188,True,7
SIDM00053,ANXA2,36,0.0004400908946990967,9.945302008418366e-05,0.0004400908946990967,1.0,False,,98.67924528301887,True,8
