gene_name,mean_delta_auc,max_delta_auc,frac_sensitising,n_drugs,cancer_type,drugs
NEAT1,0.0009450196521355999,0.0011699658352881,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
YBX3,0.0005363700765883,0.0006895662518218,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
MT1X,0.0005230169044807,0.0006597606115974,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
AGRN,0.00051679584430525,0.0007316268747672,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
ANXA2,0.0005112892395118,0.0007132897735573,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
SAT1,0.0005040621654188,0.0009037671843543,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
LMNA,0.0005022553086746,0.0005276670563034,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
TCEAL4,0.0004862384521402,0.0004926126566715,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
CKAP4,0.00047821812040635,0.0006784735014662,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
PRNP,0.00045483492431225,0.0005346370162442,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
MTSS2,0.0004531292943283,0.0005722946370951,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
AHNAK,0.00043306020961605,0.000513011298608,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
MT2A,0.00041142522240984996,0.0004955301992595,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
P4HA2,0.00039870740147305,0.000424232770456,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
JAG1,0.00039319564530155003,0.0006383251748047,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
PON2,0.0003930959355784,0.0005108824116177,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
MARCKSL1,0.00038621052226514997,0.000429419305874,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
JUN,0.00038541843241545,0.0004918015329167,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
HSPB1,0.00038477261114165,0.0006360748084262,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
S100A10,0.0003844692691927,0.0003885234182234,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
SAT1,0.0006968444504309,0.0007232111529447,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
LDHB,0.00046391207433765,0.0004646880552172,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
NEAT1,0.0004421348130563,0.000525384908542,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
PON2,0.00041827670065685,0.0004344701010268,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
MT1X,0.0004169644817011,0.0004174466012045,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
ANXA2,0.00041254365351045,0.0004129512235522,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
RHOC,0.00040930154500525,0.0004267914046067,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
MT2A,0.00040576250466980003,0.0004167963052168,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
YBX3,0.00039986288174985,0.000449234561529,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
ITM2C,0.0003791250637732,0.0004089423746336,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
ENC1,0.00035526363353705,0.0003588087274692,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
JUN,0.0003506814537104,0.0003799439582508,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
FAT1,0.0003473769611446,0.0003596022725105,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
MTSS2,0.00034381555451544997,0.0003479853621684,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
CNN2,0.00034337643592145003,0.0003776150697376,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
DBNDD2,0.0003430307260714,0.0003773169592022,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
RHOBTB3,0.0003405792667763,0.0003620920469984,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
CST3,0.0003384732845006,0.0003587158862501,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
AHNAK,0.00033808444277375,0.0003401744470465,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
TNFRSF21,0.00033304652606600004,0.0003408550401218,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
SAT1,0.0006730117311234999,0.0007232111529447,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
LDHB,0.00051052446360695,0.0005563608719967,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
ANXA2,0.00045100922579875,0.0004890672280453,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
ITM2C,0.0004217027308186,0.0004940977087244,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
MT2A,0.00040355011878995,0.0004167963052168,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
JUN,0.0003910214290954,0.00040209889994,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
YBX3,0.0003658076166175,0.0003811240312643,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
MT1X,0.00035717559512700003,0.0004174466012045,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
RHOBTB3,0.00035514989576765,0.0003620920469984,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
DBNDD2,0.00034269435855085,0.0003773169592022,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
EPB41L2,0.0003424079768592,0.0003527856897562,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
CNN2,0.00034192024031645,0.0003747026785276,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
MTSS2,0.00033539716969239997,0.0003396457468625,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
RHOC,0.00033420456747985,0.0004267914046067,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
TNFRSF21,0.00033110611548179997,0.0003369742189534,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
TCEAL4,0.00032703593024045,0.0003511095128487,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
FXYD5,0.00032012668089004997,0.0003470134106464,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
ADORA2B,0.00031643487454855,0.0003763980057556,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
FAT1,0.0003142225759802,0.0003351516497787,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
AHNAK,0.00030602222250300005,0.0003401744470465,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
CNN2,0.0004914544988423,0.0004914544988423,0.0,1,Melanoma,Trametinib
LDHB,0.0004056810284964,0.0004056810284964,0.0,1,Melanoma,Trametinib
