cancer_type,kg_prior,mean_alpha,std_alpha,n_pairs
Acute Myeloid Leukemia,ChEMBL,0.2608054856,0.3555087903659455,3900
Acute Myeloid Leukemia,DRKG,0.0004126847384615385,0.012893901492734531,3900
Acute Myeloid Leukemia,PrimeKG,0.22339721641538463,0.32686403901000133,3900
B-Cell Non-Hodgkin's Lymphoma,ChEMBL,0.25508389877264015,0.3566827792595041,4693
B-Cell Non-Hodgkin's Lymphoma,DRKG,0.0008956163264436394,0.02058153119575827,4693
B-Cell Non-Hodgkin's Lymphoma,PrimeKG,0.22985044664180693,0.3372707301861775,4693
B-Lymphoblastic Leukemia,ChEMBL,0.2419118707349081,0.350167854691781,2667
B-Lymphoblastic Leukemia,DRKG,0.0005269181177352831,0.01577715709166605,2667
B-Lymphoblastic Leukemia,PrimeKG,0.23375168874015748,0.34359761619944407,2667
Biliary Tract Carcinoma,ChEMBL,0.2691600637931035,0.3610377667958091,551
Biliary Tract Carcinoma,DRKG,0.0,0.0,551
Biliary Tract Carcinoma,PrimeKG,0.21359855980036302,0.3186805742924682,551
Bladder Carcinoma,ChEMBL,0.2569606488376453,0.3567302761988257,2667
Bladder Carcinoma,DRKG,0.0,0.0,2667
Bladder Carcinoma,PrimeKG,0.21285562588301463,0.3222793099136753,2667
Breast Carcinoma,ChEMBL,0.2508987289711302,0.35266518463794805,6512
Breast Carcinoma,DRKG,0.00036788576474201476,0.013406563325068756,6512
Breast Carcinoma,PrimeKG,0.2258525520254914,0.3332825664723373,6512
Burkitt's Lymphoma,ChEMBL,0.24736567351405625,0.3517702524550077,1992
Burkitt's Lymphoma,DRKG,0.0,0.0,1992
Burkitt's Lymphoma,PrimeKG,0.21648975034638554,0.3273836246583645,1992
Cervical Carcinoma,ChEMBL,0.259956908340708,0.36008006579103263,1356
Cervical Carcinoma,DRKG,0.0,0.0,1356
Cervical Carcinoma,PrimeKG,0.19653276776548675,0.3084810179379161,1356
Chondrosarcoma,ChEMBL,0.26491266502392347,0.35797755035243367,627
Chondrosarcoma,DRKG,0.0005795652950558213,0.014512296471722856,627
Chondrosarcoma,PrimeKG,0.22095115237639554,0.3242530937951054,627
Chronic Myelogenous Leukemia,ChEMBL,0.25522083674380164,0.35238333278247796,1210
Chronic Myelogenous Leukemia,DRKG,0.0,0.0,1210
Chronic Myelogenous Leukemia,PrimeKG,0.21585354509917357,0.32145671810455,1210
Colorectal Carcinoma,ChEMBL,0.25260214071812803,0.3541633363891604,7436
Colorectal Carcinoma,DRKG,0.0003118681360946745,0.012394743416324511,7436
Colorectal Carcinoma,PrimeKG,0.2154829809104357,0.32484857562146346,7436
Endometrial Carcinoma,ChEMBL,0.2567811693455313,0.3576893159133901,1421
Endometrial Carcinoma,DRKG,0.0,0.0,1421
Endometrial Carcinoma,PrimeKG,0.20627301961998595,0.31749395073474673,1421
Esophageal Carcinoma,ChEMBL,0.249296026391844,0.35040979796578925,1128
Esophageal Carcinoma,DRKG,0.0,0.0,1128
