gene_name,mean_delta_auc,max_delta_auc,frac_sensitising,n_drugs,cancer_type,drugs
SAT1,0.0006731047469655999,0.0007233971846289,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
LDHB,0.0005331280699465,0.0005563608719967,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
ITM2C,0.0004889133415417501,0.0004940977087244,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
ANXA2,0.0004599663225235,0.0004890672280453,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
JUN,0.0004064004460815,0.000410701992223,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
MT2A,0.0003889539948431,0.0003903039323631,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
UPP1,0.0003769255417864,0.0003845155297312,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
FXYD5,0.0003751611657207,0.000403308920795,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
YBX3,0.00036015419755125,0.0003811240312643,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
CNN2,0.00035865699464915,0.0003747026785276,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
SLCO4A1,0.00035767104418475,0.0003592956636566,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
ADORA2B,0.0003526678192429,0.0003763980057556,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
RHOBTB3,0.00033290706051045,0.0003482077445369,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
EPB41L2,0.00033283977245445,0.0003336492809467,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
TNFRSF21,0.00033018008980429997,0.0003369742189534,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
ID3,0.00032757328881409997,0.0003301627293694,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
PRNP,0.00032579073740630004,0.0003285025595687,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
MTSS2,0.00032379553886125,0.0003311485925223,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
MT1X,0.00032335256400979997,0.0003498005389701,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
OCIAD2,0.00031810483778825,0.0003510613751132,0.0,2,Breast Carcinoma,"Talazoparib,Alpelisib"
