gene_name,mean_delta_auc,max_delta_auc,frac_sensitising,n_drugs,cancer_type,drugs
SAT1,0.0006968444504309,0.0007232111529447,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
LDHB,0.00046391207433765,0.0004646880552172,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
NEAT1,0.0004421348130563,0.000525384908542,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
PON2,0.00041827670065685,0.0004344701010268,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
MT1X,0.0004169644817011,0.0004174466012045,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
ANXA2,0.00041254365351045,0.0004129512235522,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
RHOC,0.00040930154500525,0.0004267914046067,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
MT2A,0.00040576250466980003,0.0004167963052168,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
YBX3,0.00039986288174985,0.000449234561529,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
ITM2C,0.0003791250637732,0.0004089423746336,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
ENC1,0.00035526363353705,0.0003588087274692,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
JUN,0.0003506814537104,0.0003799439582508,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
FAT1,0.0003473769611446,0.0003596022725105,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
MTSS2,0.00034381555451544997,0.0003479853621684,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
CNN2,0.00034337643592145003,0.0003776150697376,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
DBNDD2,0.0003430307260714,0.0003773169592022,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
RHOBTB3,0.0003405792667763,0.0003620920469984,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
CST3,0.0003384732845006,0.0003587158862501,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
AHNAK,0.00033808444277375,0.0003401744470465,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
TNFRSF21,0.00033304652606600004,0.0003408550401218,0.0,2,Colorectal Carcinoma,"Cisplatin,Oxaliplatin"
