gene_name,n_drugs,mean_delta,frac_sens
SAT1,3,0.0005624543991870666,0.0
JUN,3,0.0004821737529709334,0.0
NEAT1,3,0.0004745647359716333,0.0
YBX3,3,0.00044232562261939997,0.0
DBNDD2,3,0.0004214456130284333,0.0
MT2A,3,0.0004184068820904333,0.0
MTSS2,3,0.0004107219574507,0.0
TCEAL4,3,0.0004095918460127667,0.0
ADGRE5,3,0.0003831031790468333,0.0
ANXA2,3,0.0003687844437080667,0.0
CTSZ,3,0.00034528650576246667,0.0
MICA,3,0.00034051905580169997,0.0
PRNP,3,0.0003403096149364666,0.0
ADORA2B,3,0.0003321881328398667,0.0
SLCO4A1,3,0.0003315425128675667,0.0
MT1X,3,0.00032951092968380003,0.0
CST3,3,0.0003149769812201,0.0
PFN2,3,0.0003137643119164667,0.0
BCAR3,3,0.0003126035735476,0.0
FXYD5,3,0.0003121913953994,0.0
CKAP4,3,0.0003105792178151,0.0
AHNAK,3,0.0003018790836600667,0.0
TNFRSF1A,3,0.00030146056087683334,0.0
TNFRSF21,3,0.00030072339965643335,0.0
RHOC,3,0.0002919100127958667,0.0
PLCD3,3,0.00029177388447953334,0.0
TGFB1,3,0.0002916330316413667,0.0
CNN2,3,0.00028811736653246666,0.0
BEX3,3,0.00028710352974783336,0.0
SCRN1,3,0.0002815093175740667,0.0
EMP3,3,0.00027951472050816666,0.0
HOXB7,3,0.0002777885092655,0.0
UPP1,3,0.00027053324447473337,0.0
PLPP2,3,0.0002698888856684333,0.0
OCIAD2,3,0.00026774344344926665,0.0
RPS28P7,3,0.00026419200003139997,0.0
ISG20,3,0.0002626054871749333,0.0
CRIM1,3,0.00026193859230256666,0.0
ASPH,3,0.0002611268816205,0.0
JAG1,3,0.00025962145688626664,0.0
TSPO,3,0.0002581612643552333,0.0
PON2,3,0.0002579872962087,0.0
SPRY2,3,0.0002578851078093333,0.0
PTMS,3,0.00025725696468720293,0.0
PHLDA1,3,0.00025349854452839997,0.0
CTSH,3,0.00025189143101056667,0.0
FOS,3,0.00025111337890843335,0.0
CTSV,3,0.0002483013862122667,0.0
IGFBP6,3,0.00024752908211663334,0.0
DCBLD2,3,0.0002438806453331,0.0
NXN,3,0.0002425326965749,0.0
NCKAP1,3,0.0002416220910769,0.0
PLS3,3,0.0002415703735702,0.0
PTPRF,3,0.00024142739130176668,0.0
P4HA2,3,0.00024120876817803333,0.0
ITGB5,3,0.00024110881107233332,0.0
MIR4435-2HG,3,0.0002390480609998333,0.0
UACA,3,0.00023898712728013334,0.0
TPBG,3,0.0002352779799062667,0.0
TIMP2,3,0.00023498297135416668,0.0
ANXA1,3,0.00023481602450673334,0.0
LMNA,3,0.00023137378836203334,0.0
ITM2C,3,0.00023077851437844644,0.0
RHOBTB3,3,0.00023038536892270003,0.0
OSBPL10,3,0.00022884589755746667,0.0
STAT6,3,0.00022764144038466656,0.0
TOR4A,3,0.00022721813002133336,0.0
WLS,3,0.00022689220107466668,0.0
CAP2,3,0.00022550098947243333,0.0
PHLDA2,3,0.0002235325373476,0.0
GLUL,3,0.00022294114751273333,0.0
FAT1,3,0.00022250684075203331,0.0
PAM,3,0.0002221883478341,0.0
MELTF,3,0.000221694727467,0.0
EPB41L2,3,0.00022092508637186668,0.0
LAMC1,3,0.00021806597942483334,0.0
IGFBP4,3,0.0002179232348377,0.0
LY6E,3,0.00021748657551743332,0.0
HOMER3,3,0.00021722527647696665,0.0
TRIM2,3,0.00021639205806416669,0.0
ENO2,3,0.00021607797437656667,0.0
HLA-E,3,0.00021597224016046667,0.0
TOM1L1,3,0.0002142302934468,0.0
ARSJ,3,0.00021373723090313331,0.0
ITGA3,3,0.00021249047616336665,0.0
RASSF8,3,0.00021199859717546327,0.0
ISG15,3,0.00021120758901809999,0.0
KIFC3,3,0.00021051010601993333,0.0
GCHFR,3,0.00020911263224353334,0.0
COTL1,3,0.00020905533650263336,0.0
SMARCA1,3,0.0002087529719574,0.0
CD9,3,0.00020846126426473334,0.0
MET,3,0.00020838248989693336,0.0
MARCKSL1,3,0.0002079229843729612,0.0
TEAD1,3,0.00020727325803209122,0.0
BCYRN1,3,0.00020604293604260638,0.0
ENC1,3,0.00020555494605399997,0.0
HLA-A,3,0.0002048012490073,0.0
KRT18,3,0.0002041886376294,0.0
EMP1,3,0.0002036343212239,0.0
ITGA6,3,0.0002006527114038,0.0
GABARAPL1,3,0.00020033487089674476,0.0
SP100,3,0.00019927169584353332,0.0
AJUBA,3,0.00019838744871466664,0.0
SDC4,3,0.00019817464150640002,0.0
CTSF,3,0.00019790673104573333,0.0
EPB41L1,3,0.0001967680339778667,0.0
MGMT,3,0.00019654795081193335,0.0
HOXB6,3,0.00019598621292966665,0.0
PEG10,3,0.00019338482525193334,0.0
HOXB3,3,0.00019326267162486665,0.0
PVR,3,0.00019230909432123332,0.0
SVIL-AS1,3,0.00019160041847493333,0.0
PYGL,3,0.00019125685988299998,0.0
ANXA2P2,3,0.00019010357209476667,0.0
BACE2,3,0.00018848822219293333,0.0
RAB31,3,0.0001881146357239,0.0
RAB32,3,0.00018797479666920002,0.0
SLC35D2,3,0.00018750253366299998,0.0
RPL39L,3,0.0001873655079786,0.0
NQO1,3,0.00018688255901596666,0.0
SGCE,3,0.0001866079255705333,0.0
RGL3,3,0.00018646592313110001,0.0
TOX2,3,0.0001832687266869,0.0
MYADM,3,0.0001823193694387,0.0
RNF207,3,0.00018147489754476666,0.0
BEND7,3,0.00018106710194836667,0.0
ADGRG6,3,0.00018078053108181333,0.0
NPDC1,3,0.0001806863438105,0.0
FOSB,3,0.0001800913159968,0.0
SDC3,3,0.0001795606294763,0.0
PARVA,3,0.00017954119054286664,0.0
GLB1L2,3,0.0001793878836906,0.0
FERMT2,3,0.00017880961725794464,0.0
HOTAIRM1,3,0.00017873948187716667,0.0
DUSP1,3,0.0001782929466571,0.0
AHNAK2,3,0.00017818043124856667,0.0
SNX7,3,0.00017760354482253333,0.0
SLFN5,3,0.00017724351588783334,0.0
FRMD6,3,0.00017688963513739814,0.0
ADM,3,0.0001766095568503,0.0
CNN3,3,0.00017570834218832724,0.0
ETS1,3,0.00017518902313890002,0.0
OAS3,3,0.00017497851998383334,0.0
LHFPL6,3,0.00017479679566646667,0.0
AGRN,3,0.0001730281752922,0.0
FOXD1-AS1,3,0.0001726827103993333,0.0
RND3,3,0.00017256835902413332,0.0
STEAP1,3,0.00017250255526346666,0.0
ID3,3,0.0001716279803076,0.0
FBXO2,3,0.00017158636183008317,0.0
MLPH,3,0.00017134972100996669,0.0
ST3GAL6,3,0.00017093387577912265,0.0
LRRC37A4P,3,0.0001697932457318,0.0
SHTN1,3,0.00016961352472810002,0.0
