gene_name,mean_delta_auc,max_delta_auc,frac_sensitising,n_drugs,cancer_type,drugs
CNN2,0.0004914544988423,0.0004914544988423,0.0,1,Melanoma,Trametinib
LDHB,0.0004056810284964,0.0004056810284964,0.0,1,Melanoma,Trametinib
MTSS2,0.000398710835725,0.000398710835725,0.0,1,Melanoma,Trametinib
HLA-B,0.0003954250132665,0.0003954250132665,0.0,1,Melanoma,Trametinib
ID3,0.0003698047075886,0.0003698047075886,0.0,1,Melanoma,Trametinib
JUN,0.0003688445140141,0.0003688445140141,0.0,1,Melanoma,Trametinib
TCEAL4,0.0003637425543274,0.0003637425543274,0.0,1,Melanoma,Trametinib
AHNAK,0.0003598046896513,0.0003598046896513,0.0,1,Melanoma,Trametinib
MICA,0.0003484310000203,0.0003484310000203,0.0,1,Melanoma,Trametinib
SAT1,0.0003312826156616,0.0003312826156616,0.0,1,Melanoma,Trametinib
MIR4435-2HG,0.0003305079881101,0.0003305079881101,0.0,1,Melanoma,Trametinib
HLA-C,0.0003285665879957,0.0003285665879957,0.0,1,Melanoma,Trametinib
AJUBA,0.0003251879534218,0.0003251879534218,0.0,1,Melanoma,Trametinib
SVIL-AS1,0.0003250124573241,0.0003250124573241,0.0,1,Melanoma,Trametinib
CTSZ,0.0003239443758502,0.0003239443758502,0.0,1,Melanoma,Trametinib
P4HA2,0.0003226255939807,0.0003226255939807,0.0,1,Melanoma,Trametinib
CHCHD10,0.0003215672040823,0.0003215672040823,0.0,1,Melanoma,Trametinib
TNFRSF21,0.0003206102992407,0.0003206102992407,0.0,1,Melanoma,Trametinib
BNIP3,0.0003142252098768,0.0003142252098768,0.0,1,Melanoma,Trametinib
ERBB2,0.0003124197828583,0.0003124197828583,0.0,1,Melanoma,Trametinib
