gene_name,mean_delta_auc,max_delta_auc,frac_sensitising,n_drugs,cancer_type,drugs
SAT1,0.0006730117311234999,0.0007232111529447,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
LDHB,0.00051052446360695,0.0005563608719967,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
ANXA2,0.00045100922579875,0.0004890672280453,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
ITM2C,0.0004217027308186,0.0004940977087244,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
MT2A,0.00040355011878995,0.0004167963052168,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
JUN,0.0003910214290954,0.00040209889994,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
YBX3,0.0003658076166175,0.0003811240312643,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
MT1X,0.00035717559512700003,0.0004174466012045,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
RHOBTB3,0.00035514989576765,0.0003620920469984,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
DBNDD2,0.00034269435855085,0.0003773169592022,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
EPB41L2,0.0003424079768592,0.0003527856897562,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
CNN2,0.00034192024031645,0.0003747026785276,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
MTSS2,0.00033539716969239997,0.0003396457468625,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
RHOC,0.00033420456747985,0.0004267914046067,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
TNFRSF21,0.00033110611548179997,0.0003369742189534,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
TCEAL4,0.00032703593024045,0.0003511095128487,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
FXYD5,0.00032012668089004997,0.0003470134106464,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
ADORA2B,0.00031643487454855,0.0003763980057556,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
FAT1,0.0003142225759802,0.0003351516497787,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
AHNAK,0.00030602222250300005,0.0003401744470465,0.0,2,Ovarian Carcinoma,"Talazoparib,Cisplatin"
