drug_name,project_id
cyclophosphamide,TCGA-BRCA
docetaxel,TCGA-BRCA
epirubicin,TCGA-BRCA
methotrexate,TCGA-BRCA
paclitaxel,TCGA-BRCA
tamoxifen,TCGA-BRCA
vinblastine,TCGA-BRCA
bleomycin,TCGA-CESC
topotecan,TCGA-CESC
sorafenib,TCGA-CHOL
bleomycin,TCGA-DLBC
temozolomide,TCGA-GBM
bleomycin,TCGA-HNSC
docetaxel,TCGA-HNSC
methotrexate,TCGA-HNSC
axitinib,TCGA-KICH
sorafenib,TCGA-KICH
temsirolimus,TCGA-KICH
axitinib,TCGA-KIRC
sorafenib,TCGA-KIRC
temsirolimus,TCGA-KIRC
axitinib,TCGA-KIRP
sorafenib,TCGA-KIRP
temsirolimus,TCGA-KIRP
cytarabine,TCGA-LAML
mitoxantrone,TCGA-LAML
temozolomide,TCGA-LGG
sorafenib,TCGA-LIHC
crizotinib,TCGA-LUAD
docetaxel,TCGA-LUAD
erlotinib,TCGA-LUAD
gefitinib,TCGA-LUAD
gemcitabine,TCGA-LUAD
methotrexate,TCGA-LUAD
paclitaxel,TCGA-LUAD
vinorelbine,TCGA-LUAD
crizotinib,TCGA-LUSC
docetaxel,TCGA-LUSC
erlotinib,TCGA-LUSC
gefitinib,TCGA-LUSC
gemcitabine,TCGA-LUSC
methotrexate,TCGA-LUSC
paclitaxel,TCGA-LUSC
vinorelbine,TCGA-LUSC
cisplatin,TCGA-OV
gemcitabine,TCGA-OV
olaparib,TCGA-OV
paclitaxel,TCGA-OV
rucaparib,TCGA-OV
topotecan,TCGA-OV
erlotinib,TCGA-PAAD
gemcitabine,TCGA-PAAD
irinotecan,TCGA-PAAD
docetaxel,TCGA-PRAD
dactinomycin,TCGA-SARC
methotrexate,TCGA-SARC
dabrafenib,TCGA-SKCM
dacarbazine,TCGA-SKCM
trametinib,TCGA-SKCM
docetaxel,TCGA-STAD
dactinomycin,TCGA-TGCT
vinblastine,TCGA-TGCT
sorafenib,TCGA-THCA
