hgnc_symbol,SIDM00003,SIDM00023,SIDM00040,SIDM00041
KRT19,0.8639,10.1656,8.6226,0.2869
SPARC,10.2563,2.4673,2.1922,9.6709
RPL36A-HNRNPH2,0.7655,0.9782,0.9561,0.757
VIM,11.9567,1.9672,0.0976,11.795
TGFBI,8.8397,7.2317,8.9522,11.5451
UCHL1,1.0635,0.585,7.2535,7.9979
KRT8,3.5323,9.0941,8.1532,9.9226
KRT7,0.189,9.1242,11.2257,2.6276
C19orf33,0.546,7.7984,7.3256,9.3569
RPS4Y1,2.7761,0.0976,0.0,0.0566
CD74,6.0472,0.7312,0.5361,0.4957
KRT18,6.5308,8.4825,9.5204,9.6364
S100A6,9.7764,10.9679,11.3811,11.943
EPCAM,0.433,7.7789,8.348,2.4033
FN1,8.6241,2.6826,0.6415,6.6764
FXYD3,8.3067,9.1696,12.2891,0.251
TACSTD2,0.0286,8.1403,6.2172,0.0286
S100P,0.9411,4.8728,10.3258,0.433
IGFBP3,3.5886,7.34,0.903,0.8156
CAV1,7.9811,10.2796,4.4168,6.0159
ANXA1,8.8611,9.5907,7.2181,1.8914
SERPINE1,0.0841,3.5385,0.1635,9.3371
KRT17,0.0426,9.7652,7.9506,0.1506
SPINT2,0.585,7.6814,9.3129,0.1243
S100A16,1.0356,7.9545,8.4859,9.0498
TM4SF1,5.9129,5.8936,7.7391,7.8404
IFI27,1.9411,6.111,1.3896,8.9696
HLA-DRA,3.2913,0.0144,0.0286,1.7049
MAL2,0.433,7.2291,6.9264,0.4436
NNMT,3.1276,0.3561,9.4066,10.0483
S100A14,0.1763,8.576,8.6934,1.9964
LGALS1,11.1741,10.1918,9.0008,11.9998
CLDN4,0.3896,6.3616,6.0088,2.0942
AGR2,0.2987,7.1193,9.5629,0.0
CD24,0.516,7.0411,7.6535,9.2366
IGFBP7,6.0139,3.9355,3.6611,7.1273
SFN,0.2388,8.0523,5.6135,8.0483
XAGE1A,7.286,0.1375,0.0,7.5217
LCN2,0.5656,4.1326,6.4138,0.9336
CDKN2A,7.1807,0.3896,2.7803,1.0635
IFITM1,4.2227,7.5014,4.4679,5.2464
MGST1,3.7887,3.9982,8.5229,0.1635
COL1A2,0.0704,0.9184,0.0,0.3334
MT1E,3.0583,6.9761,0.5059,7.5664
SLPI,0.0,4.441,6.5218,1.0566
ELF3,0.251,6.5204,7.0015,0.0426
TUBA1B-AS1,1.4276,1.585,0.275,0.5945
ARHGDIB,0.7137,1.3219,0.9411,0.8319
CCN1,2.696,7.1323,4.3183,8.0151
SRGN,3.3234,0.6041,0.3103,0.7485
SPP1,8.6154,0.3219,1.6369,0.0566
IFITM3,6.5984,8.853,9.3852,9.8125
LCP1,6.7674,0.2388,0.2141,1.4114
CD44,9.0933,7.7083,8.2019,9.2429
FSTL1,3.3519,5.4998,2.2898,7.1586
CLDN7,0.3785,7.3581,8.7575,2.2479
THBS1,4.1119,7.854,4.3356,3.5993
EFEMP1,0.3896,8.3998,1.9411,3.1309
