gene,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
MTND1P23,11.7044,10.3632,13.9083,4.93425,6.04075,6.24955,6.00613,14.2293,14.6325,16.134,11.6653,14.2558,17.313,14.2259,15.6582,13.1754,15.6356,17.5157,11.6131,15.3587,10.3262,3.2486,3.22189,3.76388,5.0384,8.86335,9.7783,731.567,2836.15,1998.71,8.66571,4.77297,8.55142,3.97263,14.2663,18.5838,15.4436,11.2008,9.48574,6.03081,3.53687,1210.95,7.53519,7.69702,14.5008,7.15214,4.8584,4.4945,5.85489,4.76066,3.04913,6.13592,7.52266,8.72332,8.97021,10.2571,15.2731,17.6979,6.24589,11.3172,13.2338,20.877,16.2675,12.4175,6.75836,5.74417,4.7858,3.83938
SAMD11,0.506388,3.11172,4.12613,6.03854,3.35238,8.59472,16.6913,0.527124,0.45825,2.26756,0.420034,0.656855,0.84291,0.50268,0.924148,3.98171,1.11579,1.37691,2.3749,1.26731,1.78924,1.80382,0.065778,6.32587,10.2771,4.80146,4.55374,2.94033,1.37003,6.36232,5.63307,1.40757,5.83085,35.6263,7.193,0.456665,8.00706,15.4039,1.71808,0.75784,0.83496,7.60961,3.97516,0.762081,0.285151,5.56883,1.87145,0.78326,0.377577,26.9122,1.18248,35.9843,17.6632,0.571265,0.822744,5.36861,4.24797,5.25627,20.0296,3.74335,3.62344,1.32359,6.04918,7.44477,5.83722,12.0302,7.16403,0.061905
HES4,23.2496,25.704,3.04086,49.7263,67.9426,107.541,35.3926,17.3915,21.4091,33.4394,6.39965,8.5404,23.2404,21.089,13.1358,25.5682,34.5081,29.2714,7.82432,16.644,30.4784,1.17977,8.16816,28.0675,35.8144,30.9744,17.6073,18.4859,11.2882,35.2472,36.1078,16.4526,33.4269,51.548,30.72,17.782,10.9355,22.8068,3.47792,1.9653,1.89232,55.0834,34.0094,22.9924,5.31933,38.4685,10.5317,8.28702,11.7518,3.47175,11.8851,34.377,49.7535,22.8616,18.8945,9.54567,8.51016,13.0216,18.7482,10.5549,10.6438,5.48497,33.0802,10.3783,25.2939,40.5801,33.1438,2.09173
ISG15,42.552,40.444,14.9998,59.5456,52.3357,58.9547,34.3981,51.6128,29.0135,31.3796,9.30194,9.17464,28.3774,35.387,33.6764,48.7275,25.6555,36.1646,35.1044,34.0043,32.9508,46.5152,801.018,38.7978,42.472,51.1356,34.2178,31.8711,18.9884,41.2215,39.2503,12.6626,39.1789,40.5263,19.9033,16.0505,23.8155,60.761,32.7411,26.5952,36.9051,36.9445,79.2231,13.4657,7.29268,45.0195,18.5424,6.06256,5.7631,6.39751,8.63515,33.61,35.4015,11.6006,12.8421,39.5026,36.0712,43.4543,68.6113,20.8088,19.8931,9.57037,50.0409,12.9871,41.1964,39.0629,30.8347,47.2638
AGRN,19.3479,22.1796,4.87109,26.6592,27.7525,23.6229,28.95,20.1302,23.6183,19.4946,4.79407,8.35101,46.2969,32.8701,15.9,14.5028,15.1034,17.8842,15.8833,15.2957,29.839,33.0684,58.2096,35.3814,41.7674,21.6369,20.8146,18.0831,15.0102,16.6495,23.5883,29.0429,20.3797,31.5716,9.37551,7.07911,51.4362,118.799,13.5652,10.6598,12.816,78.3516,55.3706,47.7356,2.51296,24.6855,13.8455,23.9793,18.3107,9.45883,19.225,18.0353,37.8567,35.5865,32.8813,19.2744,8.73625,18.5576,13.8369,21.9476,18.8296,14.8341,17.3262,32.6214,102.547,29.1879,29.8526,0.845147
MXRA8,239.757,118.174,25.8727,295.768,205.52,182.09,126.309,12.5521,14.3245,14.6093,9.27711,13.9763,16.9309,12.4236,12.8297,11.5213,14.1412,12.9621,8.84035,10.6081,179.095,393.744,1.83024,232.723,345.561,146.862,72.2125,51.118,22.8485,156.631,96.4395,39.5876,81.4976,177.398,48.7256,18.2957,38.7172,40.3213,7.69047,3.51311,4.49707,106.116,132.697,65.2635,15.9678,389.426,240.124,8.48442,7.02018,25.4804,13.0676,58.7954,117.19,61.9877,87.5008,58.1329,44.107,56.8353,80.6478,35.9657,42.4194,17.6446,145.278,54.9571,161.091,277.144,168.162,1.22384
ANKRD65,8.2213,6.50138,1.03938,1.47438,3.32849,1.72791,29.4131,18.3808,15.5432,12.7186,27.9449,25.9473,20.7897,22.7351,15.7975,14.9497,14.3544,12.4748,33.9329,17.0114,12.6918,0.954607,0.454312,12.5786,15.633,19.6921,7.31493,5.50416,1.42199,17.0137,14.4551,14.5909,13.952,24.0941,2.69067,1.25698,4.13227,4.24301,0.647767,0.5085,0.388126,2.38032,15.1808,13.6332,1.17093,28.3842,14.3085,6.11221,6.53596,69.372,9.40526,2.93478,28.49,8.71938,5.93836,7.16336,8.71867,7.84461,2.40938,9.21016,10.7107,8.16264,19.4016,11.7677,6.7607,11.2325,12.5205,0.09596
VWA1,28.6225,24.9707,8.72053,17.5243,29.3188,29.6164,102.606,18.2562,12.8174,19.2925,6.06245,7.85133,16.6157,15.0059,25.0334,16.2315,13.7587,23.1788,68.3512,23.6771,31.8272,4.01458,1.49447,32.0467,52.3215,88.8031,37.6809,24.5403,10.4534,66.9742,82.119,26.8202,91.7286,55.3029,14.6722,6.48551,25.6119,37.1306,36.458,79.5932,78.2218,32.811,25.9008,41.1685,2.67035,221.881,18.9136,14.3703,9.6592,47.5624,17.9537,13.7795,111.001,19.6607,19.7082,19.7343,10.3195,19.986,8.43658,24.3997,21.0174,13.4538,52.5128,22.3492,64.1236,48.1465,42.5016,0.168598
TNFRSF14,100.528,78.7024,90.5993,48.2535,69.7389,40.5672,100.727,8.96867,12.2215,7.33957,9.76459,15.0315,21.9102,16.4214,13.0811,8.20128,6.84794,7.23974,14.0513,9.60298,108.107,15.3415,170.198,120.916,156.043,105.796,123.247,138.467,173.689,144.395,79.0413,45.8739,63.5614,146.208,22.455,13.611,87.2129,97.914,50.1989,52.3435,36.4638,245.456,173.379,78.9929,6.70355,97.7866,90.3414,15.561,23.0623,51.7882,22.3184,67.0658,155.269,61.4548,56.3227,166.25,295.531,201.329,257.735,76.4156,85.9206,80.0305,79.6465,25.488,111.357,108.303,109.532,139.423
ARHGEF16,4.13896,2.4099,0.615806,0.545974,1.46776,0.326177,7.65937,0.902107,1.15988,0.867972,1.04514,1.4244,1.60396,1.35463,0.943308,2.30195,0.649821,0.771968,4.94407,2.32578,9.19947,0.0745555,0.01996,9.93572,2.88043,2.20451,30.357,64.781,72.2841,7.45113,1.60571,26.6278,1.63155,2.34065,0.8295,0.385104,21.0666,41.3669,4.62555,4.01063,3.76171,31.0918,8.50483,31.8375,0.69696,39.0701,2.37875,8.37719,10.2628,21.7196,10.1371,33.3441,22.7424,10.1905,11.2539,28.1478,1.62788,48.3176,1.60057,23.8381,29.8337,28.9366,1.0368,8.56867,29.644,0.582497,17.0204,0.061933
