SANGER_MODEL_ID,model_name,tissue,cancer_type,COSMIC_ID
SIDM00194,SNU-61,Large Intestine,Colorectal Carcinoma,1660035
SIDM00217,SNU-1040,Large Intestine,Colorectal Carcinoma,1659823
SIDM00799,A172,Central Nervous System,Glioblastoma,687563
SIDM00993,AMO-1,Haematopoietic and Lymphoid,Plasma Cell Myeloma,1295741
SIDM01229,BE2-M17,Peripheral Nervous System,Neuroblastoma,753616
SIDM00990,BEN,Lung,Non-Small Cell Lung Carcinoma,753534
SIDM00946,DND-41,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,1297446
SIDM00216,SNU-175,Large Intestine,Colorectal Carcinoma,1659928
SIDM00422,SUP-HD1,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,1331039
SIDM00046,H3255,Lung,Non-Small Cell Lung Carcinoma,1247873
SIDM01069,HCC-44,Lung,Non-Small Cell Lung Carcinoma,1240145
SIDM00128,JHU-011,Head and Neck,Head and Neck Carcinoma,1240161
SIDM01037,JIMT-1,Breast,Breast Carcinoma,1298157
SIDM00296,LU-134-A,Lung,Small Cell Lung Carcinoma,753588
SIDM00455,PA-TU-8902,Pancreas,Pancreatic Carcinoma,1298526
SIDM00454,RH-18,Soft Tissue,Rhabdomyosarcoma,971774
SIDM01163,SW1573,Lung,Non-Small Cell Lung Carcinoma,724878
SIDM01168,SW626,Large Intestine,Colorectal Carcinoma,909753
SIDM00234,TC-YIK,Cervix,Other Solid Cancers,946357
SIDM01183,UMC-11,Lung,Other Solid Cancers,909779
SIDM00984,BONNA-12,Haematopoietic and Lymphoid,Other Blood Cancers,906695
SIDM00980,23132-87,Stomach,Gastric Carcinoma,910924
SIDM01240,451Lu,Skin,Melanoma,1287706
SIDM00849,A704,Kidney,Kidney Carcinoma,910920
SIDM00826,COLO-205,Large Intestine,Colorectal Carcinoma,905961
SIDM00951,CTV-1,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,753548
SIDM00887,Daoy,Central Nervous System,Other Solid Cancers,906833
SIDM00964,BPH-1,Prostate,Non-Cancerous,924105
SIDM00486,EBC-1,Lung,Squamous Cell Lung Carcinoma,753554
SIDM01044,EPLC-272H,Lung,Other Solid Cancers,753556
SIDM00538,ESO51,Esophagus,Esophageal Carcinoma,1503367
SIDM00205,EW-1,Bone,Ewing's Sarcoma,949163
SIDM00596,HEC-1,Endometrium,Endometrial Carcinoma,907051
SIDM00594,HEL,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,907053
SIDM00133,HOP-62,Lung,Non-Small Cell Lung Carcinoma,905972
