SANGER_MODEL_ID,cell_auc_train_mean,cell_auc_train_median,cell_centered_sensitivity_train
SIDM00003,0.8682435750961304,0.9366515278816223,0.008116484
SIDM00023,0.8893070816993713,0.9304230213165283,0.01434499
SIDM00040,0.8748347163200378,0.925833523273468,0.018934488
SIDM00041,0.8416786789894104,0.9054340124130249,0.039334
SIDM00042,0.8918480277061462,0.945106029510498,-0.00033801794
SIDM00043,0.8784124851226807,0.9298539757728577,0.014914036
SIDM00044,0.8985079526901245,0.9399104714393616,0.00485754
SIDM00045,0.7970682978630066,0.8700500130653381,0.074718
SIDM00046,0.8916124701499939,0.9286440014839172,0.01612401
SIDM00047,0.8842338870762141,0.944768,0.0
SIDM00048,0.8703170418739319,0.9170370101928711,0.027731001
SIDM00049,0.8720862865447998,0.9343274831771851,0.010440528
SIDM00050,0.8927988409996033,0.931672990322113,0.013095021
SIDM00051,0.8842338870762141,0.944768,0.0
SIDM00052,0.8990569710731506,0.952378511428833,-0.0076105
SIDM00053,0.8842338870762141,0.944768,0.0
SIDM00056,0.8620882034301758,0.9234279990196228,0.021340013
SIDM00064,0.8961796760559082,0.9568549990653992,-0.0120869875
SIDM00077,0.879431962966919,0.9341754913330078,0.01059252
SIDM00078,0.9077255129814148,0.9553509950637817,-0.0105829835
SIDM00079,0.8842338870762141,0.944768,0.0
SIDM00080,0.9118108749389648,0.9611049890518188,-0.016336977
SIDM00081,0.8842338870762141,0.944768,0.0
SIDM00082,0.9373890161514282,0.9840610027313232,-0.03929299
SIDM00083,0.8842338870762141,0.944768,0.0
SIDM00084,0.8842338870762141,0.944768,0.0
SIDM00085,0.8842338870762141,0.944768,0.0
SIDM00086,0.8964040875434875,0.9437050223350525,0.0010629892
SIDM00087,0.8701868057250977,0.9463239908218384,-0.0015559793
SIDM00090,0.8943598866462708,0.9554110169410706,-0.010643005
SIDM00091,0.8819273114204407,0.9272400140762329,0.017527997
SIDM00092,0.9302656054496765,0.9641540050506592,-0.019385993
SIDM00094,0.9418027997016907,0.9724460244178772,-0.027678013
SIDM00095,0.8937482833862305,0.9370915293693542,0.007676482
SIDM00096,0.8842338870762141,0.944768,0.0
SIDM00097,0.912401020526886,0.9434069991111755,0.0013610125
SIDM00105,0.9188860058784485,0.9631929993629456,-0.018424988
SIDM00107,0.8786647319793701,0.9446189999580383,0.00014901161
SIDM00108,0.9203871488571167,0.9621760249137878,-0.017408013
SIDM00111,0.912950336933136,0.960332989692688,-0.015564978
SIDM00112,0.8662088513374329,0.9129369854927063,0.031831026
SIDM00113,0.8906554579734802,0.9264364838600159,0.018331528
SIDM00115,0.8609910011291504,0.9196345210075378,0.02513349
SIDM00116,0.922294557094574,0.9636250138282776,-0.018857002
SIDM00117,0.870059609413147,0.9255099892616272,0.019258022
SIDM00118,0.878107488155365,0.9452919960021973,-0.00052398443
SIDM00119,0.8842338870762141,0.944768,0.0
SIDM00120,0.9363533854484558,0.9734309911727905,-0.02866298
SIDM00121,0.8842338870762141,0.944768,0.0
SIDM00122,0.8960416913032532,0.9381610155105591,0.006606996
SIDM00123,0.8842338870762141,0.944768,0.0
SIDM00124,0.8842338870762141,0.944768,0.0
SIDM00125,0.8822414875030518,0.9355049729347229,0.009263039
SIDM00126,0.8842338870762141,0.944768,0.0
SIDM00127,0.8842338870762141,0.944768,0.0
SIDM00128,0.8301803469657898,0.88850998878479,0.056258023
SIDM00129,0.8571515679359436,0.9383565187454224,0.006411493
SIDM00130,0.8842338870762141,0.944768,0.0
SIDM00132,0.9011232256889343,0.9357029795646667,0.009065032
SIDM00133,0.9074215888977051,0.9532110095024109,-0.008442998
SIDM00134,0.8842338870762141,0.944768,0.0
SIDM00135,0.8842338870762141,0.944768,0.0
SIDM00136,0.8563652634620667,0.9037389755249023,0.041029036
SIDM00137,0.8842338870762141,0.944768,0.0
SIDM00138,0.8842338870762141,0.944768,0.0
SIDM00139,0.9294970035552979,0.9525930285453796,-0.007825017
SIDM00140,0.8842338870762141,0.944768,0.0
SIDM00142,0.8946338891983032,0.9406239986419678,0.004144013
SIDM00143,0.9108433723449707,0.956732988357544,-0.011964977
SIDM00144,0.8163976073265076,0.8875294923782349,0.05723852
SIDM00145,0.8904580473899841,0.9739800095558167,-0.029211998
SIDM00146,0.9020671248435974,0.9507449865341187,-0.005976975
SIDM00148,0.8993962407112122,0.9432160258293152,0.0015519857
SIDM00149,0.8478860855102539,0.9061449766159058,0.038623035
SIDM00150,0.8842338870762141,0.944768,0.0
SIDM00151,0.8342903256416321,0.8872594833374023,0.05750853
