SANGER_MODEL_ID,cell_auc_train_mean,cell_auc_train_median,cell_centered_sensitivity_train
SIDM00003,0.8528152,0.9175355,0.02166599
SIDM00023,0.8853419,0.934254,0.0049474835
SIDM00040,0.87801963,0.926786,0.012415469
SIDM00041,0.83650625,0.9125855,0.026615977
SIDM00042,0.8833509,0.9450255,-0.0058240294
SIDM00043,0.87031144,0.924685,0.014516473
SIDM00044,0.8874642,0.931395,0.00780648
SIDM00045,0.77819926,0.867886,0.07131547
SIDM00046,0.88559043,0.924865,0.014336467
SIDM00047,0.8496,0.9103695,0.028831959
SIDM00048,0.8641552,0.923728,0.015473485
SIDM00049,0.8636077,0.92664,0.0125615
SIDM00050,0.8844095,0.931673,0.007528484
SIDM00051,0.846965,0.89561,0.0435915
SIDM00052,0.8980492,0.949205,-0.010003507
SIDM00053,0.9192603,0.945501,-0.0062995553
SIDM00056,0.8501799,0.916454,0.022747457
SIDM00064,0.88237995,0.955605,-0.016403496
SIDM00077,0.8615745,0.925689,0.013512492
SIDM00078,0.89645094,0.950887,-0.01168555
SIDM00079,0.9020939,0.946729,-0.00752753
SIDM00080,0.9047627,0.9543985,-0.015197039
SIDM00081,0.85907775,0.930376,0.008825481
SIDM00082,0.9337467,0.983511,-0.044309497
SIDM00083,0.85794884,0.9312605,0.007940948
SIDM00084,0.86886597,0.932734,0.0064674616
SIDM00085,0.9043963,0.952405,-0.013203502
SIDM00086,0.8885635,0.9419665,-0.0027649999
SIDM00087,0.8562197,0.939423,-0.00022155046
SIDM00090,0.8811557,0.952619,-0.013417542
SIDM00091,0.87227374,0.918089,0.021112502
SIDM00092,0.9228729,0.9598115,-0.020610034
SIDM00094,0.9317513,0.967486,-0.02828455
SIDM00095,0.8834189,0.934545,0.0046564937
SIDM00096,0.78930897,0.892611,0.046590447
SIDM00097,0.90080506,0.9360765,0.0031249523
SIDM00105,0.9063862,0.960485,-0.021283507
SIDM00107,0.8698447,0.938286,0.00091546774
SIDM00108,0.9147318,0.956571,-0.017369509
SIDM00111,0.89999205,0.957654,-0.018452525
SIDM00112,0.8593386,0.912398,0.026803493
SIDM00113,0.88116103,0.917926,0.02127546
SIDM00115,0.85320574,0.918001,0.021200478
SIDM00116,0.91502625,0.9611985,-0.021997035
SIDM00117,0.86415714,0.9163375,0.022863984
SIDM00118,0.87232435,0.940438,-0.0012364984
SIDM00119,0.9052733,0.947146,-0.007944524
SIDM00120,0.9285816,0.972234,-0.033032537
SIDM00121,0.83625036,0.938575,0.0006264448
SIDM00122,0.88421434,0.919957,0.019244492
SIDM00123,0.849713,0.909317,0.029884458
SIDM00124,0.885071,0.935702,0.0034994483
SIDM00125,0.8670635,0.934798,0.004403472
SIDM00126,0.8637089,0.923904,0.0152974725
SIDM00127,0.86263853,0.918342,0.02085948
SIDM00128,0.8233576,0.889673,0.04952848
SIDM00129,0.84983116,0.928978,0.010223448
SIDM00130,0.88136786,0.9253695,0.013831973
SIDM00132,0.89402276,0.934447,0.0047544837
SIDM00133,0.8963045,0.9490305,-0.009829044
SIDM00134,0.90773284,0.9422685,-0.0030670166
SIDM00135,0.8452504,0.908654,0.0305475
SIDM00136,0.8487315,0.89297,0.04623145
SIDM00137,0.87804866,0.929641,0.009560466
SIDM00138,0.89506483,0.96642,-0.02721852
SIDM00139,0.9239314,0.95065,-0.011448503
SIDM00140,0.88240165,0.943049,-0.0038475394
SIDM00142,0.8849563,0.936262,0.0029394627
SIDM00143,0.90130806,0.952995,-0.013793528
SIDM00144,0.8139145,0.886822,0.05237949
SIDM00145,0.8753687,0.970197,-0.030995548
SIDM00146,0.89047676,0.940985,-0.0017835498
SIDM00148,0.8909046,0.9404425,-0.0012410283
SIDM00149,0.8349417,0.890724,0.04847747
SIDM00150,0.8565142,0.92823,0.010971487
SIDM00151,0.82592803,0.888158,0.05104345
SIDM00156,0.9074673,0.954162,-0.014960527
SIDM00157,0.84604234,0.918508,0.020693481
SIDM00172,0.83011764,0.924398,0.014803469
SIDM00174,0.82119477,0.8883295,0.05087197
SIDM00175,0.8531817,0.935271,0.0039304495
SIDM00176,0.8954213,0.942356,-0.0031545162
SIDM00179,0.8491227,0.903922,0.035279453
SIDM00180,0.84547275,0.915885,0.023316503
SIDM00181,0.90649724,0.957508,-0.018306553
SIDM00182,0.9157925,0.9518365,-0.012635052
SIDM00183,0.86677724,0.951439,-0.012237549
SIDM00184,0.92809534,0.970408,-0.031206548
SIDM00185,0.90986466,0.958325,-0.019123554
SIDM00186,0.86495954,0.920318,0.018883467
SIDM00187,0.87784964,0.922033,0.017168462
SIDM00188,0.9079858,0.952972,-0.013770521
SIDM00190,0.91051877,0.958827,-0.019625545
SIDM00191,0.8990613,0.956553,-0.017351508
SIDM00193,0.92846113,0.9766135,-0.037412047
SIDM00194,0.9373114,0.968248,-0.029046535
SIDM00195,0.8794721,0.9362015,0.0029999614
SIDM00196,0.83384544,0.920236,0.018965483
SIDM00197,0.8724992,0.9543835,-0.015182018
SIDM00198,0.86774004,0.944953,-0.00575155
SIDM00199,0.87235427,0.922263,0.016938448
SIDM00200,0.8097189,0.901923,0.037278473
SIDM00201,0.8461884,0.9134945,0.025706947
SIDM00202,0.8343198,0.896218,0.042983472
SIDM00203,0.85209876,0.923496,0.015705466
SIDM00205,0.84808534,0.933351,0.005850494
SIDM00206,0.8716633,0.948843,-0.009641528
SIDM00207,0.8763593,0.922129,0.017072499
SIDM00208,0.87429684,0.914256,0.024945498
SIDM00209,0.8480567,0.8943755,0.04482597
SIDM00210,0.7953935,0.855224,0.08397746
SIDM00211,0.82182074,0.912227,0.0269745
SIDM00212,0.8919538,0.940158,-0.00095653534
SIDM00213,0.893454,0.946924,-0.007722497
SIDM00214,0.8872766,0.929589,0.009612501
SIDM00215,0.91367733,0.959933,-0.020731509
SIDM00216,0.853818,0.913814,0.025387466
SIDM00217,0.9183108,0.964231,-0.02502954
SIDM00218,0.91526335,0.944277,-0.0050755143
SIDM00220,0.8490099,0.910464,0.028737485
SIDM00222,0.9035042,0.943349,-0.0041475296
SIDM00223,0.8549858,0.945864,-0.0066625476
SIDM00224,0.8951483,0.939705,-0.00050354004
SIDM00225,0.8576811,0.913571,0.025630474
SIDM00227,0.8998835,0.940859,-0.0016575456
SIDM00230,0.8695226,0.9291325,0.010068953
SIDM00231,0.90701807,0.9588495,-0.019648015
SIDM00232,0.87059295,0.907453,0.031748474
SIDM00233,0.815246,0.924671,0.01453048
SIDM00234,0.83378714,0.9161165,0.023084998
SIDM00235,0.8881758,0.9208925,0.018308997
SIDM00237,0.86823386,0.9259495,0.01325196
SIDM00238,0.87904936,0.937415,0.0017864704
SIDM00239,0.92052096,0.9539365,-0.014735043
SIDM00240,0.8730861,0.924733,0.014468491
SIDM00241,0.85307515,0.9357855,0.0034160018
SIDM00242,0.8791972,0.9382565,0.00094497204
SIDM00243,0.8641944,0.9685255,-0.029324055
SIDM00244,0.8018431,0.871284,0.067917466
SIDM00245,0.8877969,0.9515615,-0.012360036
SIDM00247,0.8688656,0.925551,0.013650477
SIDM00249,0.86775565,0.937251,0.0019505024
SIDM00250,0.9007083,0.961481,-0.022279501
SIDM00251,0.8791179,0.936052,0.0031494498
SIDM00252,0.89495146,0.9410425,-0.0018410087
SIDM00253,0.8522953,0.901278,0.037923455
SIDM00254,0.8700792,0.930066,0.009135485
SIDM00255,0.83605695,0.932026,0.0071754456
SIDM00256,0.84056044,0.933518,0.0056834817
SIDM00257,0.8518042,0.944701,-0.0054995418
SIDM00258,0.82347655,0.873336,0.06586546
SIDM00259,0.86089265,0.945681,-0.0064795017
SIDM00260,0.8979417,0.939496,-0.00029450655
SIDM00261,0.81946146,0.9247005,0.014500976
SIDM00262,0.8837505,0.936602,0.0025994778
SIDM00263,0.84863037,0.9232245,0.015976965
SIDM00264,0.8878846,0.9448915,-0.005690038
SIDM00266,0.7870512,0.8581155,0.08108598
SIDM00267,0.88870937,0.9485375,-0.009336054
SIDM00269,0.82593906,0.921861,0.017340481
SIDM00270,0.8241598,0.890516,0.04868549
SIDM00271,0.8748906,0.922747,0.016454458
SIDM00272,0.8502727,0.900013,0.039188445
SIDM00273,0.876854,0.948975,-0.009773552
SIDM00274,0.87400925,0.920398,0.018803477
SIDM00276,0.8910778,0.947077,-0.007875502
SIDM00277,0.75135875,0.854912,0.08428949
SIDM00278,0.85535747,0.9316135,0.0075879693
SIDM00279,0.9142558,0.957275,-0.0180735
SIDM00280,0.88019973,0.9505845,-0.011382997
SIDM00281,0.8665255,0.925108,0.014093459
SIDM00282,0.9182473,0.958143,-0.018941522
SIDM00283,0.79240507,0.843829,0.0953725
SIDM00284,0.8776509,0.941801,-0.0025995374
SIDM00285,0.8677488,0.93427,0.00493145
SIDM00286,0.83722,0.9299225,0.009278953
SIDM00287,0.8221375,0.9257125,0.013488948
SIDM00289,0.8248191,0.9050585,0.03414297
SIDM00290,0.8471868,0.934445,0.0047564507
SIDM00291,0.8752584,0.918085,0.021116495
SIDM00292,0.9282537,0.957164,-0.017962515
SIDM00293,0.89866173,0.955522,-0.016320527
SIDM00294,0.8903021,0.95796,-0.018758535
SIDM00296,0.8344464,0.920694,0.01850748
SIDM00297,0.87145233,0.937721,0.0014804602
SIDM00299,0.88174415,0.9300095,0.00919199
SIDM00300,0.91162205,0.954461,-0.015259504
SIDM00301,0.8903779,0.955349,-0.016147554
SIDM00302,0.83011675,0.893702,0.045499504
SIDM00303,0.8272884,0.855121,0.08408046
SIDM00304,0.8762541,0.919197,0.020004451
SIDM00305,0.8692298,0.924618,0.014583468
SIDM00306,0.9454359,0.970489,-0.03128755
SIDM00308,0.80224085,0.889052,0.0501495
SIDM00312,0.8794689,0.948426,-0.009224534
SIDM00313,0.8409907,0.9122255,0.02697599
SIDM00315,0.89209354,0.942769,-0.0035675168
SIDM00316,0.8644419,0.939532,-0.00033050776
SIDM00317,0.9274065,0.955949,-0.016747534
SIDM00318,0.906357,0.937239,0.001962483
SIDM00319,0.87658197,0.936653,0.0025484562
SIDM00320,0.92257106,0.966435,-0.027233541
SIDM00321,0.8694205,0.905847,0.03335446
SIDM00322,0.8674016,0.929014,0.010187447
SIDM00323,0.9022619,0.9759065,-0.036705017
SIDM00324,0.86495525,0.940963,-0.0017614961
SIDM00325,0.9062602,0.964119,-0.024917543
SIDM00326,0.874017,0.92722,0.011981487
SIDM00327,0.8822122,0.9544085,-0.015207052
SIDM00328,0.87215054,0.9251315,0.014069974
SIDM00329,0.8548805,0.934883,0.0043184757
SIDM00330,0.8786801,0.930588,0.008613467
SIDM00331,0.83513516,0.928098,0.011103451
SIDM00332,0.87771136,0.934793,0.0044084787
SIDM00333,0.8973309,0.9507145,-0.011513054
SIDM00334,0.92846704,0.970232,-0.031030536
SIDM00335,0.89718205,0.943884,-0.004682541
SIDM00336,0.929079,0.9648115,-0.02561003
SIDM00337,0.8681501,0.928232,0.01096946
SIDM00338,0.9240797,0.969517,-0.030315518
SIDM00339,0.88063765,0.9467815,-0.007580042
SIDM00340,0.906541,0.960173,-0.020971537
SIDM00341,0.8765638,0.9358895,0.0033119917
SIDM00342,0.8330384,0.907064,0.032137454
SIDM00343,0.9321067,0.968251,-0.029049516
SIDM00344,0.8948763,0.9514835,-0.012282014
SIDM00345,0.88858557,0.938471,0.0007304549
SIDM00346,0.82387483,0.911796,0.0274055
SIDM00347,0.9085459,0.956247,-0.017045498
SIDM00348,0.84149563,0.909019,0.03018248
SIDM00349,0.88486695,0.938764,0.0004374981
SIDM00350,0.88605255,0.938311,0.0008904934
SIDM00351,0.8522959,0.917485,0.021716475
SIDM00352,0.8749942,0.918043,0.021158457
SIDM00353,0.92250574,0.956535,-0.017333508
SIDM00354,0.88886195,0.934055,0.0051465034
SIDM00355,0.8374967,0.904376,0.034825504
SIDM00356,0.9009333,0.96013,-0.020928502
