SANGER_MODEL_ID,model_name,tissue,cancer_type
ACH-000007,LS513,Bowel,Colorectal Adenocarcinoma
ACH-000008,A101D,Skin,Melanoma
ACH-000011,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000012,HCC-827,Lung,Non-Small Cell Lung Cancer
ACH-000013,ONCO-DG-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000014,Hs 294T,Skin,Melanoma
ACH-000015,NCI-H1581,Lung,Non-Small Cell Lung Cancer
ACH-000018,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000019,MCF-7,Breast,Invasive Breast Carcinoma
ACH-000021,NCI-H1693,Lung,Non-Small Cell Lung Cancer
ACH-000022,PA-TU-8988S,Pancreas,Pancreatic Adenocarcinoma
ACH-000023,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma
ACH-000026,253J-BV,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000027,GOS-3,CNS/Brain,Adult-Type Diffuse Glioma
ACH-000030,PC-14,Lung,Non-Small Cell Lung Cancer
ACH-000035,NCI-H1650,Lung,Non-Small Cell Lung Cancer
ACH-000037,S-117,Soft Tissue,"Sarcoma, NOS"
ACH-000040,U-118 MG,CNS/Brain,Adult-Type Diffuse Glioma
ACH-000042,Panc 02.03,Pancreas,Pancreatic Adenocarcinoma
ACH-000046,ACHN,Kidney,Renal Cell Carcinoma
ACH-000048,TOV-112D,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000052,A-673,Bone,Ewing Sarcoma
ACH-000054,HT-1080,Soft Tissue,Fibrosarcoma
ACH-000060,Panc 10.05,Pancreas,Pancreatic Adenocarcinoma
ACH-000062,RERF-LC-MS,Lung,Non-Small Cell Lung Cancer
ACH-000066,HCC4006,Lung,Non-Small Cell Lung Cancer
ACH-000082,"G-292, clone A141B1",Bone,Osteosarcoma
ACH-000086,ACC-MESO-1,Pleura,Pleural Mesothelioma
ACH-000087,SK-ES-1,Bone,Ewing Sarcoma
ACH-000090,PC-3,Prostate,Prostate Adenocarcinoma
ACH-000091,OV56,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000092,NCI-H2452,Pleura,Pleural Mesothelioma
ACH-000096,G-401,Kidney,Rhabdoid Cancer
ACH-000097,ZR-75-1,Breast,Invasive Breast Carcinoma
ACH-000098,GAMG,CNS/Brain,Adult-Type Diffuse Glioma
ACH-000099,SIMA,Peripheral Nervous System,Neuroblastoma
ACH-000102,GMS-10,CNS/Brain,Adult-Type Diffuse Glioma
ACH-000107,Capan-2,Pancreas,Pancreatic Adenocarcinoma
ACH-000108,KP-3,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000117,EFM-192A,Breast,Invasive Breast Carcinoma
ACH-000118,HUP-T3,Pancreas,Pancreatic Adenocarcinoma
ACH-000123,COV434,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000132,JHOS-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000133,Hs 729,Fibroblast,Non-Cancerous
ACH-000137,8-MG-BA,CNS/Brain,Adult-Type Diffuse Glioma
ACH-000138,CFPAC-1,Pancreas,Pancreatic Adenocarcinoma
ACH-000139,Panc 03.27,Pancreas,Pancreatic Adenocarcinoma
ACH-000141,SNU-308,Biliary Tract,Intracholecystic Papillary Neoplasm
ACH-000142,CAL-29,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000147,T-47D,Breast,Invasive Breast Carcinoma
ACH-000153,NCI-H2052,Pleura,Pleural Mesothelioma
ACH-000155,SW 1990,Pancreas,Pancreatic Adenocarcinoma
ACH-000159,OS-RC-2,Kidney,Renal Cell Carcinoma
ACH-000161,COR-L105,Lung,Non-Small Cell Lung Cancer
ACH-000163,SW579,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000164,PANC-1,Pancreas,Pancreatic Adenocarcinoma
ACH-000169,RD,Soft Tissue,Rhabdomyosarcoma
ACH-000171,VMRC-RCZ,Kidney,Renal Cell Carcinoma
ACH-000172,TM-87,Soft Tissue,Rhabdoid Cancer
ACH-000174,CAL-62,Thyroid,Anaplastic Thyroid Cancer
ACH-000176,LOU-NH91,Lung,Non-Small Cell Lung Cancer
ACH-000178,Hs 766T,Pancreas,Pancreatic Adenocarcinoma
ACH-000182,SNU-869,Ampulla of Vater,Ampullary Carcinoma
ACH-000186,NCI-H2444,Lung,Non-Small Cell Lung Cancer
ACH-000188,SCC-25,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000189,RCC10RGB,Kidney,Renal Cell Carcinoma
ACH-000191,BHT-101,Thyroid,Anaplastic Thyroid Cancer
ACH-000192,MFE-280,Uterus,Endometrial Carcinoma
ACH-000201,A-204,Kidney,Rhabdoid Cancer
ACH-000205,PK-59,Pancreas,Pancreatic Adenocarcinoma
ACH-000207,Detroit 562,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000209,SNU-1079,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000210,CADO-ES1,Bone,Ewing Sarcoma
ACH-000211,Daoy,CNS/Brain,Embryonal Tumor
ACH-000212,CAL-120,Breast,Invasive Breast Carcinoma
ACH-000217,JHH-6,Liver,Hepatocellular Carcinoma
ACH-000219,A-375,Skin,Melanoma
ACH-000221,SNU-398,Liver,Hepatocellular Carcinoma
ACH-000222,AsPC-1,Pancreas,Pancreatic Adenocarcinoma
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma
ACH-000228,BICR 31,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000231,KALS-1,CNS/Brain,Adult-Type Diffuse Glioma
