SANGER_MODEL_ID,cell_auc_train_mean,cell_auc_train_median,cell_centered_sensitivity_train
ACH-000007,0.9501276,0.87981236,0.03403449
ACH-000008,0.93545943,0.9198774,-0.0060305595
ACH-000011,0.9135447,0.90076,0.013086855
ACH-000012,0.897808,0.8827542,0.031092644
ACH-000013,0.9645971,0.91095126,0.0028955936
ACH-000014,0.9772255,0.91161126,0.0022355914
ACH-000015,0.93580294,0.87766016,0.036186695
ACH-000018,0.95657456,0.9437507,-0.02990383
ACH-000019,0.929218,0.9046618,0.009185076
ACH-000021,0.9198999,0.8984244,0.015422463
ACH-000022,1.0158093,0.95642805,-0.0425812
ACH-000023,0.90587324,0.9086734,0.0051734447
ACH-000026,0.92953026,0.91046226,0.0033845901
ACH-000027,1.0072324,0.971555,-0.057708144
ACH-000030,0.89780253,0.8824691,0.031377733
ACH-000035,1.0221251,0.9409088,-0.02706194
ACH-000037,1.0327928,0.92295784,-0.009110987
ACH-000040,0.97482175,0.9337197,-0.019872844
ACH-000042,0.9519578,0.9170733,-0.003226459
ACH-000046,0.8970645,0.88720816,0.026638687
ACH-000048,0.88129383,0.8632493,0.05059755
ACH-000052,1.0063615,0.91743153,-0.003584683
ACH-000054,0.97279483,0.91425973,-0.00041288137
ACH-000060,0.980745,0.92268544,-0.008838594
ACH-000062,0.90038097,0.8837678,0.030079067
ACH-000066,0.9034738,0.89457667,0.019270182
ACH-000082,1.0210636,0.95963657,-0.04578972
ACH-000086,0.92684186,0.9105032,0.0033436418
ACH-000087,0.89647806,0.8715042,0.042342663
ACH-000090,0.9384369,0.91833395,-0.0044870973
ACH-000091,0.9289929,0.9076336,0.006213248
ACH-000092,0.96761584,0.93537444,-0.021527588
ACH-000096,0.9139414,0.8616188,0.052228034
ACH-000097,0.915537,0.89691216,0.016934693
ACH-000098,0.9821109,0.9647878,-0.05094093
ACH-000099,0.97067666,0.93627805,-0.022431195
ACH-000102,1.0351777,0.97771573,-0.06386888
ACH-000107,0.976933,0.9196862,-0.005839348
ACH-000108,0.9430554,0.9180169,-0.00417006
ACH-000117,1.0575728,1.0,-0.08615315
ACH-000118,0.920302,0.903808,0.010038853
ACH-000123,0.8874133,0.84825575,0.0655911
ACH-000132,0.9695118,0.93924093,-0.025394082
ACH-000133,0.9831441,0.9170016,-0.0031547546
ACH-000137,0.9592861,0.9215496,-0.007702768
ACH-000138,0.87263685,0.8764547,0.03739214
ACH-000139,0.9331643,0.8769771,0.036869764
ACH-000141,1.0461367,0.9664054,-0.05255854
ACH-000142,0.89670986,0.88306063,0.030786216
ACH-000147,0.95460117,0.92002064,-0.0061737895
ACH-000153,0.9931673,0.9451343,-0.03128743
ACH-000155,0.9434116,0.9373219,-0.02347505
ACH-000159,0.95163554,0.921922,-0.008075178
ACH-000161,0.96216667,0.9081838,0.0056630373
ACH-000163,0.9170902,0.85614127,0.05770558
ACH-000164,1.0107902,0.95755756,-0.04371071
ACH-000169,1.0030937,0.9108306,0.0030162334
ACH-000171,0.93692213,0.92432666,-0.010479808
ACH-000172,0.9806791,0.90215707,0.011689782
ACH-000174,0.9007581,0.90739,0.006456852
ACH-000176,0.96360517,0.92973554,-0.015888691
ACH-000178,1.0177863,0.9509915,-0.03714466
ACH-000182,0.99319375,0.9328451,-0.018998265
ACH-000186,1.0029224,0.9080167,0.0058301687
ACH-000188,0.94848156,0.8822563,0.03159052
ACH-000189,0.92932826,0.9111867,0.0026601553
ACH-000191,0.9175925,0.8976909,0.016155958
ACH-000192,0.92359185,0.88024414,0.033602715
ACH-000201,0.83003205,0.82803065,0.085816205
ACH-000205,0.92516184,0.8885524,0.025294423
ACH-000207,0.8967186,0.88267934,0.031167507
ACH-000209,0.9388818,0.90534234,0.00850451
ACH-000210,1.0142053,0.94652265,-0.032675803
ACH-000211,0.8962922,0.8882848,0.025562048
ACH-000212,0.9148369,0.9109803,0.0028665662
ACH-000217,1.0074021,0.959985,-0.046138167
ACH-000219,0.9308008,0.91643524,-0.0025883913
ACH-000221,0.94734615,0.88414925,0.029697597
ACH-000222,0.93191034,0.90438026,0.0094665885
ACH-000223,0.9853334,0.944409,-0.030562162
ACH-000228,0.9491421,0.9149529,-0.0011060238
ACH-000231,0.9192813,0.91566485,-0.0018180013
ACH-000232,0.95314527,0.92606443,-0.012217581
ACH-000235,0.9602795,0.9079153,0.005931556
ACH-000237,0.91012204,0.89063346,0.023213387
ACH-000242,1.0151036,0.89714634,0.016700506
ACH-000243,0.90155596,0.8738453,0.04000157
ACH-000244,0.95398843,0.9254806,-0.011633754
ACH-000250,0.9095773,0.91532916,-0.0014823079
ACH-000252,1.0031223,0.9544428,-0.04059595
ACH-000255,0.89318967,0.8808383,0.033008575
ACH-000259,1.0298789,0.9552887,-0.041441858
ACH-000260,0.9551304,0.9312862,-0.017439365
ACH-000261,0.91917723,0.9020281,0.011818767
ACH-000264,0.9248759,0.9183622,-0.00451535
ACH-000265,0.9308054,0.9039282,0.00991863
ACH-000266,1.0217458,0.945531,-0.03168416
ACH-000268,1.0914359,0.99793804,-0.08409119
ACH-000270,1.0595896,0.99933374,-0.08548689
ACH-000273,0.964267,0.9112908,0.002556026
ACH-000274,1.1711729,1.1973768,-0.28353
ACH-000276,1.0142964,0.9383628,-0.024515927
ACH-000277,0.9903196,0.91898674,-0.0051398873
ACH-000278,0.95980227,0.9263822,-0.012535334
ACH-000279,0.94676894,0.89334106,0.020505786
ACH-000280,0.8901323,0.88164353,0.032203317
ACH-000281,0.9713171,0.91691303,-0.0030661821
ACH-000288,0.9251825,0.89389014,0.019956708
ACH-000289,1.0209073,0.95800936,-0.04416251
ACH-000292,0.88364184,0.8943861,0.019460738
ACH-000296,0.9486771,0.919038,-0.0051911473
ACH-000302,1.0752838,0.99396574,-0.080118895
ACH-000305,0.9192844,0.9004179,0.0134289265
ACH-000307,0.9181445,0.8871807,0.026666164
ACH-000308,0.97031486,0.94178885,-0.027942002
ACH-000311,0.8672075,0.8524508,0.061396062
ACH-000312,0.916626,0.91163486,0.002211988
ACH-000313,0.91222835,0.908827,0.0050198436
ACH-000316,0.9244473,0.89283454,0.021012306
ACH-000318,0.9786878,0.9440113,-0.03016442
ACH-000319,1.0492512,0.9797219,-0.06587505
ACH-000320,0.95673937,0.90731704,0.006529808
ACH-000322,0.9203961,0.8838302,0.03001666
ACH-000323,0.9189516,0.9072676,0.00657928
ACH-000324,0.9288813,0.88488984,0.02895701
ACH-000329,1.0174856,0.9683713,-0.05452442
ACH-000331,1.0141747,1.0,-0.08615315
ACH-000332,0.95213014,0.9158605,-0.0020136237
ACH-000335,0.8542694,0.8494367,0.06441015
ACH-000343,1.058169,0.97028977,-0.056442916
ACH-000344,0.91794986,0.8927133,0.021133542
ACH-000347,1.0290331,0.96484596,-0.050999105
ACH-000351,0.9580139,0.91299945,0.00084739923
ACH-000352,0.94070494,0.9243568,-0.010509968
ACH-000356,0.9544617,0.87449986,0.039346993
ACH-000359,0.8244735,0.8328349,0.08101195
ACH-000361,0.89516765,0.88813853,0.025708318
ACH-000364,1.0153499,0.92669135,-0.012844503
ACH-000367,0.9467667,0.9193415,-0.005494654
ACH-000368,0.94947535,0.9094842,0.0043626428
ACH-000374,1.0337214,0.9337128,-0.01986593
ACH-000375,0.8696484,0.8566047,0.057242155
ACH-000376,1.029292,0.9788132,-0.06496632
ACH-000383,0.936618,0.9085335,0.005313337
ACH-000384,1.0226609,0.94346243,-0.029615581
ACH-000389,1.0554018,0.9897644,-0.07591754
ACH-000390,0.97262347,0.9145006,-0.00065374374
ACH-000391,1.0118482,0.9229766,-0.009129763
ACH-000393,1.0485386,0.9487119,-0.03486502
ACH-000395,1.0033256,0.9626052,-0.048758328
ACH-000396,0.92631525,0.9059134,0.007933438
ACH-000397,1.0275742,0.95517266,-0.041325808
ACH-000401,0.9288316,0.89951384,0.01433301
