DRUG_ID,DRUG_NAME,drug_key,canonical_smiles,smiles,inchikey,pubchem_cid,has_ChEMBL,has_DRKG,has_PrimeKG
0,8-bromo-cGMP,BRD-A00077618-236-07-6,Nc1nc(O)c2nc(Br)n([C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O)c2n1,Nc1nc(O)c2nc(Br)n([C@@H]3O[C@@H]4COP(O)(=O)O[C@H]4[C@H]3O)c2n1,YUFCOOWNNHGGOD-UMMCILCDSA-N,,0,0,0
1,noretynodrel,BRD-A00758722-001-04-9,C#C[C@]1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CC[C@@]21C,C[C@]12CCC3C(CCC4=C3CCC(=O)C4)C1CC[C@@]2(O)C#C,ICTXHFFSOAJUMG-OQPPHWFISA-N,,0,0,0
2,prednisolone-acetate,BRD-A01643550-001-04-9,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21CCC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3[C@@H](O)C[C@@]21CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12CCC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3[C@@H](O)C[C@]12CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,ZCNUERFTWZLXSV-RPCOAFPUSA-N,,1,0,1
3,betamethasone,BRD-A02180903-001-04-5,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@H](O)C[C@]2(C)[C@]1(O)C(=O)CO,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@H](O)C[C@]2(C)[C@]1(O)C(=O)CO,HAGWMNGVTMJLRP-KBPNSSEVSA-N,,1,0,1
4,mepivacaine,BRD-A03216249-003-24-3,Cc1cccc(C)c1NC(=O)C1CCCCN1C,CN1CCCCC1C(=O)Nc1c(C)cccc1C,INWLQCZOYSRPNW-UHFFFAOYSA-N,,1,0,1
5,XL888,BRD-A03506276-001-01-5,CC[C@@H](C)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O,CC[C@@H](C)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(cn2)C(=O)C2CC2)c(C)cc1C(N)=O,LHGWWAFKVCIILM-LAQKFSSHSA-N,,0,0,0
6,metoprolol,BRD-A03623303-045-09-5,COCCc1ccc(OCC(O)CNC(C)C)cc1,COCCc1ccc(OCC(O)CNC(C)C)cc1,IUBSYMUCCVWXPE-UHFFFAOYSA-N,,0,0,1
7,methscopolamine,BRD-A03932035-004-04-3,C[N+]1(Cc2ccccc2[C@@H](CO)C(=O)O[C@@H]2C[C@@H]3[C@H]4O[C@H]4[C@H](C2)[N+]3(C)C)C2CC(OC(=O)[C@@H](CO)c3ccccc3C[N+]3(C)[C@@H]4C[C@@H](OC(=O)[C@H](CO)c5ccccc5)C[C@H]3[C@@H]3O[C@@H]34)CC1C1OC12,C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1C[N+]1(C)C2CC(CC1C1OC21)OC(=O)[C@@H](CO)c1ccccc1C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1,NRCPHXRODAJOCI-MOPSKJJMSA-N,,0,0,1
8,lappaconite,BRD-A05906449-004-01-1,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@@H](OC)[C@]34C1[C@@H](C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@H]4[C@]1(O)[C@H]2OC,CCN1C[C@@]2(CC[C@@H](OC)[C@@]34[C@H]5C[C@H]6[C@H](OC)[C@]5(O)[C@](O)(C[C@@H]6OC)[C@H](C[C@H]23)C14)OC(=O)c1ccccc1NC(C)=O,NWBWCXBPKTTZNQ-BBLNFATASA-N,,0,0,0
9,terfenadine,BRD-A06352418-001-25-9,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,GUGOEEXESWIERI-UHFFFAOYSA-N,,1,0,1
10,SB-218078,BRD-A06352508-001-03-7,O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1,O=C1NC(=O)c2c1c1c3ccccc3n3C4CCC(O4)n4c5ccccc5c2c4c13,OTPNDVKVEAIXTI-UHFFFAOYSA-N,,0,0,0
11,diclazuril,BRD-A06426627-001-03-5,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,Clc1ccc(cc1)C(C#N)c1c(Cl)cc(cc1Cl)-n1ncc(=O)[nH]c1=O,ZSZFUDFOPOMEET-UHFFFAOYSA-N,,0,0,0
12,monensin,BRD-A06627858-236-03-0,CC[C@@]1(C2O[C@@H](C3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1,CC[C@]1(CC[C@@H](O1)[C@]1(C)CC[C@]2(C[C@H](O)[C@@H](C)[C@H](O2)[C@@H](C)[C@@H](OC)[C@H](C)C(O)=O)O1)C1O[C@H](C[C@@H]1C)C1O[C@@](O)(CO)[C@H](C)C[C@@H]1C,GAOZTHIDHYLHMS-SMJJDZSHSA-N,,0,0,1
13,isofloxythepin,BRD-A07704283-001-01-3,CC(C)c1ccc2c(c1)C(N1CCN(CCO)CC1)Cc1ccc(F)cc1S2,CC(C)c1ccc2Sc3cc(F)ccc3CC(N3CCN(CCO)CC3)c2c1,XDBMBHVYXPBOPL-UHFFFAOYSA-N,,0,0,0
14,galeterone,BRD-A07986123-001-02-8,C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@]2(C)C(n3cnc4ccccc43)=CCC12,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CC=C2n1cnc2ccccc12,PAFKTGFSEFKSQG-BLYLLKCRSA-N,,1,0,0
15,racecadotril,BRD-A08187463-001-12-9,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,ODUOJXZPIYUATO-UHFFFAOYSA-N,,1,0,1
16,doxycycline,BRD-A08545410-003-07-8,C[C@H]1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C2C(=O)c2c(O)cccc12,VXVNYCRICCVPTD-MULYGRJNSA-N,,1,0,1
18,CID-5458317,BRD-A08840375-001-01-3,O=C1/C(=C/c2ccccc2)C(NC2CCCCC2)c2ccccc21,O=C1c2ccccc2C(NC2CCCCC2)\C1=C/c1ccccc1,XJDKPLZUXCIMIS-HMMYKYKNSA-N,,0,0,0
19,norethindrone-acetate,BRD-A09349126-001-10-7,C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C,CC(=O)O[C@]1(CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]12C)C#C,IMONTRJLAWHYGT-FJMAIUEKSA-N,,1,0,0
20,cyclophosphamide,BRD-A09722536-002-18-0,O=P1(N(CCCl)CCCl)NCCCO1,ClCCN(CCCl)P1(=O)NCCCO1,CMSMOCZEIVJLDB-UHFFFAOYSA-N,,1,0,1
21,tipranavir,BRD-A10039652-001-01-2,CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(cn3)C(F)(F)F)c2)C(=O)O1,MYXACKZCYFKMTE-JETRDCLMSA-N,,1,0,1
22,propranolol,BRD-A10070317-003-28-3,CC(C)NCC(O)COc1cccc2ccccc12,CC(C)NCC(O)COc1cccc2ccccc12,AQHHHDLHHXJYJD-UHFFFAOYSA-N,,1,0,1
23,GSK429286A,BRD-A10523515-001-07-9,CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,CC1=C(C(CC(=O)N1)c1ccc(cc1)C(F)(F)F)C(=O)Nc1cc2cn[nH]c2cc1F,OLIIUAHHAZEXEX-UHFFFAOYSA-N,,0,0,0
24,imiloxan,BRD-A10903566-003-07-7,CCn1ccnc1CC1COc2ccccc2O1,CCn1ccnc1CC1COc2ccccc2O1,UXABARREKCJULM-UHFFFAOYSA-N,,0,0,0
25,carvedilol,BRD-A10977446-001-12-1,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,OGHNVEJMJSYVRP-UHFFFAOYSA-N,,1,0,1
26,nadide,BRD-A11132253-001-08-2,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,BAWFJGJZGIEFAR-NNYOXOHSSA-O,,0,0,0
27,dehydrocholate-acid,BRD-A11551002-001-04-6,CC(CCC(=O)O)[C@H]1CCC2C3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)C3CC(=O)[C@@]21C,CC(CCC(O)=O)[C@H]1CCC2C3C(CC(=O)[C@]12C)[C@@]1(C)CCC(=O)C[C@H]1CC3=O,OHXPGWPVLFPUSM-IWYXHJQRSA-N,,0,0,0
28,proscillaridin-a,BRD-A11815689-001-01-1,C[C@@H]1O[C@@H](O[C@@H]2C=C3CCC4C(CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)C(O)C(O)[C@H]1O,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4CC[C@]5(C)[C@H](CC[C@]5(O)C4CCC3=C2)c2ccc(=O)oc2)C(O)C(O)[C@H]1O,MYEJFUXQJGHEQK-BACGYGAMSA-N,,0,0,0
29,lorazepam,BRD-A11990600-001-03-4,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,OC1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,DIWRORZWFLOCLC-UHFFFAOYSA-N,,1,0,1
30,nutlin-3,BRD-A12230535-001-06-7,COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1COc1ccc(C2=N[C@H](c3ccc(Cl)cc3)[C@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1COc1ccc(C2=N[C@@H]([C@@H](N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1,YJZBKKIGOWPECD-RWLOXMBWSA-N,,0,0,0
31,usniacin-(+),BRD-A12417644-001-07-6,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)[C@@]12C,CC(=O)C1C(=O)C=C2Oc3c(c(O)c(C)c(O)c3C(C)=O)[C@@]2(C)C1=O,CUCUKLJLRRAKFN-MCEAHNFKSA-N,,0,0,0
32,pomalidomide,BRD-A12994259-001-02-1,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,Nc1cccc2C(=O)N(C3CCC(=O)NC3=O)C(=O)c12,UVSMNLNDYGZFPF-UHFFFAOYSA-N,,1,0,1
33,fluorometholone,BRD-A13133631-001-04-0,CC(=O)[C@@]1(O)CCC2C3C[C@H](C)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12,FAOZLTXFLGPHNG-KXWDGVDDSA-N,,1,0,1
34,ornithine,BRD-A13561534-003-02-0,NCCCC(N)C(=O)O,NCCCC(N)C(O)=O,AHLPHDHHMVZTML-UHFFFAOYSA-N,,0,0,1
35,TC1,BRD-A13964793-001-02-6,OC12C3C4CC5C6C4C1C6C(C53)N2CCc1cccc(F)c1,OC12C3C4C5C3C(C3C5CC4C13)N2CCc1cccc(F)c1,FYGREZKTJIXWIH-UHFFFAOYSA-N,,0,0,0
36,octopamine,BRD-A14240607-003-26-1,NCC(O)c1ccc(O)cc1,NCC(O)c1ccc(O)cc1,QHGUCRYDKWKLMG-UHFFFAOYSA-N,,0,0,0
37,IDRA-21,BRD-A14344385-001-03-2,CC1Nc2ccc(Cl)cc2S(=O)(=O)N1,CC1Nc2ccc(Cl)cc2S(=O)(=O)N1,VZRNTCHTJRLTMU-UHFFFAOYSA-N,,0,0,0
38,mesoridazine,BRD-A14395271-074-17-8,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O,SLVMESMUVMCQIY-UHFFFAOYSA-N,,0,0,1
39,norgestrel,BRD-A14886633-001-01-6,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21CC,CC[C@]12CCC3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,WWYNJERNGUHSAO-NJTPJZBZSA-N,,1,0,1
40,isoxsuprine,BRD-A16700644-003-04-4,CC(COc1ccccc1)NC(C)[C@H](O)c1ccc(O)cc1,CC(COc1ccccc1)NC(C)[C@H](O)c1ccc(O)cc1,BMUKKTUHUDJSNZ-JRSKDTKFSA-N,,1,0,1
41,protirelin,BRD-A16997652-001-02-3,NC(=O)C1CCCN1C(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1,NC(=O)C1CCCN1C(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1,XNSAINXGIQZQOO-UHFFFAOYSA-N,,1,0,1
42,trolox,BRD-A17846016-001-13-9,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(O)=O,GLEVLJDDWXEYCO-UHFFFAOYSA-N,,0,0,0
43,lenalidomide,BRD-A17883755-001-06-1,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Nc1cccc2C(=O)N(Cc12)C1CCC(=O)NC1=O,GOTYRUGSSMKFNF-UHFFFAOYSA-N,,1,0,1
44,idazoxan,BRD-A18696154-003-22-6,c1ccc2c(c1)OCC(C1=NCCN1)O2,C1CN=C(N1)C1COc2ccccc2O1,HPMRFMKYPGXPEP-UHFFFAOYSA-N,,1,0,0
45,methylphenidate,BRD-A19585813-003-03-3,COC(=O)C(c1ccccc1)C1CCCCN1,COC(=O)C(C1CCCCN1)c1ccccc1,DUGOZIWVEXMGBE-UHFFFAOYSA-N,,1,0,1
46,atenolol-(+/-),BRD-A20239487-001-24-9,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,METKIMKYRPQLGS-UHFFFAOYSA-N,,1,0,1
